;Casapound;PdF;NcI-UDC;Lega;FI;FdI;+E;PD;Insieme;CP;LeU;PVU;PaP;M5S;FN-FT;PRI-ALA;10VM;PCLtSCR;GN;IR-DC;INC;Ren-MIR;LdP;PpA;SiAmo;PC;AD;SVP-PATT;PD-UV-UVP-EPAV;PT;FI-FdI-MNVA;RC;@abs;@blank
Monasterolo del Castello;9;6;2;256;101;20;19;131;1;2;12;;2;98;2;1;;;1;;;;;;;;;;;;;;194;11
Montello;9;28;10;707;156;46;22;280;5;5;23;;11;307;4;1;;;5;;;;;;;;;;;;;;391;20
Nembro;56;50;63;2606;708;243;144;1621;40;33;129;;64;1102;26;4;;;20;;;;;;;;;;;;;;1656;79
Olmo al Brembo;6;0;5;133;55;15;2;53;0;0;5;;2;34;0;1;;;1;;;;;;;;;;;;;;75;8
Oltre il Colle;8;39;4;221;94;34;0;105;8;6;9;;0;57;3;0;;;3;;;;;;;;;;;;;;222;15
Oltressenda Alta;0;0;3;25;11;3;3;43;1;1;1;;0;11;3;1;;;0;;;;;;;;;;;;;;19;2
Oneta;1;2;9;170;34;15;6;82;0;1;3;;0;55;1;1;;;4;;;;;;;;;;;;;;111;8
Onore;8;1;4;232;74;48;6;76;0;1;6;;6;73;3;1;;;5;;;;;;;;;;;;;;163;9
Ornica;1;0;3;40;26;0;0;14;0;2;0;;0;7;2;0;;;0;;;;;;;;;;;;;;33;2
Parre;5;10;97;758;188;62;33;305;3;4;19;;2;222;10;3;;;14;;;;;;;;;;;;;;321;31
Parzanica;1;1;1;97;30;5;2;21;0;1;5;;4;35;0;0;;;0;;;;;;;;;;;;;;87;4
Peia;17;4;23;545;170;34;19;149;2;5;10;;4;136;6;2;;;2;;;;;;;;;;;;;;259;21
Pianico;15;2;6;299;126;42;7;150;0;0;9;;6;110;2;0;;;3;;;;;;;;;;;;;;170;19
Piazza Brembana;5;2;13;241;106;37;14;162;0;2;10;;3;97;1;1;;;1;;;;;;;;;;;;;;204;25
Piario;4;2;5;239;69;23;13;142;1;7;12;;3;103;5;2;;;3;;;;;;;;;;;;;;166;16
Piazzatorre;1;0;0;114;65;15;3;29;2;0;5;;0;33;1;0;;;0;;;;;;;;;;;;;;79;1
Piazzolo;0;0;5;20;9;1;0;11;0;0;1;;2;12;0;0;;;0;;;;;;;;;;;;;;13;3
Ponte Nossa;12;3;13;368;108;40;17;248;2;17;24;;1;167;7;1;;;7;;;;;;;;;;;;;;305;19
Pradalunga;31;16;18;1056;242;96;54;723;5;11;35;;20;455;11;2;;;12;;;;;;;;;;;;;;702;37
Predore;16;13;7;451;170;53;24;224;3;2;22;;10;157;4;1;;;2;;;;;;;;;;;;;;269;18
Premolo;5;3;8;255;83;37;17;154;2;3;9;;4;102;3;0;;;4;;;;;;;;;;;;;;220;19
Ranzanico;11;4;7;285;131;36;18;134;0;0;5;;2;104;5;1;;;1;;;;;;;;;;;;;;204;11
Riva di Solto;7;5;7;239;75;14;9;145;4;2;15;;6;45;2;0;;;3;;;;;;;;;;;;;;139;13
Rogno;32;10;11;891;311;90;40;400;4;4;31;;21;348;6;0;;;8;;;;;;;;;;;;;;493;34
Roncobello;5;0;1;82;29;12;8;91;2;1;8;;5;40;0;0;;;0;;;;;;;;;;;;;;54;8
Rovetta;30;27;15;973;316;120;50;475;3;12;32;;5;415;8;0;;;13;;;;;;;;;;;;;;580;46
San Giovanni Bianco;23;7;8;1249;287;131;37;559;16;14;35;;21;362;8;3;;;10;;;;;;;;;;;;;;721;47
San Paolo d'Argon;36;19;18;1363;394;106;69;460;9;9;59;;33;480;18;1;;;11;;;;;;;;;;;;;;745;46
San Pellegrino Terme;19;12;43;1167;322;135;56;758;12;10;73;;31;417;11;3;;;10;;;;;;;;;;;;;;664;59
Santa Brigida;1;4;7;164;30;17;2;46;0;1;1;;1;45;1;0;;;4;;;;;;;;;;;;;;127;9
Sarnico;33;32;18;1337;675;190;100;659;6;29;68;;24;529;16;1;;;8;;;;;;;;;;;;;;998;50
Schilpario;2;5;6;338;108;49;9;96;1;1;9;;1;58;2;0;;;2;;;;;;;;;;;;;;281;16
Sedrina;12;24;5;687;121;59;31;195;7;7;22;;7;263;3;2;;;8;;;;;;;;;;;;;;395;34
Selvino;4;15;5;587;184;64;15;167;1;7;10;;0;202;3;0;;;2;;;;;;;;;;;;;;316;30
Serina;3;11;13;522;185;51;12;246;1;4;14;;4;190;6;1;;;6;;;;;;;;;;;;;;395;23
Solto Collina;8;6;8;360;198;58;23;191;5;0;8;;8;145;6;0;;;3;;;;;;;;;;;;;;276;21
