Municipality;Yes;No;@Inv;@Abs
Niederbipp;983;420;9;1485
Niederönz;343;209;3;617
Oberbipp;411;184;7;540
Ochlenberg;155;65;0;244
Rumisberg;161;54;2;192
Seeberg;348;229;17;618
Thörigen;300;123;2;409
Walliswil bei Niederbipp;56;23;2;102
Walliswil bei Wangen;146;61;3;272
Wangen an der Aare;475;299;25;664
Wangenried;122;44;2;159
Wiedlisbach;467;226;10;910
Doppleschwand;191;67;46;196
Entlebuch;921;377;30;1136
Flühli;510;206;10;507
Hasle (LU);538;203;11;508
Romoos;271;108;8;141
Schüpfheim;1002;658;25;1165
Werthenstein;575;213;15;527
Escholzmatt-Marbach;1191;512;30;1540
Aesch (LU);278;124;12;279
Ballwil;639;365;14;776
Emmen;5326;3087;173;7271
Ermensee;207;136;4;262
Eschenbach (LU);890;605;43;901
Hitzkirch;1181;798;64;1353
Hochdorf;1596;1386;100;2536
Hohenrain;578;365;30;684
Inwil;580;284;26;605
Rain;582;394;18;681
Römerswil;497;238;19;409
Rothenburg;1676;1413;91;1906
Schongau;235;113;13;241
Adligenswil;1191;1270;57;1354
Buchrain;1106;899;77;1612
Dierikon;315;199;4;465
Ebikon;2508;1799;79;3489
Gisikon;256;139;7;326
Greppen;229;165;10;233
Honau;91;60;1;92
Horw;2884;2557;175;3452
Kriens;5645;4503;188;7804
Luzern;11898;15807;805;22808
Malters;1560;1087;77;1899
Meggen;1766;1728;89;1159
Meierskappel;282;205;8;347
Root;849;489;19;1292
Schwarzenberg;475;230;16;468
Udligenswil;540;417;24;541
Vitznau;259;191;6;328
Weggis;968;711;35;1064
Beromünster;1331;910;49;1705
Büron;459;229;24;578
Buttisholz;729;433;24;859
Eich;440;328;16;476
Geuensee;473;289;28;650
Grosswangen;711;413;24;833
Hildisrieden;510;424;6;498
Knutwil;480;306;35;547
Mauensee;268;223;5;319
Neuenkirch;1318;994;45;1892
Nottwil;738;523;48;998
Oberkirch;773;659;51;1022
Rickenbach (LU);739;367;25;832
Ruswil;1578;1059;80;2099
Schenkon;714;481;33;672
Schlierbach;178;102;6;177
Sempach;777;1024;56;1010
Sursee;1651;1739;157;2660
Triengen;950;537;26;1191
Wolhusen;1004;548;45;1245
Alberswil;122;65;6;188
Altbüron;180;151;6;326
Altishofen;408;246;9;553
Dagmersellen;1174;652;38;1600
Egolzwil;294;202;14;425
Ettiswil;581;337;24;804
Fischbach;178;68;0;247
Grossdietwil;175;117;8;303
Hergiswil bei Willisau;456;196;3;677
Luthern;334;157;14;510
Menznau;745;322;25;890
Nebikon;488;314;19;629
Pfaffnau;453;277;20;828
Reiden;1375;815;50;1847
Roggliswil;141;86;6;237
Schötz;822;477;41;1140
Ufhusen;212;95;4;316
Wauwil;345;214;11;436
Wikon;304;180;13;451
Zell (LU);478;240;11;646
Willisau;2014;1392;101;2495
LU-Ausland-CH;649;891;36;1855
Altdorf (UR);1525;1567;69;3156
Andermatt;260;181;10;496
Attinghausen;383;190;14;562
Bürglen (UR);927;484;50;1474
Erstfeld;829;513;27;1275
Flüelen;388;249;18;723
Göschenen;119;44;5;161
