;@abs;@blank;@null;UG;UD;RN;D-Gilles;EÉLV;LREM;G-Ghali;G-Bensaada;LO;G-Manin;UPR;POID;G-Vinapon;PA;EXD-Comas;D-Harouche
1350;928;6;9;70;73;170;23;;18;25;18;2;;6;;;;;1
1351;934;6;5;49;67;137;43;;17;30;23;1;;6;;;;;2
1360;582;1;17;34;42;61;23;;9;23;15;2;;7;;;;;0
1361;639;3;6;31;41;147;38;;13;29;9;1;;3;;;;;0
1362;602;7;9;25;51;123;34;;8;7;7;1;;0;;;;;0
1363;1116;4;9;57;89;191;36;;28;13;28;2;;2;;;;;0
1364;914;4;5;66;80;131;24;;29;25;15;1;;6;;;;;1
1365;1009;4;5;46;69;107;44;;7;40;16;3;;5;;;;;1
1366;798;2;2;25;41;65;12;;7;29;10;2;;1;;;;;0
1367;894;4;4;91;95;225;37;;37;11;18;3;;3;;;;;0
1368;943;3;7;40;63;141;47;;22;20;18;3;;8;;;;;0
1369;981;3;2;82;92;161;28;;44;7;14;1;;0;;;;;1
1370;1021;5;4;97;70;236;32;;37;10;18;3;;0;;;;;0
1371;950;4;13;92;63;212;35;;30;16;27;4;;1;;;;;0
1372;596;1;5;95;64;116;27;;37;8;19;1;;3;;;;;2
1373;695;9;6;84;37;193;38;;20;12;25;2;;3;;;;;0
1374;945;5;4;83;91;228;52;;42;12;26;3;;0;;;;;1
1375;1040;10;6;99;94;215;52;;41;9;23;4;;1;;;;;2
1376;675;6;1;36;73;158;30;;7;22;21;2;;0;;;;;2
1377;621;2;5;17;57;40;11;;1;41;4;2;;2;;;;;0
1378;497;3;10;54;46;153;19;;19;4;18;3;;1;;;;;3
1401;644;4;6;38;39;124;27;;4;23;14;2;;5;;;;;0
1402;786;6;3;40;54;117;14;;12;39;21;2;;16;;;;;0
1404;1123;2;10;24;48;79;16;;15;91;19;2;;16;;;;;0
1405;1125;5;5;27;54;48;23;;18;75;20;0;;21;;;;;0
1407;1071;3;13;38;54;97;19;;12;64;15;1;;10;;;;;0
1408;495;1;1;32;30;68;12;;5;15;12;4;;3;;;;;1
1409;567;2;2;7;30;66;12;;5;55;7;4;;6;;;;;0
1410;679;2;7;46;52;70;18;;7;50;11;2;;5;;;;;0
1411;374;1;3;25;16;43;13;;7;14;3;1;;4;;;;;0
1414;893;0;9;58;31;95;19;;10;25;12;2;;0;;;;;0
1415;713;3;0;47;30;129;23;;5;24;15;0;;2;;;;;0
