RegioNaam;@invalid;@blank;CDA;PvdA;VVD;GL;SP;D66;CU;LPF;SGP;CU-SGP;FNP;Partij Nieuw Limburg;Leefbaar Zuid-Holland;Verenigde Senioren Partij;Leefbaar Brabant/BOF;Ouderenpartij NH/VSP;Partij voor het Noorden;Leefbaar Gelderland/De Groenen;Partij voor Zeeland;Gemeentebelangen Friesland;Leefbaar Noord-Holland;De Groenen/Noord-Holland Anders;Mooi Zuid-Holland/De Groenen;Onafhankelijke Partij Drenthe;Nieuwe Communistische Partij;Drents Belang/DOP;Leefbaar Provincie Utrecht;Leefbaar Provinciale Partij;"Politieke Partij ""Alianza""";Amsterdam Anders;Lijst Nieuwe Politiek (LNP);Nieuwe Toekomst Partij;Leefbaar Flevoland;DG;Nederlandse Volks Unie (NVU);Holst;Lijst Veldhoen;VIP Vooruitstrevende Integratie Partij;Democratisch Platform Nederland;N-sap;@abs
Dirksland-G0504;;3;748;632;476;55;123.0;65;244.0;102;997.0;;;;28.0;12.0;;;;;;;;;13.0;;;;;;0.0;;0.0;1.0;;;;0.0;1.0;1.0;1.0;0.0;2658
Doesburg-G0221;;8;936;1196;674;177;717.0;226;91.0;98;11.0;;;;;;;;;34.0;;;;;;;;;;;;;;;;;19.0;;;;;;4292
Doetinchem-G0222;;11;4994;4945;2967;1540;1130.0;584;407.0;370;263.0;;;;;;;;;156.0;;;;;;;;;;;;;;;;;30.0;;;;;;19396
Dongen-G0766;;8;3063;1722;1265;325;948.0;346;;185;;129.0;;;;39.0;47.0;;;;;;;;;;;;;;;;4.0;;;;;;;;;;10592
Dongeradeel-G0058;;8;4789;1737;694;371;355.0;176;;156;;926.0;1983.0;;;;;;;;;111.0;;;;;4.0;;;;;;;;;;;;;;;;7009
Doorn-G0315;;4;1154;733;1399;389;135.0;260;110.0;81;155.0;;;;;;;;;;;;;;;;;;24.0;;;;;;;18.0;;;;;;;3412
Dordrecht-G0505;;40;7332;9554;6747;2621;2251.0;1623;1813.0;1402;1561.0;;;;408.0;204.0;;;;;;;;;221.0;;;;;;279.0;;9.0;9.0;;;;4.0;9.0;8.0;46.0;3.0;51853
Drechterland-G0498;;4;1294;668;854;221;144.0;151;;112;;39.0;;;;;;45.0;;;;;26.0;19.0;;;3.0;;;34.0;;8.0;;3.0;;;;;;;;;3906
Driebergen-Rijsenburg-G0316;;8;1987;1487;2010;954;406.0;519;354.0;170;328.0;;;;;;;;;;;;;;;;;;43.0;;;;;;;31.0;;;;;;;5674
Drimmelen-G1719;;8;2988;1871;2036;405;481.0;378;;233;;77.0;;;;54.0;96.0;;;;;;;;;;;;;;;;7.0;;;;;;;;;;11754
Dronten-G0303;;9;4564;2238;3456;731;454.0;476;1119.0;387;131.0;;;;;79.0;;;;;;;;;;;;;;;;;15.0;;123.0;;;;;;;;12181
Druten-G0225;;1;2177;1357;1138;237;284.0;179;11.0;86;4.0;;;;;;;;;44.0;;;;;;;;;;;;;;;;;2.0;;;;;;7421
Duiven-G0226;;3;2694;2227;1695;421;477.0;348;150.0;263;23.0;;;;;;;;;173.0;;;;;;;;;;;;;;;;;14.0;;;;;;10056
Echt-Susteren-G1711;;11;5946;2459;1348;548;399.0;216;;190;;;;1269.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12469
Edam-Volendam-G0385;;4;5335;1245;1485;538;259.0;230;;281;;49.0;;;;;;58.0;;;;;34.0;36.0;;;5.0;;;42.0;;15.0;;22.0;;;;;;;;;11591
Ede-G0228;;24;13535;6109;7224;2317;1345.0;1253;4446.0;888;6421.0;;;;;;;;;341.0;;;;;;;;;;;;;;;;;61.0;;;;;;32215
Eemnes-G0317;;1;1058;620;904;209;192.0;193;84.0;52;40.0;;;;;;;;;;;;;;;;;;23.0;;;;;;;19.0;;;;;;;2882
Eemsmond-G1651;;6;2183;2654;924;376;339.0;161;949.0;101;;;;;;;;;268.0;;;;;;;;34.0;;;;;;;;;;;;;;;;4767
Eersel-G0770;;7;3444;890;1318;224;330.0;268;;130;;30.0;;;;41.0;85.0;;;;;;;;;;;;;;;;7.0;;;;;;;;;;6868
Eibergen-G0229;;5;3835;1709;892;261;303.0;127;57.0;94;4.0;;;;;;;;;134.0;;;;;;;;;;;;;;;;;4.0;;;;;;5139
Eijsden-G0905;;4;2070;1296;550;188;126.0;110;;74;;;;513.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4036
Eindhoven-G0772;;102;16351;15346;10930;4148;6207.0;3741;;1929;;892.0;;;;838.0;479.0;;;;;;;;;;;;;;;;66.0;;;;;;;;;;94786
Elburg-G0230;;5;3036;1012;1163;231;181.0;103;1642.0;143;1909.0;;;;;;;;;61.0;;;;;;;;;;;;;;;;;7.0;;;;;;6492
Emmen-G0114;;24;10790;17688;4908;2296;;1342;1320.0;816;58.0;;;;;;;;;;;;;;;487.0;;647.0;;;;;;;;;;;;;;;42684
Enkhuizen-G0388;;2;1241;1731;1158;372;436.0;273;;136;;309.0;;;;;;52.0;;;;;52.0;19.0;;;3.0;;;28.0;;9.0;;8.0;;;;;;;;;7047
Enschede-G0153;;79;9895;15396;7855;3644;2752.0;2165;2572.0;1059;152.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;67925
Epe-G0232;;6;4434;3441;2826;659;362.0;414;629.0;350;694.0;;;;;;;;;154.0;;;;;;;;;;;;;;;;;24.0;;;;;;11783
Ermelo-G0233;;11;4803;1173;1915;552;398.0;252;1529.0;303;725.0;;;;;;;;;125.0;;;;;;;;;;;;;;;;;10.0;;;;;;7979
Etten-Leur-G0777;;16;3815;2527;2437;683;495.0;631;;366;;99.0;;;;36.0;115.0;;;;;;;;;;;;;;;;7.0;;;;;;;;;;18095
Ferwerderadiel-G1722;;2;1646;634;340;148;132.0;42;;78;;312.0;743.0;;;;;;;;;183.0;;;;;0.0;;;;;;;;;;;;;;;;2504
Franekeradeel-G0070;;3;2543;2106;731;328;383.0;140;;178;;391.0;1593.0;;;;;;;;;336.0;;;;;6.0;;;;;;;;;;;;;;;;6844
Gaasterlân-Sleat-G0653;;3;1886;670;606;159;136.0;65;;92;;254.0;1202.0;;;;;;;;;20.0;;;;;5.0;;;;;;;;;;;;;;;;2647
Geertruidenberg-G0779;;4;2158;1585;1224;262;327.0;209;;184;;55.0;;;;37.0;82.0;;;;;;;;;;;;;;;;10.0;;;;;;;;;;10142
Geldermalsen-G0236;;5;2929;2265;2251;402;289.0;324;203.0;340;1227.0;;;;;;;;;84.0;;;;;;;;;;;;;;;;;16.0;;;;;;8577
Geldrop-G0781;;10;2774;1688;1575;490;703.0;456;;225;;115.0;;;;81.0;720.0;;;;;;;;;;;;;;;;3.0;;;;;;;;;;12270
Gemert-Bakel-G1652;;16;4701;1580;1155;252;719.0;201;;176;;19.0;;;;61.0;62.0;;;;;;;;;;;;;;;;16.0;;;;;;;;;;11947
