RegioNaam;@invalid;@blank;KVP;PvdA;ARP;CHU;VVD;Communistische Partij van Nederland;SGP;Overige partijen met 1 of meer zetels;Overige partijen zonder zetels;@abs
Ruwiel-G1164;0;0;59;8;90;79;1;1;70;3;0;30.0
Sas van Gent-G0704;0;0;796;434;17;60;253;24;8;25;0;259.0
Sassenheim-G0604;0;0;1644;260;829;560;125;20;51;46;3;347.0
Schaesberg-G0960;0;0;3037;299;0;0;0;246;0;236;32;601.0
Schagen-G0441;0;0;594;821;116;58;689;159;1;0;12;334.0
Schaijk-G0843;0;0;1587;34;1;4;1;0;0;15;0;250.0
Schalkwijk-G1169;0;0;637;35;32;47;2;2;8;0;0;54.0
Scheemda-G0039;0;0;8;1422;694;813;332;484;0;18;0;499.0
Schellinkhout-G0442;0;0;14;113;5;18;136;12;2;0;0;44.0
Schelluinen-G0605;0;0;0;91;39;8;53;1;70;0;2;31.0
Schermerhorn-G0443;0;0;205;160;103;3;49;26;1;0;1;75.0
Scherpenisse-G0705;0;0;3;136;59;80;77;0;305;20;0;163.0
Scherpenzeel-G0279;0;0;14;343;235;451;66;4;81;0;3;137.0
Schiedam-G0606;0;0;9697;12679;4004;4368;1916;2421;649;533;681;4297.0
