RegioNaam;@invalid;@blank;VVD;CDA;PvdA;D66;GL;AOV/Unie55+;SGP;GPV/RPF;SP;GL/DG;Algemeen Ouderen Verbond (AOV);Centrumdemocraten;Gereformeerd Politiek Verbond (GPV);U55;PNL;DG;Reformatorische Politieke Federatie (RPF);FNP;RPF/SGP;NB;BOF;PNG;SGP-GPV-RPF;Natuurwetpartij (NWP);Centrumpartij;ZVV;Nieuwe Communistische Partij (NCPN);OPD;BWGB;FGF;LOGO;GB;DA;LINS;BPN;PDA;KANS;SAP;@abs
Ridderkerk-G0597;25;0;4560;3022;2831;1392;;1065.0;2671.0;1266.0;291.0;386.0;;182.0;;;;;;;;36.0;;;;;72.0;;;;;;;;;;;23.0;;;18163
Riethoven-G0837;7;0;275;479;112;57;23.0;39.0;;;11.0;;;12.0;;;;3.0;;;;;6.0;;5.0;;;;;;;;;1.0;;0.0;0.0;;;;733
Rijnsburg-G0602;16;0;1317;2280;427;217;;102.0;169.0;940.0;26.0;115.0;;18.0;;;;;;;;15.0;;;;;6.0;;;;;;;;;;;1.0;;;4247
Rijnwaarden-G0196;9;0;673;1034;724;314;70.0;164.0;3.0;14.0;23.0;;;18.0;;;;26.0;;;;7.0;;53.0;;7.0;3.0;;;;;;;;;;;;;;4813
Rijnwoude-G1672;8;0;2352;1878;778;893;;146.0;705.0;425.0;104.0;336.0;;40.0;;;;;;;;8.0;;;;;10.0;;;;;;;;;;;1.0;;;6580
Rijsbergen-G0841;16;0;534;785;266;185;38.0;81.0;;;19.0;;;13.0;;;;5.0;;;;;28.0;;15.0;;;;;;;;;15.0;;4.0;5.0;;;;2400
Rijssen-G0178;32;0;1193;2358;1076;277;69.0;;4494.0;;41.0;;111.0;63.0;98.0;76.0;;24.0;2533.0;;;;;;;;;;4.0;;;;12.0;;;;;;;;4784
Rijswijk-G0603;65;0;8158;3533;2830;2007;;1152.0;161.0;414.0;306.0;997.0;;259.0;;;;;;;;56.0;;;;;110.0;;;;;;;;;;;6.0;;;17120
Roden-G0125;25;0;2273;1420;2246;890;546.0;437.0;4.0;;65.0;;;;377.0;;;;122.0;;;;;;;;;;;70.0;;;;;;;;;;;5974
Roerdalen-G1669;24;0;1174;1373;456;227;134.0;;;;53.0;;75.0;42.0;;157.0;133.0;;;;;24.0;;;;92.0;;;;;;;;;;;;;47.0;;3671
