RegioNaam;@invalid;@blank;CDA;PvdA;VVD;D66;GL;SGP;Gereformeerd Politiek Verbond (GPV);Reformatorische Politieke Federatie (RPF);Centrumdemocraten;SP;DG;Vrouwenpartij;Bejaarden Centraal;VCN: partij van communisten in Nederland;Realisten Nederland;Socialistische Arbeiderspartij;Anti Werkloosheid Partij;Politieke Partij voor Ouderen;Vooruitstrevende Minderheden Partij;Partij Democratisch Socialisten;Socialistische Minderheden Partij;Humanistische Partij;Milieu Defensie Partij 2000+;Grote Alliance Partij;Staatkundige Federatie;@abs
Aalburg-G0738;28;;2712;1019;513;206;96;1555.0;137.0;223.0;23.0;6.0;7.0;6.0;2.0;;1.0;3.0;;;;;;;;;;1082.0
Aalsmeer-G0358;50;;6206;2612;3361;1107;342;82.0;131.0;164.0;95.0;3.0;39.0;20.0;5.0;5.0;2.0;;2.0;4.0;;;1.0;;;;;2673.0
Aalten-G0197;28;;6672;2683;933;505;303;27.0;105.0;234.0;33.0;3.0;22.0;11.0;;2.0;3.0;8.0;4.0;7.0;1.0;;;;;;;1916.0
Aardenburg-G0648;4;;953;634;411;94;45;11.0;8.0;3.0;10.0;;7.0;3.0;;1.0;;2.0;;;;;;;;;;488.0
Aarle-Rixtel-G0739;16;;1833;922;405;239;71;2.0;10.0;12.0;19.0;12.0;11.0;4.0;4.0;;;5.0;;;1.0;;;;;;;615.0
Abcoude-G0305;22;;1957;880;1334;568;175;63.0;78.0;35.0;38.0;4.0;26.0;12.0;2.0;2.0;1.0;1.0;1.0;;;1.0;;;;;;685.0
Achtkarspelen-G0059;57;;7261;6519;987;655;371;191.0;808.0;563.0;26.0;11.0;29.0;8.0;;9.0;9.0;6.0;3.0;;1.0;;;;;;;2273.0
Adorp-G0001;0;;436;322;146;74;84;3.0;124.0;5.0;2.0;3.0;3.0;5.0;;1.0;6.0;;;;;;;;;;;123.0
Aduard-G0002;1;;607;647;203;103;59;1.0;229.0;8.0;2.0;2.0;4.0;2.0;;1.0;10.0;1.0;;;;;;;;;;221.0
Akersloot-G0360;11;;1510;618;577;381;107;2.0;7.0;12.0;15.0;10.0;18.0;10.0;3.0;2.0;1.0;1.0;;;;;;;;;;526.0
Alblasserdam-G0482;34;;2668;4207;1176;702;291;1153.0;171.0;249.0;98.0;14.0;18.0;6.0;12.0;;;3.0;4.0;;1.0;;;;;;;2089.0
Albrandswaard-G0613;27;;3182;2263;1923;826;244;206.0;114.0;55.0;94.0;10.0;28.0;12.0;6.0;6.0;4.0;8.0;1.0;;;;;;;;;1853.0
Alkemade-G0483;11;;4979;1303;1396;515;290;14.0;20.0;11.0;39.0;6.0;28.0;10.0;10.0;1.0;4.0;3.0;3.0;;9.0;;1.0;;;;;1488.0
Alkmaar-G0361;143;;14236;17766;7871;4909;3155;92.0;340.0;237.0;428.0;250.0;300.0;101.0;83.0;48.0;27.0;31.0;9.0;46.0;17.0;;;;;;;14344.0
Almelo-G0141;103;;12193;15613;4047;2214;884;128.0;344.0;315.0;219.0;97.0;64.0;31.0;22.0;26.0;13.0;7.0;9.0;28.0;3.0;;;;;;;8077.0
Almere-G0034;84;;6079;13493;7498;4159;1880;40.0;214.0;114.0;783.0;117.0;154.0;84.0;;72.0;30.0;19.0;19.0;;9.0;;;;;;;11395.0
Alphen aan den Rijn-G0484;101;;12453;8101;7228;3220;1322;580.0;420.0;551.0;225.0;426.0;83.0;50.0;16.0;4.0;25.0;32.0;2.0;;2.0;;1.0;;;;;9186.0
Alphen en Riel-G0741;11;;2333;628;474;263;74;1.0;4.0;1.0;17.0;5.0;9.0;4.0;;2.0;2.0;6.0;;;;;;;;;;671.0
Ambt Delden-G0142;4;;2722;423;381;112;38;4.0;12.0;2.0;9.0;2.0;;1.0;1.0;;1.0;;;;;;;;;;;318.0
Ameland-G0060;5;;1279;851;440;176;99;6.0;32.0;7.0;6.0;1.0;8.0;4.0;;;5.0;1.0;;;;;;;;;;
Amerongen-G0306;9;;1560;1070;775;244;91;392.0;40.0;107.0;28.0;9.0;10.0;5.0;2.0;1.0;4.0;1.0;;;1.0;;1.0;;;;;686.0
Amersfoort-G0307;132;;18947;16527;9082;5275;3291;817.0;2180.0;480.0;478.0;86.0;157.0;76.0;96.0;43.0;30.0;6.0;11.0;;4.0;11.0;7.0;6.0;;;;15631.0
Ammerzoden-G0198;11;;1618;587;240;135;36;46.0;5.0;23.0;11.0;3.0;8.0;1.0;;1.0;2.0;4.0;1.0;3.0;1.0;;;;;;;412.0
Amstelveen-G0362;116;;13393;10536;12627;5553;1935;144.0;275.0;235.0;384.0;48.0;220.0;109.0;43.0;19.0;44.0;11.0;5.0;26.0;4.0;;1.0;;;;;9499.0
Amsterdam-G0363;1260;;54660;152832;48775;39496;38867;559.0;1262.0;1163.0;11182.0;1140.0;4268.0;803.0;718.0;1507.0;279.0;320.0;127.0;264.0;96.0;88.0;91.0;218.0;;54.0;;148332.0
Andijk-G0364;7;;1567;865;476;202;159;51.0;32.0;210.0;20.0;3.0;20.0;5.0;3.0;5.0;;1.0;;;;;;;;;;586.0
Angerlo-G0199;11;;1390;942;247;200;48;2.0;2.0;6.0;10.0;;9.0;2.0;;;;2.0;;;;;;;;;;406.0
Anloo-G0105;13;;632;2372;1330;440;153;1.0;42.0;19.0;10.0;11.0;9.0;13.0;;5.0;9.0;2.0;1.0;;;;;;;;;684.0
Anna Paulowna-G0366;21;;2499;1444;1540;432;176;10.0;55.0;36.0;30.0;4.0;8.0;11.0;2.0;4.0;9.0;;1.0;2.0;3.0;;;;;;;1281.0
Apeldoorn-G0200;185;;30742;27887;14719;7973;2867;2117.0;1176.0;1156.0;465.0;115.0;296.0;112.0;102.0;43.0;46.0;42.0;21.0;;12.0;;;;;;;20224.0
Appingedam-G0003;28;;2121;4120;718;440;292;18.0;167.0;63.0;17.0;17.0;8.0;5.0;;20.0;32.0;6.0;6.0;;1.0;;;;;;;1533.0
Arcen en Velden-G0885;12;;3365;1023;520;300;149;3.0;4.0;5.0;7.0;19.0;8.0;6.0;6.0;3.0;1.0;;;;;;;;;;;983.0
Arnemuiden-G0649;12;;727;505;238;113;42;646.0;32.0;289.0;32.0;;;3.0;;1.0;4.0;1.0;;;;;;;;;;510.0
Arnhem-G0202;227;;20380;30147;9857;6951;4717;192.0;625.0;345.0;678.0;569.0;316.0;117.0;75.0;28.0;48.0;66.0;16.0;;27.0;;;;;;;24200.0
Assen-G0106;113;;6769;13486;4307;2551;1422;45.0;1684.0;304.0;129.0;102.0;72.0;32.0;;16.0;93.0;6.0;4.0;;2.0;;;;;;;6119.0
Asten-G0743;26;;5762;1760;812;486;273;5.0;8.0;5.0;12.0;27.0;9.0;12.0;11.0;1.0;3.0;9.0;1.0;;1.0;;;;;;;1713.0
Avereest-G0143;22;;4287;2636;1160;459;144;55.0;202.0;208.0;25.0;7.0;18.0;9.0;2.0;;1.0;;1.0;2.0;1.0;;;;;;;1411.0
Axel-G0650;32;;2422;2098;846;337;151;97.0;653.0;52.0;47.0;4.0;12.0;6.0;;4.0;2.0;;2.0;;;;;;;;;2252.0
Baarle-Nassau-G0744;14;;2019;681;427;156;68;3.0;8.0;14.0;14.0;1.0;6.0;5.0;;;1.0;3.0;;;;;;;;;;856.0
Baarn-G0308;69;;5025;3644;3759;1430;604;185.0;188.0;262.0;118.0;34.0;77.0;21.0;25.0;6.0;11.0;6.0;3.0;;3.0;1.0;1.0;2.0;;;;3374.0
Baexem-G0886;1;;967;300;144;81;34;;6.0;2.0;5.0;;2.0;2.0;2.0;;1.0;;;;;;;;;;;285.0
Baflo-G0004;3;;640;645;227;137;98;5.0;92.0;17.0;1.0;4.0;7.0;1.0;;;8.0;1.0;;;;;;;;;;239.0
Bakel en Milheeze-G0745;19;;2987;753;334;181;108;;1.0;;6.0;8.0;5.0;2.0;9.0;;4.0;4.0;2.0;;2.0;;;;;;;1165.0
Barendrecht-G0489;42;;4945;2317;2303;1151;351;923.0;235.0;211.0;134.0;26.0;27.0;13.0;14.0;;20.0;2.0;1.0;;2.0;;;;;;;1995.0
Barneveld-G0203;56;;11869;2807;3218;965;346;4178.0;511.0;1380.0;101.0;14.0;41.0;12.0;8.0;6.0;12.0;9.0;3.0;;3.0;;;;;;;3614.0
Barsingerhorn-G0369;8;;425;1049;543;148;98;;1.0;9.0;14.0;2.0;5.0;4.0;1.0;7.0;;5.0;;;;;;;;;;625.0
Bathmen-G0144;10;;1173;905;1040;330;77;1.0;8.0;7.0;12.0;;4.0;3.0;4.0;;;1.0;;;;;;;;;;378.0
Bedum-G0005;12;;2687;1697;579;380;192;17.0;820.0;91.0;20.0;2.0;14.0;3.0;;1.0;12.0;1.0;1.0;;;;;;;;;609.0
Beegden-G0887;3;;564;359;123;65;29;;2.0;;2.0;;2.0;;;1.0;;;;;;;;;;;;195.0
Beek-G0888;39;;5098;3066;1163;653;304;3.0;11.0;7.0;41.0;25.0;16.0;16.0;18.0;2.0;4.0;2.0;;;5.0;;;;;;;2297.0
Beek en Donk-G0746;16;;2942;1577;381;291;232;5.0;3.0;7.0;14.0;20.0;8.0;2.0;7.0;;;7.0;;;1.0;;;;;;;1324.0
Beemster-G0370;15;;1726;1270;1455;446;155;5.0;14.0;12.0;16.0;8.0;16.0;4.0;1.0;2.0;1.0;2.0;1.0;2.0;1.0;;;;;;;780.0
Beers-G0747;3;;1361;400;171;93;48;1.0;2.0;;7.0;3.0;4.0;5.0;5.0;;3.0;;;;;;;;;;;227.0
Beerta-G0006;8;;94;1342;185;44;127;2.0;4.0;4.0;9.0;8.0;1.0;7.0;;220.0;3.0;2.0;;;;;;;;;;319.0
Beesel-G0889;30;;3766;1956;541;337;173;4.0;8.0;3.0;37.0;7.0;17.0;11.0;11.0;4.0;;3.0;1.0;;1.0;;;;;;;2422.0
Beilen-G0107;25;;2949;4066;1396;537;237;28.0;228.0;60.0;17.0;14.0;12.0;3.0;;4.0;6.0;5.0;1.0;;1.0;;;;;;;1145.0
Belfeld-G0890;8;;1632;823;267;178;60;;;1.0;15.0;6.0;7.0;3.0;2.0;;2.0;1.0;2.0;;;;;;;;;847.0
Bellingwedde-G0007;21;;940;4005;737;290;221;11.0;34.0;74.0;15.0;7.0;20.0;2.0;;32.0;23.0;5.0;3.0;;1.0;;;;;;;1039.0
Bemmel-G0206;34;;5077;2888;864;547;185;11.0;13.0;10.0;19.0;8.0;25.0;6.0;;2.0;3.0;5.0;6.0;7.0;;;;;;;;2195.0
Bennebroek-G0372;12;;1586;568;1128;341;135;15.0;18.0;11.0;11.0;3.0;14.0;6.0;1.0;2.0;2.0;;;1.0;1.0;;;;;;;672.0
Benthuizen-G0490;4;;645;306;399;173;42;451.0;29.0;67.0;3.0;1.0;;5.0;1.0;;;;;;;;6.0;;;;;311.0
Bergambacht-G0491;11;;1625;1740;1080;371;135;711.0;61.0;103.0;30.0;5.0;11.0;1.0;5.0;2.0;3.0;1.0;;;;;1.0;;;;;779.0
Bergen-G0373;18;;2938;2191;2447;923;451;6.0;28.0;30.0;49.0;6.0;159.0;19.0;17.0;7.0;1.0;2.0;4.0;4.0;1.0;;;;;;;1529.0
Bergen-G0893;35;;4664;2072;578;339;147;2.0;13.0;3.0;25.0;9.0;15.0;4.0;6.0;2.0;5.0;3.0;1.0;;2.0;;;;;;;1847.0
Bergen op Zoom-G0748;83;;9565;7694;4008;2102;824;44.0;66.0;43.0;466.0;86.0;73.0;47.0;;13.0;10.0;32.0;7.0;;6.0;;;;;;;8660.0
Bergeyk-G0749;14;;3888;1259;599;314;179;23.0;12.0;16.0;20.0;6.0;11.0;8.0;4.0;2.0;2.0;6.0;2.0;;3.0;;;;;;;1089.0
Bergh-G0207;47;;5625;3631;1027;490;172;13.0;18.0;13.0;31.0;12.0;24.0;7.0;;1.0;4.0;10.0;8.0;12.0;;;;;;;;2494.0
Berghem-G0750;9;;1521;1273;227;182;55;;4.0;1.0;19.0;191.0;5.0;1.0;2.0;;;9.0;;;1.0;;;;;;;723.0
Bergschenhoek-G0492;10;;2278;748;969;348;122;62.0;127.0;69.0;57.0;1.0;24.0;5.0;6.0;1.0;2.0;1.0;1.0;;;;;;;;;811.0
Berkel en Rodenrijs-G0493;21;;4822;1295;1767;852;230;54.0;708.0;92.0;61.0;13.0;33.0;13.0;10.0;3.0;7.0;7.0;3.0;;;;;;;;;1360.0
Berkel-Enschot-G0751;7;;3596;1218;1255;563;182;6.0;14.0;2.0;16.0;8.0;8.0;5.0;;2.0;;5.0;1.0;;2.0;;;;;;;889.0
Berlicum-G0752;16;;2748;1544;524;389;104;4.0;7.0;3.0;12.0;78.0;8.0;7.0;1.0;;1.0;3.0;1.0;;2.0;;;;;;;987.0
Bernisse-G0568;31;;2611;1986;1729;802;206;132.0;35.0;59.0;57.0;9.0;21.0;10.0;6.0;3.0;11.0;4.0;6.0;;2.0;;;;;;;1604.0
Best-G0753;36;;6003;3581;1724;1005;329;16.0;88.0;36.0;67.0;51.0;36.0;21.0;19.0;3.0;3.0;4.0;5.0;;3.0;;;;;;;3129.0
Beuningen-G0209;57;;5416;3982;1436;1064;416;14.0;48.0;10.0;51.0;37.0;38.0;20.0;;2.0;11.0;8.0;2.0;4.0;2.0;;;;;;;3563.0
Beverwijk-G0375;73;;7017;7616;2852;1703;1057;43.0;87.0;106.0;163.0;24.0;112.0;34.0;33.0;29.0;10.0;13.0;8.0;33.0;1.0;;;;;;;6038.0
Bierum-G0008;4;;1165;954;298;181;83;11.0;48.0;31.0;4.0;3.0;4.0;2.0;;;17.0;3.0;;;1.0;;;;;;;433.0
Binnenmaas-G0585;43;;3771;3260;2570;971;289;676.0;91.0;113.0;88.0;17.0;28.0;12.0;6.0;4.0;7.0;3.0;3.0;;2.0;;;;;;;2044.0
Bladel en Netersel-G0754;23;;3336;1236;577;355;214;13.0;10.0;6.0;11.0;14.0;14.0;15.0;6.0;;8.0;3.0;;;;;;;;;;1538.0
Blaricum-G0376;9;;2147;1278;2193;692;234;17.0;41.0;21.0;32.0;;21.0;7.0;6.0;4.0;3.0;;2.0;;2.0;;;;;;;1122.0
Bleiswijk-G0495;13;;2452;769;1310;415;90;140.0;68.0;116.0;28.0;1.0;11.0;9.0;6.0;;2.0;2.0;2.0;;2.0;;;;;;;877.0
Bloemendaal-G0377;39;;3931;1765;4437;1218;332;37.0;77.0;44.0;45.0;7.0;53.0;16.0;12.0;10.0;13.0;5.0;2.0;11.0;1.0;;;;;;;1691.0
Boarnsterhim-G0055;33;;2537;5798;1948;921;406;46.0;47.0;52.0;33.0;11.0;25.0;5.0;;5.0;11.0;2.0;1.0;;1.0;;;;;;;1450.0
Bodegraven-G0497;22;;5000;1858;1740;756;263;489.0;169.0;276.0;58.0;11.0;26.0;11.0;1.0;10.0;5.0;1.0;;;2.0;;;;;;;2174.0
Boekel-G0755;27;;3386;1149;399;236;135;2.0;3.0;7.0;9.0;23.0;12.0;6.0;5.0;;2.0;5.0;;;1.0;;;;;;;1024.0
Bolsward-G0064;22;;2654;2212;542;429;209;9.0;62.0;44.0;10.0;3.0;13.0;9.0;;1.0;3.0;3.0;;;;;;;;;;1156.0
Borculo-G0211;28;;2096;2468;1320;421;167;7.0;28.0;22.0;18.0;4.0;9.0;4.0;;2.0;1.0;2.0;5.0;6.0;;;;;;;;980.0
Borger-G0108;34;;2050;4512;1347;518;237;11.0;107.0;64.0;12.0;7.0;16.0;6.0;;3.0;23.0;;;;2.0;;;;;;;833.0
Born-G0897;35;;4703;2598;729;444;207;12.0;8.0;16.0;36.0;19.0;16.0;11.0;7.0;8.0;3.0;3.0;8.0;;4.0;;;;;;;1649.0
Borne-G0147;12;;6868;3878;1591;942;318;14.0;57.0;53.0;22.0;34.0;21.0;10.0;8.0;3.0;6.0;7.0;1.0;7.0;1.0;;;;;;;1924.0
Borsele-G0654;22;;5350;2699;1417;776;297;1397.0;141.0;144.0;66.0;6.0;23.0;14.0;;1.0;8.0;2.0;6.0;;1.0;;;;;;;2512.0
Boskoop-G0499;30;;3861;1539;1851;733;412;307.0;108.0;164.0;58.0;7.0;23.0;4.0;2.0;2.0;7.0;1.0;4.0;;;;;;;;;1412.0
Boxmeer-G0756;24;;4707;2632;846;560;300;8.0;8.0;14.0;21.0;54.0;19.0;10.0;5.0;4.0;;11.0;1.0;;5.0;;;;;;;1540.0
Boxtel-G0757;40;;5986;4501;1470;1027;466;12.0;37.0;15.0;51.0;662.0;46.0;12.0;;9.0;5.0;;4.0;;6.0;;;;;;;3834.0
Brakel-G0212;14;;1321;1079;286;110;45;974.0;35.0;129.0;18.0;5.0;6.0;1.0;;1.0;1.0;2.0;;3.0;;;;;;;;650.0
Breda-G0758;158;;22697;22900;10318;6729;3286;159.0;219.0;162.0;880.0;172.0;315.0;107.0;;35.0;48.0;40.0;10.0;;15.0;;;;;;;26217.0
Brederwiede-G0194;17;;3227;2476;939;408;125;60.0;597.0;92.0;21.0;2.0;13.0;5.0;1.0;1.0;4.0;2.0;;;;;;;;;;966.0
Breukelen-G0311;26;;3507;1396;1807;810;307;493.0;87.0;185.0;47.0;10.0;20.0;6.0;6.0;1.0;;1.0;;;;;;;;;;1518.0
Brielle-G0501;27;;2615;2784;2343;1063;290;57.0;49.0;53.0;80.0;12.0;28.0;13.0;16.0;5.0;7.0;6.0;3.0;;;;;;;;;2067.0
Broek in Waterland-G0380;3;;500;512;459;228;77;3.0;4.0;8.0;21.0;2.0;7.0;4.0;1.0;;;1.0;;;;;;;;;;269.0
Broekhuizen-G0898;3;;754;208;117;56;38;;2.0;1.0;4.0;1.0;1.0;2.0;;;;1.0;1.0;;;;;;;;;182.0
Brouwershaven-G0656;7;;565;906;530;184;59;59.0;83.0;24.0;10.0;4.0;12.0;6.0;;4.0;1.0;1.0;;;;;;;;;;362.0
Bruinisse-G0657;5;;634;561;321;89;27;368.0;25.0;71.0;7.0;3.0;3.0;;;;1.0;1.0;;;1.0;;;;;;;243.0
Brummen-G0213;43;;3622;5594;2213;1036;384;35.0;58.0;66.0;47.0;10.0;72.0;18.0;8.0;4.0;5.0;9.0;6.0;;;;;;;;;2349.0
Brunssum-G0899;86;;6610;7802;1082;856;419;14.0;132.0;42.0;114.0;207.0;31.0;28.0;47.0;36.0;12.0;7.0;6.0;;4.0;;;;;;;5825.0
