RegioNaam;@invalid;@blank;CDA;PvdA;VVD;D66;GL;SGP;Gereformeerd Politiek Verbond (GPV);Reformatorische Politieke Federatie (RPF);Centrumdemocraten;SP;DG;Vrouwenpartij;Bejaarden Centraal;VCN: partij van communisten in Nederland;Realisten Nederland;Socialistische Arbeiderspartij;Anti Werkloosheid Partij;Politieke Partij voor Ouderen;Vooruitstrevende Minderheden Partij;Partij Democratisch Socialisten;Socialistische Minderheden Partij;Humanistische Partij;Milieu Defensie Partij 2000+;Grote Alliance Partij;Staatkundige Federatie;@abs
Gendringen-G0237;35;;7016;3495;824;594;267;13.0;21.0;31.0;40.0;19.0;41.0;21.0;;2.0;1.0;10.0;8.0;9.0;;;;;;;;2478.0
Gendt-G0238;29;;2163;1445;342;248;94;5.0;1.0;5.0;11.0;2.0;6.0;4.0;;;;3.0;1.0;1.0;1.0;;;;;;;902.0
Genemuiden-G0154;17;;1272;689;238;84;20;1267.0;77.0;560.0;7.0;;1.0;1.0;2.0;;;1.0;;1.0;;;;;;;;743.0
Gennep-G0907;32;;4494;2624;881;800;333;5.0;10.0;9.0;31.0;10.0;24.0;11.0;5.0;2.0;4.0;3.0;3.0;;1.0;;;;;;;2985.0
Giessenlanden-G0689;25;;3221;2484;1716;592;148;495.0;116.0;410.0;39.0;3.0;22.0;18.0;5.0;2.0;2.0;3.0;2.0;;1.0;;;;;;;1102.0
Gieten-G0116;23;;680;1969;950;289;117;5.0;18.0;13.0;10.0;2.0;4.0;2.0;;3.0;10.0;1.0;;;;;;;;;;535.0
Gilze en Rijen-G0784;42;;6485;3925;1575;1055;340;10.0;10.0;9.0;112.0;38.0;36.0;20.0;;6.0;9.0;15.0;5.0;;5.0;;;;;;;3022.0
Goedereede-G0511;27;;2174;1340;851;277;72;2000.0;69.0;218.0;24.0;9.0;5.0;5.0;;3.0;3.0;3.0;;;2.0;;;;;;;795.0
Goes-G0664;64;;6819;5983;2403;1417;748;1497.0;310.0;290.0;113.0;44.0;52.0;31.0;;4.0;17.0;3.0;7.0;;2.0;;;;;;;4689.0
Goirle-G0785;24;;4483;3338;1360;1030;443;8.0;32.0;20.0;30.0;19.0;27.0;11.0;;2.0;2.0;8.0;3.0;;3.0;;;;;;;2712.0
