RegioNaam;@invalid;@blank;PvdA;KVP;ARP;VVD;CHU;Communistische Partij van Nederland;SGP;Gereformeerd Politiek Verbond (GPV);Nationale Unie (Algemeen Christelijk);Nederlandse Oppositie Unie;@abs
Usquert-G0046;14;;781;29.0;49.0;156.0;48.0;25.0;2.0;12.0;;1.0;10.0
Utingeradeel-G0095;51;;1708;30.0;278.0;422.0;397.0;50.0;51.0;1.0;1.0;4.0;122.0
Utrecht-G0344;2694;;54121;37574.0;12618.0;10736.0;8677.0;5697.0;1563.0;519.0;785.0;633.0;6517.0
Vaals-G0981;374;;561;3834.0;28.0;27.0;43.0;186.0;1.0;5.0;17.0;6.0;54.0
Valburg-G0283;45;;851;1500.0;473.0;137.0;704.0;26.0;342.0;9.0;11.0;6.0;174.0
Valkenburg (ZH)-G0619;8;;113;50.0;180.0;62.0;279.0;4.0;63.0;26.0;13.0;1.0;12.0
Valkenburg-Houthem-G0982;158;;772;5164.0;137.0;204.0;105.0;39.0;15.0;8.0;110.0;65.0;
Valkenswaard-G0858;163;;1349;6233.0;65.0;90.0;57.0;26.0;4.0;4.0;8.0;8.0;111.0
Varik-G0284;6;;331;137.0;22.0;24.0;152.0;1.0;27.0;;;;10.0
Veen-G0859;10;;141;1.0;74.0;3.0;114.0;;214.0;3.0;1.0;;89.0
Veendam-G0047;241;;4851;521.0;751.0;1252.0;639.0;488.0;17.0;60.0;25.0;50.0;349.0
Veenendaal-G0345;140;;2553;328.0;2091.0;296.0;2055.0;69.0;999.0;21.0;16.0;48.0;337.0
Veere-G0717;12;;140;19.0;197.0;62.0;108.0;5.0;79.0;12.0;2.0;;36.0
Veghel-G0860;78;;409;5300.0;27.0;46.0;35.0;19.0;2.0;3.0;10.0;7.0;122.0
Veldhoven-G0861;87;;733;5714.0;115.0;50.0;66.0;10.0;3.0;4.0;15.0;6.0;122.0
Velsen-G0453;727;;12534;7234.0;3126.0;2796.0;2106.0;2822.0;233.0;142.0;167.0;108.0;1597.0
Venhuizen-G0454;20;;585;946.0;24.0;217.0;16.0;20.0;2.0;;;;14.0
Venlo-G0983;725;;4241;20030.0;255.0;305.0;136.0;203.0;14.0;9.0;111.0;79.0;744.0
Venray-G0984;110;;329;7532.0;10.0;12.0;14.0;26.0;2.0;;11.0;10.0;141.0
Vessem, Wintelre en Knegsel-G0862;3;;6;1019.0;;3.0;2.0;;;;;1.0;1.0
Vianen-G0620;20;;857;570.0;293.0;142.0;352.0;14.0;147.0;4.0;16.0;1.0;67.0
Vierlingsbeek-G0863;19;;57;2708.0;4.0;3.0;21.0;;;;;;29.0
Vierpolders-G0621;10;;279;2.0;36.0;151.0;45.0;17.0;5.0;;;5.0;21.0
Vinkeveen en Waverveen-G0346;28;;167;1528.0;367.0;72.0;335.0;11.0;188.0;2.0;1.0;19.0;122.0
Vlaardingen-G0622;477;;13654;3517.0;4484.0;2387.0;5452.0;1011.0;1221.0;223.0;62.0;119.0;1786.0
Vlagtwedde-G0048;301;;3292;1384.0;837.0;691.0;1545.0;562.0;14.0;37.0;13.0;52.0;472.0
Vledder-G0132;51;;791;83.0;127.0;274.0;100.0;42.0;;4.0;;;66.0
Vleuten-De Meern-G0347;36;;451;2102.0;262.0;108.0;576.0;12.0;72.0;22.0;8.0;4.0;92.0
Vlieland-G0096;11;;461;35.0;88.0;116.0;61.0;1.0;;10.0;9.0;9.0;
Vlijmen-G0864;92;;396;3798.0;16.0;17.0;40.0;7.0;1.0;1.0;5.0;6.0;73.0
