RegioNaam;@invalid;@blank;PvdA;CDA;VVD;D66;SGP;Communistische Partij van Nederland;Politieke Partij Radikalen (PPR);Gereformeerd Politiek Verbond (GPV);Pacifistisch-Socialistische Partij (PSP);Boeren Partij;Democratisch Socialisten '70;Reformatorische Politieke Federatie (RPF);Nederlandse Volks Unie (NVU);Rooms Katholieke Partij Nederland (RKPN);SP;Federatie Bejaardenpartijen Nederland;Verbond tegen Ambtelijke Willekeur;KEN;Democratisch Actie Centrum;Partij van de Belastingbetalers;Europese Conservatieve Unie;Lijst-JUSIA;Nederlandse Middenstands Partij;Lijst-Griek;@abs
Cuijk en Sint Agatha-G0761;37;;2615;3679;1142;458;3.0;30.0;156.0;;58.0;102.0;32.0;;19.0;33.0;63.0;6.0;4.0;2.0;1.0;;;;;;1212.0
Culemborg-G0216;32;;3848;2991;2040;602;195.0;144.0;251.0;51.0;144.0;103.0;60.0;54.0;72.0;59.0;34.0;;5.0;2.0;1.0;;;;;;1305.0
Dalen-G0110;21;;1413;712;1074;119;2.0;26.0;27.0;7.0;6.0;71.0;19.0;7.0;8.0;3.0;6.0;;;1.0;2.0;;;;;;173.0
Dalfsen-G0148;16;;1277;4750;1090;309;82.0;5.0;56.0;561.0;15.0;165.0;29.0;109.0;5.0;52.0;1.0;;;;1.0;;;;;;462.0
Dantumadeel-G0065;103;;3126;4806;706;254;733.0;63.0;76.0;280.0;42.0;88.0;31.0;266.0;21.0;3.0;3.0;;1.0;1.0;2.0;;;;;;1277.0
De Bilt-G0310;129;;5071;5574;7071;1946;394.0;93.0;419.0;273.0;248.0;70.0;232.0;133.0;34.0;66.0;45.0;22.0;8.0;3.0;9.0;;;;;;1807.0
De Lier-G0552;22;;649;2766;1108;189;43.0;15.0;26.0;118.0;4.0;39.0;28.0;20.0;15.0;18.0;;;1.0;;;;;;;;352.0
De Wijk-G0135;10;;1003;736;905;116;6.0;14.0;22.0;27.0;20.0;72.0;8.0;7.0;9.0;1.0;3.0;;1.0;1.0;2.0;;;;;;267.0
Deil-G0217;6;;664;581;526;102;60.0;10.0;29.0;11.0;7.0;37.0;12.0;2.0;3.0;4.0;1.0;;;;;;;;;;157.0
Delft-G0503;213;;20784;13430;9585;4627;776.0;1629.0;1592.0;419.0;931.0;193.0;462.0;315.0;215.0;209.0;100.0;21.0;21.0;22.0;9.0;;7.0;;;;6867.0
Delfzijl-G0010;60;;6421;3009;1936;637;27.0;396.0;177.0;279.0;98.0;64.0;92.0;121.0;33.0;9.0;26.0;;5.0;10.0;5.0;;;;;;2271.0
Den Dungen-G0768;13;;536;1356;220;116;;5.0;36.0;1.0;10.0;31.0;8.0;;;13.0;;2.0;1.0;;1.0;;;;;;179.0
Den Ham-G0159;23;;1850;4613;468;122;98.0;16.0;44.0;343.0;15.0;181.0;26.0;82.0;5.0;12.0;8.0;;;;;;;;;;721.0
Den Helder-G0400;218;;11581;7938;10809;2031;234.0;252.0;431.0;400.0;212.0;183.0;500.0;257.0;146.0;80.0;16.0;;12.0;5.0;8.0;12.0;;;;;6918.0
Denekamp-G0149;32;;1190;4614;642;177;11.0;11.0;68.0;4.0;25.0;105.0;10.0;8.0;3.0;69.0;2.0;;1.0;;1.0;;;;;;377.0
Deurne-G0762;69;;3126;8333;1630;473;5.0;96.0;205.0;6.0;132.0;153.0;43.0;8.0;25.0;84.0;23.0;5.0;6.0;3.0;3.0;;;;;;2851.0
Deventer-G0150;159;;18840;8469;6445;2561;146.0;887.0;845.0;205.0;375.0;251.0;304.0;164.0;81.0;130.0;73.0;;15.0;14.0;7.0;;;;;;5261.0
Didam-G0218;19;;2393;4324;824;259;9.0;16.0;114.0;9.0;18.0;251.0;23.0;6.0;20.0;118.0;6.0;;2.0;2.0;1.0;;;;;;970.0
Diemen-G0384;63;;2808;1829;2137;842;29.0;258.0;201.0;21.0;232.0;48.0;121.0;35.0;53.0;32.0;19.0;;6.0;3.0;3.0;;;;;;1013.0
Diepenheim-G0151;10;;739;354;480;82;4.0;5.0;14.0;4.0;5.0;32.0;15.0;2.0;;1.0;;;;;;;;;;;
Diepenveen-G0152;18;;1505;2733;1529;413;15.0;27.0;113.0;11.0;32.0;78.0;39.0;20.0;10.0;30.0;3.0;;;1.0;;;;;;;402.0
Diessen-G0763;15;;197;1452;157;56;1.0;8.0;27.0;2.0;8.0;24.0;4.0;;2.0;5.0;3.0;1.0;;2.0;;;;;;;115.0
Diever-G0111;15;;889;571;502;78;4.0;11.0;28.0;26.0;27.0;46.0;25.0;10.0;2.0;6.0;5.0;;3.0;1.0;;;;;;;
Dinteloord en Prinsenland-G0764;37;;1085;1104;471;123;253.0;16.0;12.0;19.0;10.0;11.0;8.0;40.0;3.0;13.0;;1.0;1.0;1.0;2.0;;;;;;364.0
Dinxperlo-G0219;20;;962;2341;534;70;12.0;9.0;34.0;3.0;13.0;38.0;16.0;21.0;3.0;19.0;2.0;;;;;;;;;;579.0
Dirksland-G0504;59;;1303;788;452;103;1270.0;15.0;22.0;53.0;13.0;45.0;22.0;47.0;10.0;2.0;;3.0;1.0;;;;1.0;;;;422.0
Dodewaard-G0220;8;;969;552;316;78;255.0;4.0;12.0;7.0;7.0;29.0;6.0;8.0;1.0;;2.0;;2.0;;;;;;;;207.0
Doesburg-G0221;22;;2607;1793;797;227;27.0;31.0;68.0;39.0;28.0;33.0;27.0;18.0;4.0;43.0;15.0;;3.0;13.0;9.0;;;;;;755.0
Doetinchem-G0222;65;;7890;7295;3615;998;172.0;120.0;397.0;104.0;133.0;238.0;150.0;68.0;27.0;83.0;50.0;;4.0;8.0;3.0;;;;;;2865.0
Dokkum-G0066;34;;1526;3935;546;208;102.0;25.0;72.0;153.0;13.0;17.0;23.0;78.0;2.0;5.0;1.0;;1.0;;1.0;;;;;;624.0
Domburg-G0660;6;;654;934;610;101;304.0;12.0;20.0;41.0;9.0;15.0;21.0;45.0;4.0;5.0;;;2.0;;;;;;;;
Dongen-G0766;67;;3396;4882;1619;539;8.0;77.0;206.0;7.0;57.0;146.0;33.0;3.0;15.0;67.0;34.0;18.0;5.0;2.0;2.0;;;;;;1669.0
Doniawerstal-G0067;20;;932;2081;478;136;34.0;14.0;44.0;13.0;10.0;25.0;15.0;14.0;2.0;7.0;1.0;;1.0;;2.0;;;;;;241.0
Doorn-G0315;43;;1390;1948;2487;480;310.0;30.0;106.0;53.0;53.0;54.0;62.0;61.0;11.0;12.0;12.0;4.0;4.0;2.0;4.0;;;;;;1308.0
Dordrecht-G0505;466;;27738;12919;11142;3221;1830.0;909.0;991.0;581.0;564.0;256.0;358.0;521.0;289.0;95.0;96.0;57.0;14.0;18.0;21.0;;2.0;;;;10211.0
Dreumel-G0224;6;;490;1034;246;71;;13.0;23.0;;12.0;28.0;5.0;;1.0;23.0;5.0;;1.0;;1.0;;;;;;225.0
Driebergen-Rijsenburg-G0316;69;;2519;3267;3083;678;510.0;61.0;207.0;155.0;131.0;67.0;94.0;91.0;18.0;28.0;14.0;3.0;3.0;;;;;;;;934.0
Driebruggen-G0506;24;;268;1100;408;77;351.0;1.0;34.0;26.0;7.0;37.0;12.0;17.0;7.0;9.0;1.0;1.0;3.0;;;;;;;;210.0
Dronten-G0303;16;;2308;3685;1885;478;147.0;68.0;181.0;190.0;50.0;49.0;50.0;230.0;25.0;20.0;;;3.0;2.0;1.0;;;;;;788.0
Drunen-G0767;30;;1838;3980;1221;394;6.0;38.0;111.0;6.0;55.0;106.0;28.0;5.0;13.0;28.0;23.0;2.0;1.0;1.0;1.0;;;;;;944.0
Druten-G0225;21;;2137;3105;635;239;6.0;25.0;144.0;2.0;50.0;102.0;13.0;4.0;10.0;22.0;68.0;;2.0;2.0;;;;;;;1103.0
Duiveland-G0662;10;;819;557;449;91;818.0;4.0;17.0;43.0;12.0;11.0;17.0;26.0;4.0;;1.0;;;;1.0;;;;;;265.0
Duiven-G0226;31;;1306;2712;721;223;8.0;14.0;92.0;14.0;24.0;78.0;18.0;4.0;25.0;28.0;13.0;;1.0;1.0;;;;;;;558.0
Dussen-G0769;15;;887;1559;372;95;131.0;10.0;24.0;16.0;7.0;48.0;12.0;27.0;6.0;29.0;2.0;9.0;1.0;1.0;;;;;;;388.0
Dwingeloo-G0112;11;;1085;546;679;102;3.0;1.0;39.0;16.0;20.0;40.0;9.0;6.0;3.0;1.0;8.0;;2.0;;;;;;;;
Echt-G0902;129;;2914;4753;1098;207;6.0;117.0;178.0;8.0;175.0;219.0;66.0;5.0;17.0;247.0;11.0;;37.0;10.0;6.0;;;;;;1841.0
Echteld-G0227;17;;1620;682;683;126;501.0;5.0;24.0;29.0;9.0;58.0;11.0;17.0;7.0;3.0;5.0;;1.0;;1.0;;;;;;258.0
Edam-Volendam-G0385;84;;2669;6621;2233;619;12.0;100.0;223.0;17.0;49.0;74.0;77.0;5.0;45.0;232.0;2.0;;3.0;4.0;2.0;10.0;;;;;1173.0
Ede-G0228;157;;9550;16051;9746;2434;6369.0;118.0;635.0;628.0;232.0;1562.0;314.0;665.0;134.0;75.0;117.0;;12.0;6.0;12.0;;6.0;;;;4333.0
Eelde-G0113;28;;2464;1108;2091;611;6.0;46.0;113.0;39.0;58.0;59.0;52.0;17.0;24.0;7.0;6.0;;1.0;2.0;3.0;;;;;;357.0
Eemnes-G0317;18;;732;1289;901;331;69.0;18.0;97.0;26.0;25.0;55.0;17.0;34.0;8.0;11.0;2.0;;2.0;1.0;2.0;;;;;;266.0
Eenrum-G0011;6;;895;191;301;46;3.0;13.0;49.0;87.0;21.0;4.0;6.0;7.0;2.0;3.0;2.0;;1.0;;;;;;;;123.0
Eersel-G0770;22;;854;3649;949;313;;14.0;105.0;;30.0;60.0;20.0;5.0;13.0;21.0;7.0;2.0;1.0;;2.0;;;;;;699.0
Egmond aan Zee-G0386;21;;1763;671;779;195;2.0;65.0;53.0;7.0;23.0;22.0;40.0;4.0;21.0;10.0;1.0;;2.0;1.0;;1.0;;;;;345.0
