RegioNaam;@invalid;@blank;PvdA;CDA;VVD;D66;SGP;Communistische Partij van Nederland;Politieke Partij Radikalen (PPR);Gereformeerd Politiek Verbond (GPV);Pacifistisch-Socialistische Partij (PSP);Boeren Partij;Democratisch Socialisten '70;Reformatorische Politieke Federatie (RPF);Nederlandse Volks Unie (NVU);Rooms Katholieke Partij Nederland (RKPN);SP;Federatie Bejaardenpartijen Nederland;Verbond tegen Ambtelijke Willekeur;KEN;Democratisch Actie Centrum;Partij van de Belastingbetalers;Europese Conservatieve Unie;Lijst-JUSIA;Nederlandse Middenstands Partij;Lijst-Griek;@abs
Susteren-G0974;65;;1139;2065;497;131;2.0;43.0;57.0;2.0;19.0;52.0;19.0;5.0;6.0;146.0;5.0;;15.0;1.0;1.0;;;;;;754.0
Swalmen-G0975;75;;1492;2135;684;147;3.0;26.0;75.0;6.0;36.0;64.0;19.0;2.0;10.0;47.0;8.0;;15.0;1.0;;;;;;;976.0
't Zandt-G0054;8;;636;465;250;44;2.0;3.0;28.0;29.0;22.0;6.0;8.0;6.0;2.0;;2.0;;1.0;;;;;;;;144.0
Tegelen-G0976;112;;3327;4677;1125;267;1.0;49.0;176.0;2.0;49.0;89.0;32.0;5.0;26.0;76.0;6.0;;5.0;2.0;1.0;;;;;;1746.0
Ten Boer-G0009;15;;1267;1399;587;175;13.0;71.0;72.0;370.0;31.0;20.0;26.0;96.0;7.0;2.0;2.0;;;1.0;;;;;;;318.0
Ter Aar-G0480;33;;636;2479;872;165;110.0;15.0;55.0;18.0;16.0;35.0;13.0;10.0;7.0;23.0;2.0;3.0;;;;;;;;;339.0
Terheijden-G0853;28;;1387;1771;646;223;3.0;28.0;56.0;;48.0;59.0;17.0;2.0;17.0;22.0;3.0;3.0;1.0;1.0;1.0;;;;;;541.0
Termunten-G0042;38;;1277;714;270;70;11.0;226.0;43.0;11.0;31.0;16.0;19.0;52.0;6.0;1.0;2.0;;;2.0;;;;;;;643.0
Terneuzen-G0715;86;;6986;4994;3525;938;1076.0;93.0;283.0;712.0;85.0;231.0;102.0;164.0;78.0;85.0;66.0;;23.0;4.0;11.0;;;;;;3437.0
Terschelling-G0093;31;;1282;907;1096;312;13.0;25.0;100.0;29.0;68.0;31.0;71.0;17.0;20.0;1.0;1.0;2.0;;;2.0;;;;;;
Teteringen-G0854;11;;616;1575;834;188;2.0;13.0;35.0;3.0;13.0;23.0;13.0;;10.0;17.0;3.0;3.0;;;;;;;;;222.0
Texel-G0448;40;;2503;2597;2092;585;69.0;72.0;176.0;38.0;106.0;87.0;108.0;83.0;11.0;24.0;10.0;;2.0;;2.0;1.0;;;;;
Tholen-G0716;58;;3129;2282;1556;266;3006.0;28.0;70.0;108.0;30.0;91.0;54.0;133.0;15.0;14.0;6.0;;11.0;2.0;4.0;;;;;;1309.0
Thorn-G0977;26;;345;1003;183;39;1.0;2.0;22.0;4.0;9.0;26.0;5.0;;;11.0;;;;;2.0;;;;;;156.0
Tiel-G0281;42;;7150;3607;2636;799;70.0;77.0;255.0;149.0;86.0;85.0;101.0;26.0;35.0;34.0;25.0;;2.0;2.0;3.0;;;;;;2076.0
Tienhoven (ZH)-G0618;1;;64;137;39;5;32.0;2.0;3.0;;1.0;8.0;;5.0;;1.0;;;;;;;;;;;13.0
Tietjerksteradeel-G0094;86;;5018;7753;2213;798;196.0;88.0;152.0;308.0;79.0;103.0;111.0;248.0;19.0;9.0;6.0;1.0;1.0;1.0;;;;;;;1635.0
Tilburg-G0855;659;;31977;29766;12241;4643;53.0;853.0;1995.0;69.0;1201.0;840.0;382.0;35.0;298.0;480.0;909.0;858.0;62.0;99.0;19.0;;;;;;19037.0
Tubbergen-G0183;23;;883;8193;597;139;9.0;12.0;57.0;5.0;22.0;192.0;18.0;10.0;5.0;112.0;4.0;;;2.0;;;;;;;448.0
Twisk-G0449;4;;235;70;171;38;1.0;9.0;12.0;5.0;;8.0;8.0;4.0;;;;;1.0;;;;;;;;47.0
Ubach over Worms-G0978;108;;2744;1992;743;199;11.0;137.0;111.0;7.0;32.0;124.0;52.0;5.0;21.0;72.0;26.0;;16.0;9.0;4.0;;;;;;1303.0
Ubbergen-G0282;20;;1647;3005;866;271;4.0;24.0;178.0;4.0;79.0;30.0;15.0;4.0;11.0;30.0;39.0;;2.0;1.0;;;;;;;681.0
Uden-G0856;79;;3613;7848;3374;789;8.0;42.0;206.0;16.0;124.0;141.0;79.0;10.0;27.0;70.0;200.0;23.0;31.0;2.0;9.0;;;;;;2511.0
Udenhout-G0857;23;;848;2521;652;225;;12.0;51.0;3.0;11.0;35.0;14.0;;2.0;10.0;2.0;7.0;2.0;1.0;2.0;;;;;;829.0
Uitgeest-G0450;39;;1576;1631;1234;474;2.0;222.0;143.0;10.0;47.0;25.0;64.0;6.0;12.0;24.0;2.0;;3.0;;;1.0;;;;;467.0
Uithoorn-G0451;56;;3207;4177;3781;1059;23.0;141.0;308.0;27.0;112.0;73.0;162.0;47.0;48.0;39.0;9.0;;2.0;2.0;1.0;;;;;;1144.0
Uithuizen-G0043;25;;1334;1215;382;73;11.0;94.0;28.0;183.0;30.0;14.0;17.0;13.0;7.0;15.0;3.0;;;1.0;;;;;;;285.0
Uithuizermeeden-G0044;13;;843;1438;337;52;11.0;12.0;30.0;495.0;8.0;23.0;4.0;29.0;2.0;5.0;1.0;;;;1.0;;;;;;277.0
Ulestraten-G0979;11;;497;1025;464;83;2.0;7.0;32.0;;11.0;13.0;14.0;1.0;1.0;15.0;1.0;;7.0;1.0;;;;;;;223.0
Ulrum-G0045;14;;606;956;235;43;36.0;20.0;14.0;296.0;20.0;17.0;12.0;67.0;4.0;;;;1.0;;;;;;;;216.0
Urk-G0184;15;;95;1927;218;28;1450.0;6.0;10.0;236.0;3.0;27.0;2.0;964.0;7.0;1.0;4.0;;1.0;5.0;;;;;;;229.0
Urmond-G0980;36;;923;1335;328;91;;19.0;85.0;2.0;47.0;19.0;5.0;;9.0;40.0;3.0;;4.0;2.0;2.0;;;;;;397.0
Ursem-G0452;8;;315;713;351;123;;30.0;25.0;;14.0;16.0;12.0;;1.0;40.0;;;;;;1.0;;;;;162.0
Usquert-G0046;6;;701;101;175;26;1.0;32.0;18.0;26.0;2.0;4.0;4.0;1.0;;;2.0;;;2.0;1.0;;;;;;62.0
Utingeradeel-G0095;16;;1639;800;603;174;50.0;27.0;43.0;12.0;27.0;14.0;18.0;19.0;3.0;2.0;2.0;;1.0;;;;;;;;211.0
Utrecht-G0344;844;;61392;37111;24618;9776;1325.0;2728.0;3679.0;896.0;3905.0;689.0;1042.0;598.0;622.0;802.0;1866.0;122.0;45.0;73.0;47.0;;;;;;25205.0
Vaals-G0981;113;;1864;1996;848;107;6.0;137.0;87.0;8.0;34.0;44.0;34.0;1.0;17.0;103.0;3.0;;3.0;7.0;1.0;;;;;;999.0
Valburg-G0283;18;;1522;2989;985;246;449.0;9.0;99.0;59.0;32.0;83.0;19.0;41.0;6.0;9.0;19.0;;1.0;1.0;;;;;;;660.0
Valkenburg (ZH)-G0619;3;;246;727;335;52;67.0;6.0;26.0;102.0;1.0;8.0;5.0;23.0;4.0;;;;;;1.0;;;;;;200.0
Valkenburg-Houthem-G0982;85;;2059;3937;1856;232;15.0;80.0;125.0;10.0;56.0;96.0;56.0;5.0;15.0;115.0;6.0;;20.0;1.0;4.0;;;;;;187.0
Valkenisse-G0720;11;;738;1533;728;190;227.0;9.0;79.0;54.0;15.0;34.0;24.0;25.0;12.0;3.0;1.0;;1.0;;3.0;;;;;;255.0
Valkenswaard-G0858;61;;4394;6628;2629;847;7.0;47.0;240.0;15.0;80.0;135.0;75.0;8.0;30.0;92.0;17.0;3.0;5.0;2.0;2.0;;;;;;2447.0
Varik-G0284;1;;271;286;125;22;23.0;1.0;13.0;1.0;5.0;28.0;8.0;2.0;;1.0;1.0;;;;;;;;;;67.0
Veendam-G0047;96;;9083;3109;2553;569;24.0;451.0;188.0;138.0;132.0;94.0;79.0;123.0;48.0;20.0;13.0;;9.0;8.0;;;;;;;2043.0
Veenendaal-G0345;96;;5388;7758;3283;891;2704.0;81.0;171.0;412.0;69.0;241.0;99.0;721.0;46.0;17.0;34.0;8.0;2.0;3.0;;;;;;;2245.0
Veere-G0717;9;;404;1389;440;140;249.0;12.0;46.0;131.0;4.0;16.0;25.0;68.0;2.0;;;;1.0;2.0;1.0;;;;;;89.0
Veghel-G0860;73;;2609;6338;2097;531;5.0;36.0;138.0;11.0;89.0;127.0;61.0;5.0;27.0;57.0;81.0;23.0;7.0;1.0;5.0;;;;;;1890.0
Veldhoven-G0861;61;;4232;7480;2988;1017;9.0;61.0;290.0;24.0;106.0;145.0;78.0;13.0;42.0;97.0;59.0;8.0;3.0;5.0;;;;;;;3294.0
Velsen-G0453;298;;14892;10017;7859;2724;176.0;1086.0;722.0;286.0;391.0;210.0;514.0;221.0;159.0;83.0;37.0;;21.0;13.0;7.0;;;;;;4903.0
Venhuizen-G0454;13;;1020;1339;970;261;2.0;45.0;88.0;4.0;59.0;45.0;26.0;4.0;17.0;39.0;2.0;;3.0;;;;;;;;375.0
Venlo-G0983;333;;8924;15239;5845;1289;15.0;235.0;798.0;24.0;297.0;268.0;150.0;12.0;79.0;535.0;57.0;;28.0;9.0;13.0;;;;;;7819.0
Venray-G0984;172;;3523;9280;2001;795;6.0;90.0;306.0;5.0;178.0;202.0;54.0;4.0;28.0;139.0;160.0;;13.0;4.0;8.0;;;;;;3984.0
Vessem, Wintelre en Knegsel-G0862;16;;241;1813;299;105;;6.0;21.0;2.0;10.0;28.0;8.0;2.0;1.0;6.0;2.0;;;;;;;;;;238.0
Vianen-G0620;45;;2708;2248;1594;550;195.0;67.0;154.0;27.0;48.0;30.0;55.0;22.0;21.0;15.0;13.0;5.0;1.0;2.0;1.0;;;;;;894.0
Vierlingsbeek-G0863;27;;641;2786;461;116;6.0;9.0;57.0;2.0;29.0;31.0;14.0;2.0;12.0;29.0;13.0;4.0;;3.0;1.0;;;;;;493.0
Vierpolders-G0621;6;;506;177;316;97;10.0;6.0;16.0;6.0;6.0;25.0;10.0;5.0;5.0;2.0;2.0;2.0;2.0;;;;;;;;104.0
Vinkeveen en Waverveen-G0346;39;;742;2116;1494;310;167.0;26.0;60.0;24.0;18.0;50.0;41.0;12.0;17.0;25.0;2.0;1.0;1.0;1.0;;;;;;;567.0
Vlaardingen-G0622;185;;22624;10529;7128;3104;1627.0;558.0;833.0;398.0;395.0;125.0;293.0;362.0;232.0;69.0;304.0;16.0;9.0;15.0;6.0;;1.0;;;;6597.0
Vlagtwedde-G0048;77;;4459;3451;1358;224;33.0;256.0;89.0;72.0;60.0;193.0;35.0;51.0;28.0;66.0;5.0;;3.0;6.0;3.0;;;;;;1429.0
Vledder-G0132;13;;1007;415;492;128;16.0;32.0;29.0;11.0;10.0;33.0;8.0;12.0;5.0;6.0;4.0;;2.0;2.0;2.0;;;;;;186.0
Vleuten-De Meern-G0347;37;;1691;4182;2596;598;112.0;38.0;174.0;100.0;70.0;52.0;66.0;36.0;19.0;97.0;16.0;2.0;3.0;2.0;;;;;;;742.0
Vlieland-G0096;7;;429;170;293;91;;7.0;21.0;2.0;13.0;9.0;17.0;9.0;1.0;1.0;1.0;2.0;2.0;1.0;;;;;;;
Vlijmen-G0864;58;;1848;3610;1224;411;9.0;22.0;77.0;8.0;59.0;138.0;27.0;3.0;16.0;46.0;16.0;20.0;1.0;2.0;2.0;;;;;;1100.0
Vlissingen-G0718;109;;11282;5881;4469;1570;717.0;205.0;531.0;264.0;156.0;176.0;211.0;149.0;169.0;43.0;18.0;;6.0;10.0;4.0;;;;;;4376.0
Vlist-G0623;5;;44;172;75;9;68.0;2.0;2.0;1.0;;10.0;;2.0;1.0;1.0;;;;;;;;;;;21.0
Vlodrop-G0985;20;;292;533;233;27;;2.0;17.0;;3.0;22.0;8.0;3.0;1.0;18.0;1.0;;16.0;;1.0;;;;;;193.0
Voerendaal-G0986;55;;1292;2457;912;213;5.0;49.0;106.0;1.0;43.0;37.0;20.0;;10.0;52.0;8.0;;6.0;1.0;;;;;;;588.0
Voorburg-G0624;159;;6996;8526;9940;2613;188.0;130.0;457.0;242.0;240.0;72.0;492.0;113.0;191.0;128.0;34.0;21.0;20.0;4.0;15.0;;;;;;2999.0
Voorhout-G0625;26;;589;1904;954;242;7.0;25.0;94.0;11.0;49.0;28.0;31.0;3.0;8.0;24.0;1.0;2.0;1.0;;1.0;;;;;;305.0
Voorschoten-G0626;74;;2554;4129;4461;1062;138.0;42.0;224.0;61.0;104.0;44.0;175.0;60.0;26.0;35.0;50.0;5.0;2.0;2.0;9.0;;;;;;1006.0
Voorst-G0285;48;;4020;5372;2703;585;229.0;85.0;154.0;53.0;64.0;255.0;74.0;53.0;30.0;96.0;11.0;;2.0;1.0;2.0;;2.0;;;;1899.0
Vorden-G0286;28;;1383;1820;1035;236;35.0;11.0;52.0;23.0;14.0;161.0;28.0;20.0;7.0;21.0;7.0;;;1.0;;;;;;;780.0
Vries-G0133;38;;2292;732;1792;310;8.0;57.0;117.0;94.0;42.0;110.0;59.0;24.0;28.0;3.0;12.0;;1.0;2.0;2.0;;;;;;616.0
Vriezenveen-G0186;37;;2641;4476;757;197;552.0;24.0;56.0;152.0;11.0;218.0;13.0;398.0;12.0;11.0;;;1.0;1.0;1.0;;;;;;1004.0
Vught-G0865;62;;3235;6178;2983;895;6.0;63.0;230.0;26.0;116.0;126.0;69.0;9.0;24.0;92.0;45.0;8.0;6.0;5.0;3.0;;;;;;2122.0
Vuren-G0287;6;;716;599;318;82;40.0;11.0;21.0;15.0;9.0;19.0;10.0;16.0;6.0;;;;;;1.0;;;;;;146.0
Waalre-G0866;29;;1534;3426;2141;576;4.0;24.0;126.0;5.0;41.0;61.0;55.0;14.0;16.0;45.0;7.0;5.0;2.0;;1.0;;;;;;895.0
Waalwijk-G0867;81;;4403;6140;2938;884;88.0;99.0;191.0;41.0;126.0;175.0;86.0;60.0;55.0;100.0;41.0;15.0;4.0;7.0;4.0;;;;;;2316.0
Waardenburg-G0288;7;;429;334;158;37;326.0;6.0;19.0;8.0;4.0;26.0;3.0;7.0;;;;;;;1.0;;;;;;88.0
Waddinxveen-G0627;88;;3237;3303;2621;726;1287.0;34.0;179.0;173.0;53.0;55.0;83.0;159.0;22.0;44.0;8.0;7.0;6.0;;5.0;;;;;;1130.0
Wageningen-G0289;66;;6633;4761;3284;1651;515.0;303.0;796.0;147.0;561.0;87.0;154.0;149.0;19.0;31.0;352.0;;6.0;5.0;3.0;;;;;;1783.0
Wamel-G0290;29;;1391;3102;675;176;12.0;10.0;56.0;8.0;27.0;87.0;12.0;4.0;11.0;38.0;30.0;;1.0;;2.0;;;;;;585.0
Wanroij-G0868;9;;240;2040;162;63;;4.0;11.0;;9.0;15.0;1.0;;1.0;3.0;;;;;;;;;;;193.0
Warffum-G0049;12;;734;403;244;38;3.0;9.0;26.0;44.0;20.0;3.0;8.0;1.0;3.0;;1.0;;1.0;;;;;;;;123.0
Warmenhuizen-G0456;15;;465;974;450;132;1.0;16.0;44.0;10.0;20.0;25.0;18.0;;3.0;18.0;;;;1.0;;;;;;;207.0
Warmond-G0628;32;;542;1350;672;170;28.0;10.0;89.0;4.0;31.0;22.0;31.0;1.0;3.0;11.0;3.0;4.0;2.0;;2.0;;;;;;407.0
Warnsveld-G0291;6;;1293;1566;1147;281;12.0;26.0;64.0;34.0;37.0;51.0;40.0;20.0;8.0;22.0;6.0;;1.0;1.0;;;;;;;659.0
Waspik-G0869;26;;663;1400;252;68;11.0;7.0;21.0;1.0;13.0;67.0;2.0;9.0;4.0;20.0;;;1.0;2.0;2.0;;;;;;313.0
Wassenaar-G0629;146;;2531;5337;7815;1113;119.0;53.0;144.0;57.0;48.0;67.0;193.0;48.0;39.0;84.0;6.0;4.0;1.0;2.0;7.0;;;;;;1144.0
Wateringen-G0630;35;;1325;3856;1645;400;18.0;23.0;116.0;28.0;44.0;43.0;62.0;12.0;36.0;78.0;7.0;1.0;4.0;;1.0;;;;;;752.0
Weerselo-G0188;11;;514;4119;320;88;3.0;8.0;37.0;2.0;6.0;99.0;3.0;;5.0;59.0;5.0;;1.0;1.0;;;;;;;198.0
Weert-G0988;217;;5826;9106;3268;742;9.0;71.0;304.0;13.0;144.0;289.0;76.0;10.0;43.0;143.0;12.0;;73.0;7.0;7.0;;;;;;4307.0
Weesp-G0457;78;;3509;2585;2196;853;65.0;164.0;251.0;58.0;88.0;61.0;113.0;110.0;47.0;34.0;15.0;;6.0;4.0;3.0;;;;;;1330.0
Wehl-G0292;4;;733;1968;287;110;2.0;6.0;45.0;3.0;8.0;169.0;10.0;;10.0;48.0;5.0;;;3.0;1.0;;;;;;453.0
Werkendam-G0870;58;;2449;3799;1117;266;1339.0;33.0;72.0;108.0;29.0;40.0;31.0;242.0;19.0;1.0;2.0;3.0;2.0;2.0;;;;;;;1079.0
Wervershoof-G0459;17;;688;1961;419;130;;41.0;62.0;;18.0;119.0;12.0;4.0;7.0;50.0;4.0;;;;1.0;1.0;;;;;341.0
Wessem-G0989;15;;293;602;174;23;1.0;1.0;13.0;2.0;10.0;17.0;5.0;1.0;2.0;32.0;;;7.0;1.0;1.0;;;;;;311.0
Westdongeradeel-G0097;26;;859;2161;382;89;95.0;51.0;42.0;67.0;20.0;22.0;9.0;31.0;4.0;;3.0;1.0;1.0;;;;;;;;255.0
Westerbork-G0134;18;;1828;1073;1042;218;41.0;28.0;58.0;37.0;30.0;87.0;18.0;30.0;10.0;2.0;8.0;;1.0;;4.0;;;;;;279.0
Westerhoven-G0871;2;;172;620;98;39;1.0;8.0;19.0;1.0;3.0;15.0;5.0;;;3.0;1.0;;2.0;1.0;;;;;;;51.0
Westerschouwen-G0725;17;;1301;996;1181;196;171.0;16.0;43.0;19.0;17.0;15.0;37.0;33.0;12.0;4.0;;;1.0;;;;;;;;
Westervoort-G0293;21;;1427;1563;618;252;11.0;11.0;86.0;14.0;25.0;19.0;16.0;8.0;11.0;22.0;9.0;;;1.0;;;;;;;451.0
Westkapelle-G0726;7;;594;490;268;39;237.0;3.0;15.0;23.0;2.0;15.0;8.0;17.0;3.0;1.0;1.0;;;;1.0;;;;;;98.0
Westmaas-G0631;4;;336;354;365;83;47.0;2.0;12.0;6.0;12.0;7.0;5.0;14.0;5.0;;2.0;1.0;;;;;;;;;123.0
Weststellingwerf-G0098;102;;6546;3836;2375;631;46.0;311.0;173.0;69.0;91.0;216.0;108.0;81.0;27.0;31.0;14.0;14.0;1.0;5.0;2.0;;;;;;1684.0
Westwoud-G0460;12;;243;537;174;69;;19.0;26.0;2.0;13.0;7.0;5.0;;4.0;10.0;1.0;;;;;;;;;;146.0
Wierden-G0189;26;;1818;7345;1384;364;677.0;25.0;105.0;76.0;33.0;150.0;36.0;404.0;14.0;59.0;10.0;;1.0;1.0;2.0;;;;;;615.0
Wieringen-G0462;52;;2146;756;1239;286;7.0;202.0;58.0;22.0;45.0;36.0;61.0;9.0;11.0;4.0;1.0;;1.0;3.0;1.0;6.0;;;;;661.0
Wieringermeer-G0463;42;;2032;2626;1545;336;38.0;102.0;118.0;41.0;68.0;37.0;34.0;65.0;13.0;21.0;2.0;;4.0;1.0;;5.0;;;;;670.0
Wijchen-G0296;41;;3263;6420;1584;613;1.0;49.0;206.0;6.0;69.0;134.0;44.0;1.0;11.0;50.0;75.0;;;;;;;;;;1505.0
Wijdewormer-G0470;5;;198;187;188;63;2.0;14.0;16.0;1.0;7.0;12.0;13.0;4.0;2.0;10.0;;;2.0;;1.0;1.0;;;;;62.0
Wijhe-G0190;9;;1370;2099;592;128;31.0;9.0;47.0;39.0;8.0;59.0;9.0;34.0;2.0;9.0;1.0;;;;;;;;;;260.0
Wijk bij Duurstede-G0352;29;;1439;1593;1002;291;32.0;34.0;85.0;12.0;38.0;24.0;24.0;11.0;9.0;22.0;33.0;2.0;1.0;;;;;;;;637.0
Wijlre-G0991;21;;543;1183;298;60;2.0;27.0;46.0;3.0;17.0;33.0;10.0;5.0;4.0;44.0;3.0;;1.0;;1.0;;;;;;206.0
Wijnandsrade-G0992;4;;250;444;150;26;2.0;3.0;60.0;;7.0;4.0;6.0;;;14.0;2.0;;2.0;;;;;;;;42.0
Wijngaarden-G0634;4;;40;143;31;11;117.0;1.0;4.0;10.0;1.0;5.0;6.0;5.0;;;1.0;;;;;;;;;;16.0
Willemstad-G0872;10;;675;663;323;91;22.0;12.0;15.0;7.0;3.0;7.0;9.0;20.0;2.0;1.0;;;1.0;;1.0;;;;;;117.0
Willeskop-G0349;4;;75;302;77;12;50.0;1.0;4.0;;1.0;17.0;;;;7.0;1.0;;;;;;;;;;46.0
Wilnis-G0350;31;;376;1531;754;151;108.0;16.0;55.0;26.0;10.0;30.0;8.0;54.0;9.0;6.0;2.0;;;1.0;;;;;;;263.0
Winschoten-G0052;66;;6445;2276;1853;421;21.0;1015.0;159.0;125.0;91.0;40.0;72.0;124.0;43.0;12.0;6.0;;4.0;6.0;2.0;;;;;;1921.0
Winsum-G0053;8;;1085;1216;455;152;3.0;5.0;82.0;94.0;20.0;8.0;13.0;25.0;2.0;1.0;;;;;2.0;;;;;;135.0
Winterswijk-G0294;75;;7040;4356;3794;780;48.0;84.0;238.0;71.0;108.0;217.0;113.0;75.0;40.0;82.0;30.0;;1.0;6.0;3.0;;;;;;1835.0
Wisch-G0295;43;;3051;4770;2038;373;36.0;24.0;156.0;26.0;80.0;262.0;77.0;34.0;19.0;44.0;10.0;;3.0;2.0;2.0;;;;;;1770.0
Wissenkerke-G0727;7;;465;954;290;92;158.0;6.0;18.0;43.0;6.0;19.0;7.0;17.0;2.0;1.0;1.0;;2.0;;1.0;;;;;;167.0
Wittem-G0990;35;;1086;2435;537;107;6.0;23.0;62.0;5.0;32.0;52.0;24.0;1.0;9.0;60.0;;;7.0;1.0;4.0;;;;;;246.0
Woensdrecht-G0873;47;;1803;1860;1085;227;5.0;23.0;53.0;3.0;26.0;90.0;27.0;4.0;14.0;30.0;4.0;13.0;5.0;2.0;1.0;;;;;;857.0
Woerden-G0632;66;;2953;5367;2680;725;595.0;44.0;221.0;113.0;68.0;84.0;94.0;64.0;41.0;57.0;94.0;2.0;4.0;4.0;2.0;;;;;;1471.0
Wognum-G0466;16;;409;1157;462;149;;22.0;55.0;;24.0;13.0;14.0;;8.0;24.0;2.0;;;;;;;;;;162.0
Wonseradeel-G0099;44;;2055;3619;766;236;39.0;70.0;92.0;88.0;47.0;52.0;24.0;27.0;9.0;3.0;6.0;7.0;1.0;1.0;;;;;;;544.0
Workum-G0100;25;;542;1523;254;98;18.0;3.0;28.0;25.0;21.0;16.0;12.0;20.0;5.0;18.0;;;;;;;;;;;199.0
Wormer-G0467;28;;2456;1659;1101;446;28.0;412.0;253.0;24.0;104.0;33.0;54.0;88.0;16.0;20.0;7.0;;;1.0;1.0;34.0;;;;;637.0
Woubrugge-G0633;21;;469;1103;564;211;63.0;5.0;26.0;7.0;21.0;25.0;26.0;26.0;14.0;8.0;1.0;;1.0;1.0;;;;;;;215.0
Woudenberg-G0351;46;;954;1753;1297;268;610.0;10.0;77.0;104.0;65.0;77.0;34.0;116.0;9.0;;2.0;4.0;;;1.0;;;;;;475.0
Woudrichem-G0874;34;;1856;3421;738;158;481.0;25.0;65.0;206.0;29.0;52.0;18.0;179.0;9.0;3.0;4.0;1.0;1.0;2.0;;;;;;;639.0
Wouw-G0875;35;;1216;2031;780;159;2.0;10.0;45.0;2.0;14.0;107.0;27.0;3.0;14.0;36.0;;19.0;1.0;3.0;1.0;;;;;;763.0
Wymbritseradeel-G0101;21;;1197;4371;716;285;35.0;14.0;89.0;48.0;37.0;44.0;34.0;36.0;8.0;27.0;1.0;2.0;;;1.0;;;;;;400.0
Zaanstad-G0479;340;;30770;14344;11684;5024;376.0;6977.0;1683.0;414.0;1184.0;302.0;733.0;426.0;350.0;218.0;73.0;;34.0;32.0;11.0;44.0;;;;;9915.0
Zaltbommel-G0297;10;;2027;1231;925;275;125.0;30.0;79.0;47.0;37.0;35.0;42.0;24.0;6.0;7.0;14.0;;;3.0;1.0;;;;;;620.0
Zandvoort-G0473;84;;3210;1841;4274;744;23.0;156.0;136.0;34.0;71.0;72.0;157.0;17.0;49.0;34.0;10.0;;3.0;3.0;5.0;;;;;;1482.0
Zeeland-G0877;16;;431;2252;220;73;;3.0;32.0;1.0;15.0;25.0;9.0;;3.0;16.0;16.0;2.0;;;;;;;;;323.0
Zeevang-G0478;27;;1154;397;1021;261;3.0;55.0;67.0;3.0;35.0;48.0;26.0;5.0;12.0;7.0;1.0;;1.0;1.0;;1.0;;;;;302.0
Zegveld-G0354;11;;126;564;172;29;135.0;1.0;3.0;14.0;4.0;15.0;9.0;38.0;1.0;4.0;1.0;;1.0;;;;;;;;76.0
Zeist-G0355;265;;9540;10359;10156;2579;1220.0;215.0;700.0;545.0;328.0;185.0;416.0;360.0;107.0;101.0;104.0;27.0;9.0;7.0;12.0;;;;;;4984.0
Zelhem-G0298;31;;2131;2374;1142;254;119.0;16.0;68.0;41.0;20.0;260.0;35.0;26.0;10.0;18.0;3.0;;;1.0;5.0;;;;;;935.0
Zevenaar-G0299;26;;3833;6249;2999;862;26.0;97.0;414.0;80.0;85.0;154.0;86.0;36.0;39.0;104.0;25.0;;1.0;3.0;3.0;;;;;;2019.0
Zevenbergen-G0878;54;;2730;3486;1297;403;25.0;44.0;80.0;99.0;39.0;100.0;25.0;11.0;25.0;31.0;1.0;5.0;;3.0;;;;;;;1245.0
Zevenhoven-G0635;11;;206;687;255;33;38.0;2.0;13.0;3.0;3.0;7.0;5.0;9.0;3.0;7.0;1.0;;;;;;;;;;79.0
Zevenhuizen-G0636;43;;1115;833;839;161;256.0;9.0;41.0;15.0;15.0;50.0;21.0;33.0;11.0;4.0;1.0;3.0;;1.0;;;;;;;284.0
Zierikzee-G0732;22;;2134;1604;1003;271;238.0;20.0;50.0;25.0;25.0;21.0;20.0;89.0;9.0;6.0;10.0;;;;;;;;;;694.0
Zijpe-G0476;37;;1814;1285;1372;301;18.0;61.0;80.0;3.0;47.0;56.0;40.0;3.0;13.0;35.0;;;1.0;2.0;12.0;;;;;;575.0
Zoelen-G0300;13;;1256;503;683;131;109.0;7.0;42.0;5.0;22.0;75.0;20.0;5.0;8.0;3.0;1.0;;;;;;;;;;261.0
Zoetermeer-G0637;230;;9005;6808;7688;2642;904.0;224.0;458.0;148.0;215.0;104.0;294.0;159.0;153.0;62.0;28.0;15.0;2.0;2.0;12.0;;;;;;3766.0
Zoeterwoude-G0638;28;;740;1998;839;283;38.0;23.0;80.0;3.0;28.0;16.0;29.0;5.0;13.0;45.0;9.0;3.0;2.0;;;;;;;;326.0
Zuid-Beijerland-G0639;15;;718;592;355;89;201.0;8.0;13.0;15.0;7.0;18.0;4.0;10.0;2.0;;;1.0;;;;;;;;;171.0
Zuidelijke IJsselmeerpolders-G0996;23;;5191;2897;2402;1045;85.0;597.0;445.0;112.0;86.0;96.0;116.0;100.0;79.0;15.0;19.0;;6.0;5.0;2.0;;;;;;1618.0
Zuidhorn-G0056;13;;1078;1177;732;197;20.0;10.0;62.0;702.0;27.0;18.0;17.0;46.0;7.0;1.0;2.0;;1.0;;;;;;;;288.0
Zuidland-G0640;8;;554;1116;381;138;45.0;6.0;21.0;12.0;3.0;8.0;12.0;13.0;5.0;;;;;;;;;;;;243.0
Zuidlaren-G0136;31;;1932;1366;1533;305;13.0;36.0;102.0;273.0;35.0;81.0;49.0;57.0;17.0;3.0;9.0;;2.0;3.0;5.0;;;;;;726.0
Zuidwolde-G0137;25;;1399;1849;1159;235;41.0;12.0;40.0;132.0;18.0;228.0;44.0;42.0;24.0;3.0;7.0;;2.0;1.0;3.0;;;;;;437.0
