RegioNaam;@invalid;@blank;VVD;D66;PVV;CDA;SP;PvdA;GL;FvD;PvdD;CU;Volt;JA21;SGP;DENK;50+;BBB;BIJ1;CO;NIDA;Splinter;PPNL;JONG;ToN;LHK;NLBeter;Blanco;LP;OPRECHT;JEZUS LEEFT;DFP;UCF;VSN;PvdE;WZNL;PvdR;MN;DG;@abs
Hellendoorn-G0163;35;22;5412;2700;2193;5618;1312;932;624;1068;443;1192;283;519;182;41;181;1003.0;32;96;9;45.0;34;19.0;40.0;14.0;8.0;12.0;7;41.0;20.0;;1.0;;0.0;2.0;;;;4317.0
Hellevoetsluis-G0530;31;40;5932;2528;3910;1504;1634;1235;621;2169;822;427;279;1079;93;348;382;104.0;88;133;35;89.0;50;36.0;;28.0;23.0;18.0;18;12.0;19.0;;;;;8.0;;4.0;;7928.0
Helmond-G0794;85;80;11443;5905;7835;3819;4252;2008;1975;3282;1377;372;876;969;59;1487;682;157.0;145;262;236;146.0;96;91.0;89.0;61.0;36.0;44.0;20;23.0;16.0;58.0;;;7.0;;;;;19219.0
Hendrik-Ido-Ambacht-G0531;22;30;4799;2019;1993;1642;865;652;478;1066;439;1281;161;667;2400;186;170;41.0;58;71;56;40.0;25;24.0;;18.0;14.0;9.0;7;16.0;12.0;;;;;9.0;;1.0;;3834.0
Hengelo-G0164;105;100;9759;7143;5296;6989;3971;3221;2303;2783;1637;1127;1166;1139;180;864;436;415.0;188;164;36;136.0;107;56.0;80.0;28.0;25.0;31.0;21;23.0;34.0;;5.0;;0.0;5.0;;;;13841.0
Het Hogeland-G1966;39;59;4260;3413;2771;4296;2903;2960;1483;1427;1326;2824;438;461;404;29;253;831.0;100;90;8;103.0;56;24.0;48.0;21.0;16.0;;4;8.0;19.0;33.0;0.0;11.0;;;;;;7417.0
Heumen-G0252;27;13;2900;2121;920;1245;738;743;771;318;440;138;270;221;8;17;103;96.0;33;15;7;38.0;18;11.0;17.0;7.0;9.0;5.0;3;3.0;3.0;6.0;;;;;;;;1948.0
Heusden-G0797;45;26;8351;3909;3619;3073;2100;1036;848;1368;746;324;479;712;48;382;371;233.0;30;112;44;77.0;55;61.0;84.0;33.0;17.0;30.0;10;18.0;4.0;28.0;;;2.0;;;;;6615.0
Hillegom-G0534;27;19;3695;2101;1670;1315;607;630;505;773;578;213;282;535;85;122;225;67.0;30;81;14;48.0;34;22.0;;21.0;22.0;56.0;8;2.0;1.0;;1.0;;;;;1.0;;2923.0
Hilvarenbeek-G0798;10;12;3347;1830;819;1536;667;429;399;305;294;71;180;255;9;5;130;182.0;19;32;1;23.0;10;24.0;;7.0;9.0;12.0;4;1.0;1.0;14.0;0.0;;3.0;;;;;1923.0
