RegioNaam;@invalid;@blank;CDA;PvdA;VVD;D66;Pacifistisch-Socialistische Partij (PSP);Communistische Partij van Nederland;SGP;Politieke Partij Radikalen (PPR);Reformatorische Politieke Federatie (RPF);Gereformeerd Politiek Verbond (GPV);Democratisch Socialisten '70;Evangelische Volkspartij;SP;Rooms Katholieke Partij Nederland;Rechtse Volkspartij;CP;Nederlandse Volks Unie (NVU);Leefbaar Nederland;Samen Overleven of Sterven;Realisten 81;Internationale Kommunistenbond;God Met Ons;Wereld Welzijns Bewustwording;Partij tot Likwidatie van Nederland;De Vrede Partij;Partij van Rijksgenoten;Kleine Partij;Nederlandse Evolutie Partij;@abs
Swalmen-G0975;44;;2064;1442;467;598;62.0;35.0;2.0;89;;2.0;24.0;1.0;4.0;32.0;24.0;2.0;8.0;10.0;12.0;3.0;1.0;2.0;1.0;;;;;;1185.0
't Zandt-G0054;2;;405;631;240;86;41.0;27.0;5.0;34;23.0;22.0;10.0;44.0;3.0;;1.0;;1.0;2.0;;;;;;;;;;;131.0
Tegelen-G0976;94;;4448;2668;1175;1121;151.0;70.0;3.0;121;6.0;7.0;23.0;10.0;12.0;97.0;16.0;2.0;30.0;8.0;6.0;4.0;1.0;1.0;2.0;;;;;;2012.0
Ten Boer-G0009;9;;1258;1161;582;350;68.0;92.0;17.0;71;137.0;419.0;11.0;57.0;7.0;5.0;13.0;1.0;6.0;2.0;;;1.0;;;;;;;;410.0
Ter Aar-G0480;39;;2468;542;1086;431;46.0;13.0;105.0;72;43.0;17.0;17.0;25.0;7.0;16.0;8.0;;;4.0;2.0;;1.0;;;;;;;;429.0
Terheijden-G0853;35;;2027;1286;713;691;95.0;47.0;6.0;80;2.0;1.0;23.0;6.0;8.0;12.0;17.0;1.0;4.0;3.0;11.0;;1.0;;2.0;;;;;;577.0
Termunten-G0042;35;;632;1188;301;194;51.0;284.0;13.0;31;72.0;10.0;10.0;41.0;9.0;1.0;5.0;2.0;4.0;11.0;2.0;3.0;;;;;;;;;409.0
Terneuzen-G0715;86;;5236;5889;3322;2343;198.0;191.0;1074.0;274;361.0;602.0;84.0;103.0;57.0;27.0;33.0;36.0;;19.0;6.0;13.0;3.0;;;;;;;;4583.0
Terschelling-G0093;19;;1005;1164;1071;476;94.0;45.0;7.0;92;47.0;26.0;29.0;27.0;2.0;1.0;2.0;5.0;3.0;1.0;1.0;;;;;;;;;;
Teteringen-G0854;9;;1580;537;739;338;39.0;20.0;5.0;64;3.0;1.0;8.0;9.0;1.0;9.0;12.0;;6.0;2.0;1.0;;;;0.0;;;;;;344.0
Texel-G0448;68;;2877;2129;2222;1074;308.0;121.0;52.0;241;154.0;24.0;37.0;104.0;15.0;13.0;15.0;3.0;;2.0;1.0;4.0;1.0;;1.0;;;;;;
Tholen-G0716;59;;2199;2961;1707;779;96.0;51.0;2840.0;95;386.0;46.0;35.0;32.0;17.0;6.0;15.0;12.0;;9.0;6.0;1.0;2.0;;;;;;;;1772.0
Thorn-G0977;16;;958;314;172;237;11.0;2.0;2.0;30;;;4.0;1.0;1.0;4.0;9.0;;;2.0;;;;0.0;0.0;;;;;;164.0
Tiel-G0281;128;;3909;6882;2944;1828;217.0;111.0;168.0;448;84.0;81.0;64.0;63.0;22.0;7.0;15.0;6.0;51.0;8.0;2.0;1.0;2.0;1.0;4.0;;;;;;2749.0
Tienhoven (ZH)-G0618;0;;149;51;46;13;1.0;;38.0;3;7.0;;;;;;2.0;;;;;;;;;;;;;;12.0
Tietjerksteradeel-G0094;71;;7290;4908;2419;1752;243.0;130.0;189.0;217;581.0;248.0;60.0;262.0;12.0;7.0;22.0;2.0;14.0;5.0;5.0;2.0;6.0;;;;;;;;1561.0
Tilburg-G0855;658;;29470;25980;11309;11238;3337.0;1612.0;97.0;2205;82.0;100.0;382.0;125.0;861.0;329.0;188.0;83.0;386.0;98.0;53.0;25.0;38.0;;36.0;;;;;;22661.0
Tubbergen-G0183;42;;8815;859;729;563;60.0;15.0;11.0;76;13.0;9.0;18.0;25.0;19.0;46.0;19.0;2.0;7.0;1.0;;;;;;;;;;;461.0
Ubach over Worms-G0978;90;;2168;2210;665;824;118.0;119.0;11.0;129;32.0;5.0;11.0;8.0;27.0;49.0;22.0;2.0;21.0;155.0;6.0;3.0;3.0;13.0;2.0;;;;;;1543.0
Ubbergen-G0282;58;;2924;1276;929;605;191.0;57.0;2.0;216;5.0;3.0;11.0;10.0;32.0;19.0;9.0;;11.0;6.0;1.0;1.0;;2.0;1.0;;;;;;698.0
Uden-G0856;61;;8742;3417;3145;1956;337.0;81.0;14.0;268;25.0;16.0;99.0;25.0;271.0;62.0;35.0;14.0;44.0;26.0;9.0;;;;5.0;;;;;;3056.0
Udenhout-G0857;26;;2529;643;662;437;57.0;10.0;3.0;77;5.0;3.0;12.0;4.0;11.0;8.0;7.0;1.0;10.0;1.0;1.0;2.0;;;4.0;;;;;;978.0
Uitgeest-G0450;38;;1716;1215;1328;847;163.0;286.0;5.0;169;9.0;10.0;47.0;27.0;7.0;18.0;5.0;9.0;;7.0;1.0;2.0;;;3.0;;;;;;605.0
Uithoorn-G0451;97;;4257;2551;3902;1875;254.0;185.0;45.0;370;85.0;21.0;96.0;104.0;12.0;21.0;19.0;;;4.0;6.0;6.0;;;;13.0;2.0;;1.0;1.0;1594.0
Ulestraten-G0979;15;;1010;407;440;312;34.0;12.0;1.0;51;;1.0;9.0;1.0;4.0;10.0;4.0;2.0;2.0;3.0;;;;0.0;1.0;;;;;;230.0
Ulrum-G0045;6;;925;527;285;137;32.0;22.0;21.0;27;89.0;253.0;12.0;15.0;3.0;;9.0;;2.0;1.0;;;2.0;;;;;;;;227.0
Urk-G0184;18;;1915;47;220;60;3.0;7.0;1858.0;8;1018.0;273.0;4.0;26.0;1.0;;3.0;2.0;7.0;1.0;1.0;1.0;;;;;;;;;386.0
Urmond-G0980;36;;1330;763;357;400;55.0;21.0;3.0;75;;1.0;7.0;;5.0;52.0;9.0;;6.0;3.0;1.0;;;4.0;0.0;;;;;;405.0
Usquert-G0046;1;;105;652;165;76;28.0;27.0;1.0;25;4.0;21.0;4.0;5.0;;;1.0;;;;;;1.0;;;;;;;;75.0
Utingeradeel-G0095;8;;768;1528;641;421;68.0;71.0;43.0;47;34.0;7.0;11.0;25.0;;2.0;2.0;;3.0;;2.0;;;;;;;;;;198.0
Utrecht-G0344;803;;32874;48752;22405;17005;7375.0;4397.0;1068.0;4964;1009.0;748.0;864.0;787.0;1219.0;430.0;141.0;574.0;988.0;126.0;49.0;42.0;65.0;;;;30.0;;;;27030.0
Vaals-G0981;82;;2056;1694;780;471;90.0;73.0;13.0;85;4.0;15.0;19.0;6.0;8.0;98.0;13.0;1.0;10.0;13.0;9.0;3.0;2.0;12.0;1.0;;;;;;989.0
Valburg-G0283;25;;3106;1330;1121;605;97.0;16.0;445.0;168;78.0;25.0;15.0;38.0;8.0;4.0;14.0;1.0;10.0;;;3.0;;1.0;0.0;;;;;;705.0
Valkenburg (ZH)-G0619;11;;705;217;352;139;8.0;12.0;61.0;35;63.0;93.0;10.0;15.0;3.0;1.0;5.0;;;1.0;;;;;;;;;;;220.0
Valkenburg-Houthem-G0982;57;;3822;1617;1514;918;128.0;55.0;16.0;147;13.0;5.0;33.0;13.0;21.0;85.0;11.0;3.0;24.0;9.0;6.0;3.0;2.0;27.0;3.0;;;;;;771.0
Valkenisse-G0720;7;;1643;581;948;439;36.0;16.0;239.0;96;49.0;41.0;17.0;26.0;9.0;2.0;10.0;4.0;;;;1.0;;;;;;;;;29.0
Valkenswaard-G0858;73;;7201;3632;2622;2105;226.0;81.0;2.0;349;37.0;13.0;35.0;28.0;34.0;58.0;22.0;9.0;35.0;12.0;30.0;;1.0;;12.0;;;;;;2433.0
Veendam-G0047;76;;2912;8914;2561;1659;230.0;466.0;17.0;217;323.0;128.0;46.0;158.0;60.0;13.0;34.0;5.0;28.0;13.0;7.0;7.0;7.0;;;;;;;;2309.0
Veenendaal-G0345;17;;7159;4527;4286;2141;168.0;112.0;2552.0;411;1625.0;310.0;61.0;169.0;35.0;12.0;38.0;15.0;53.0;4.0;16.0;128.0;3.0;;;;6.0;;;;3175.0
Veere-G0717;18;;1473;311;565;267;20.0;15.0;238.0;73;75.0;126.0;9.0;25.0;3.0;;4.0;1.0;;;;;;;;;;;;;93.0
Veghel-G0860;88;;7051;2406;1951;1485;310.0;70.0;5.0;239;23.0;8.0;49.0;13.0;84.0;52.0;28.0;19.0;23.0;16.0;7.0;;2.0;;4.0;;;;;;2185.0
Veldhoven-G0861;58;;8653;3832;3388;2696;364.0;134.0;14.0;546;81.0;14.0;62.0;83.0;47.0;64.0;45.0;20.0;44.0;21.0;12.0;;1.0;;4.0;;;;;;3452.0
Velsen-G0453;313;;9497;11593;7653;5114;881.0;1427.0;145.0;791;441.0;226.0;393.0;143.0;48.0;49.0;56.0;;;29.0;13.0;18.0;11.0;;;18.0;8.0;;18.0;5.0;6085.0
Venhuizen-G0454;36;;1479;847;1042;493;101.0;63.0;2.0;61;11.0;1.0;11.0;4.0;3.0;17.0;3.0;11.0;;5.0;12.0;2.0;;;1.0;;;;;;523.0
Venlo-G0983;265;;16132;7109;5410;3928;608.0;322.0;25.0;740;15.0;26.0;111.0;24.0;94.0;381.0;65.0;20.0;77.0;34.0;14.0;7.0;7.0;19.0;7.0;;;;;;8742.0
Venray-G0984;118;;9684;3116;1969;1977;492.0;136.0;10.0;394;14.0;3.0;42.0;13.0;99.0;114.0;57.0;7.0;23.0;13.0;13.0;5.0;6.0;18.0;6.0;;;;;;3865.0
Vessem, Wintelre en Knegsel-G0862;11;;1969;229;351;193;34.0;4.0;;49;2.0;;6.0;7.0;1.0;6.0;16.0;;;;;;1.0;;0.0;;;;;;232.0
Vianen-G0620;51;;2369;2413;1663;1081;137.0;141.0;197.0;205;57.0;28.0;45.0;65.0;9.0;12.0;11.0;;;4.0;1.0;;2.0;;;;;;;;870.0
Vierlingsbeek-G0863;16;;2956;597;497;445;91.0;8.0;7.0;78;3.0;2.0;9.0;9.0;10.0;14.0;9.0;2.0;15.0;2.0;3.0;;2.0;;2.0;;;;;;503.0
Vinkeveen en Waverveen-G0346;37;;2138;551;1528;523;49.0;38.0;175.0;89;81.0;12.0;29.0;13.0;3.0;10.0;10.0;3.0;11.0;;2.0;2.0;;;;;0.0;;;;672.0
Vlaardingen-G0622;168;;9461;18295;7592;7010;866.0;947.0;1380.0;832;826.0;289.0;359.0;525.0;509.0;61.0;92.0;;;55.0;5.0;;7.0;;;;;;;;7646.0
Vlagtwedde-G0048;65;;3437;4398;1246;787;84.0;200.0;17.0;86;150.0;44.0;25.0;70.0;10.0;22.0;39.0;7.0;24.0;13.0;8.0;;4.0;;;;;;;;1464.0
Vledder-G0132;8;;440;970;472;266;35.0;28.0;14.0;35;14.0;8.0;15.0;6.0;2.0;1.0;8.0;1.0;;4.0;1.0;;;;;;;;;;236.0
Vleuten-De Meern-G0347;49;;4319;1310;2826;1053;162.0;76.0;107.0;269;71.0;85.0;38.0;38.0;19.0;54.0;9.0;11.0;31.0;11.0;7.0;4.0;2.0;;;;2.0;;;;810.0
Vlieland-G0096;1;;197;330;345;175;30.0;6.0;4.0;39;11.0;5.0;18.0;12.0;2.0;;4.0;;3.0;2.0;1.0;;;;;;;;;;
Vlijmen-G0864;55;;3918;1697;1225;928;100.0;52.0;6.0;151;8.0;8.0;27.0;9.0;21.0;36.0;30.0;8.0;28.0;3.0;4.0;;;;1.0;;;;;;1058.0
Vlissingen-G0718;105;;6554;9664;4885;3320;383.0;386.0;716.0;636;296.0;162.0;181.0;122.0;52.0;22.0;36.0;58.0;;10.0;10.0;16.0;8.0;;;;;;;;5315.0
Vlist-G0623;2;;180;34;69;22;1.0;3.0;60.0;6;18.0;;2.0;1.0;;3.0;3.0;;;;;;;;;;;;;;33.0
Vlodrop-G0985;18;;701;264;165;159;13.0;9.0;1.0;25;;2.0;3.0;6.0;;10.0;3.0;1.0;1.0;;;;;3.0;0.0;;;;;;200.0
Voerendaal-G0986;3;;2423;1010;1004;637;56.0;49.0;59.0;78;5.0;10.0;21.0;7.0;10.0;37.0;19.0;2.0;7.0;17.0;3.0;;;7.0;0.0;;;;;;759.0
Voorburg-G0624;179;;8123;5738;9490;3777;480.0;247.0;166.0;470;273.0;210.0;368.0;127.0;64.0;80.0;34.0;;;26.0;10.0;;2.0;;;;;;;;3524.0
Voorhout-G0625;29;;1945;442;1117;386;82.0;39.0;9.0;112;9.0;12.0;10.0;14.0;;16.0;;;;5.0;1.0;;2.0;;;;;;;;349.0
Voorschoten-G0626;101;;4115;2180;4598;1622;284.0;66.0;135.0;270;97.0;55.0;150.0;79.0;42.0;31.0;10.0;;;11.0;2.0;;;;;;;;;;1244.0
Voorst-G0285;68;;5703;3500;2737;1578;157.0;101.0;226.0;194;83.0;30.0;58.0;50.0;9.0;49.0;55.0;1.0;16.0;3.0;;;3.0;;;;;;;;1710.0
Vorden-G0286;21;;1932;1228;1067;467;29.0;13.0;24.0;64;54.0;16.0;12.0;25.0;7.0;7.0;27.0;7.0;12.0;2.0;;;3.0;;;;;;;;373.0
Vries-G0133;23;;788;2101;1900;704;74.0;57.0;6.0;157;53.0;91.0;30.0;38.0;12.0;1.0;39.0;3.0;;1.0;1.0;1.0;;;;;;;;;786.0
Vriezenveen-G0186;36;;4352;2714;847;686;28.0;29.0;492.0;77;969.0;82.0;23.0;63.0;5.0;3.0;32.0;2.0;17.0;6.0;3.0;4.0;;;;;;;;;1031.0
Vught-G0865;61;;6203;2683;2678;1683;280.0;105.0;9.0;308;28.0;31.0;70.0;24.0;76.0;48.0;38.0;8.0;38.0;14.0;4.0;;1.0;;15.0;;;;;;2553.0
Vuren-G0287;14;;566;573;299;178;16.0;13.0;32.0;26;30.0;6.0;12.0;6.0;;1.0;1.0;1.0;6.0;;1.0;1.0;;0.0;2.0;;;;;;177.0
Waalre-G0866;34;;3854;1352;2338;1108;133.0;40.0;3.0;186;18.0;4.0;44.0;21.0;8.0;15.0;19.0;4.0;9.0;5.0;4.0;;;;4.0;;;;;;876.0
Waalwijk-G0867;79;;6587;3899;2739;2087;288.0;203.0;79.0;269;115.0;20.0;83.0;40.0;31.0;79.0;40.0;13.0;49.0;26.0;4.0;;1.0;;6.0;;;;;;2670.0
Waddinxveen-G0627;92;;3408;2761;2699;1514;130.0;86.0;1230.0;203;390.0;113.0;73.0;116.0;14.0;40.0;12.0;;;8.0;4.0;;3.0;;;;;;;;1522.0
Wageningen-G0289;80;;4512;5812;3244;2613;1391.0;386.0;460.0;1157;295.0;113.0;87.0;333.0;438.0;12.0;19.0;6.0;7.0;17.0;;;3.0;;;;;;;;2565.0
Wamel-G0290;32;;3056;1364;806;610;66.0;32.0;13.0;70;12.0;4.0;5.0;4.0;34.0;7.0;32.0;3.0;1.0;5.0;;2.0;;0.0;3.0;;;;;;696.0
Wanroij-G0868;7;;2142;248;205;206;44.0;9.0;;35;1.0;;3.0;2.0;6.0;9.0;3.0;;2.0;2.0;;;;;0.0;;;;;;207.0
Warffum-G0049;3;;363;684;267;117;39.0;15.0;6.0;39;13.0;40.0;5.0;10.0;2.0;2.0;1.0;;;1.0;2.0;;;;;;;;;;123.0
Warmenhuizen-G0456;24;;1071;390;487;262;74.0;31.0;1.0;60;7.0;4.0;20.0;;3.0;3.0;8.0;4.0;;3.0;;;;;0.0;;;;;;216.0
Warmond-G0628;16;;1353;411;771;338;52.0;25.0;27.0;98;11.0;10.0;18.0;15.0;4.0;8.0;4.0;;;3.0;2.0;;;;;;;;;;453.0
Warnsveld-G0291;25;;1627;1247;1159;516;69.0;29.0;11.0;98;47.0;29.0;34.0;20.0;3.0;9.0;21.0;4.0;5.0;3.0;;;1.0;;;;;;;;664.0
Waspik-G0869;14;;1356;676;261;269;29.0;12.0;18.0;31;18.0;3.0;5.0;4.0;4.0;11.0;19.0;;2.0;5.0;3.0;;1.0;;0.0;;;;;;310.0
Wassenaar-G0629;105;;5589;1858;7532;1559;169.0;67.0;94.0;177;74.0;38.0;132.0;39.0;17.0;55.0;25.0;;;10.0;3.0;;;;;;;;;;1516.0
Wateringen-G0630;8;;3786;1075;2009;830;114.0;50.0;68.0;97;49.0;28.0;66.0;25.0;10.0;47.0;9.0;;;8.0;3.0;;3.0;;;;;;;;1123.0
Weerselo-G0188;13;;4517;364;403;277;52.0;10.0;3.0;39;6.0;1.0;9.0;10.0;2.0;22.0;17.0;1.0;7.0;5.0;3.0;;1.0;;;;;;;;167.0
Weert-G0988;188;;9213;5575;3293;2759;263.0;116.0;10.0;295;31.0;8.0;70.0;18.0;27.0;131.0;83.0;16.0;67.0;28.0;15.0;6.0;3.0;11.0;4.0;;;;;;4434.0
Weesp-G0457;92;;2563;2872;2323;1615;271.0;221.0;73.0;322;104.0;47.0;90.0;41.0;15.0;17.0;17.0;;;6.0;4.0;6.0;4.0;;;9.0;5.0;;1.0;3.0;1651.0
Wehl-G0292;24;;2122;604;309;383;30.0;15.0;6.0;58;;1.0;9.0;5.0;4.0;23.0;31.0;;5.0;1.0;1.0;;1.0;0.0;0.0;;;;;;582.0
Werkendam-G0870;39;;3646;2101;1278;761;96.0;48.0;1302.0;120;528.0;86.0;23.0;89.0;12.0;3.0;15.0;6.0;17.0;4.0;;;;;3.0;;;;;;1324.0
Wervershoof-G0459;34;;2315;586;593;452;87.0;60.0;;83;15.0;1.0;10.0;6.0;2.0;25.0;13.0;5.0;;2.0;1.0;2.0;2.0;;1.0;;;;;;597.0
Wessem-G0989;14;;650;287;150;116;27.0;8.0;1.0;18;2.0;2.0;1.0;;1.0;6.0;1.0;2.0;;1.0;1.0;1.0;;0.0;1.0;;;;;;315.0
Westdongeradeel-G0097;20;;1927;826;460;193;32.0;69.0;62.0;49;103.0;71.0;12.0;50.0;1.0;2.0;5.0;;3.0;2.0;1.0;;;;;;;;;;335.0
Westerbork-G0134;9;;1136;1799;1153;457;64.0;30.0;69.0;60;59.0;28.0;13.0;47.0;6.0;1.0;26.0;1.0;;2.0;1.0;;;;;;;;;;241.0
Westerhoven-G0871;6;;633;155;103;100;17.0;8.0;;36;;2.0;1.0;4.0;1.0;4.0;1.0;1.0;1.0;2.0;;;;;0.0;;;;;;49.0
Wester-Koggenland-G0558;44;;3153;1267;1624;740;169.0;113.0;6.0;172;19.0;6.0;31.0;6.0;12.0;38.0;12.0;2.0;;3.0;6.0;2.0;1.0;;0.0;;;;;;831.0
Westerschouwen-G0725;11;;1232;1120;1210;499;36.0;28.0;156.0;65;75.0;28.0;20.0;25.0;6.0;5.0;4.0;10.0;;2.0;;3.0;1.0;;;;;;;;
Westervoort-G0293;23;;1706;1313;732;665;96.0;19.0;4.0;160;24.0;13.0;19.0;15.0;6.0;5.0;5.0;11.0;8.0;2.0;1.0;2.0;;0.0;1.0;;;;;;524.0
Westkapelle-G0726;3;;505;589;292;127;22.0;12.0;231.0;20;42.0;12.0;2.0;6.0;;;1.0;2.0;;;1.0;;;;;;;;;;49.0
Westmaas-G0631;4;;382;282;350;164;28.0;5.0;47.0;20;11.0;4.0;10.0;6.0;3.0;;5.0;;;;;;;;;;;;;;135.0
Weststellingwerf-G0098;86;;3987;6252;2509;1697;223.0;336.0;29.0;270;203.0;42.0;38.0;61.0;15.0;14.0;37.0;4.0;31.0;;7.0;6.0;3.0;;;;;;;;1750.0
Westvoorne-G0614;60;;1484;2278;3020;1100;94.0;118.0;77.0;86;71.0;21.0;48.0;43.0;15.0;1.0;17.0;;;12.0;1.0;;;;;;;;;;847.0
Wierden-G0189;31;;7560;1658;1566;931;43.0;39.0;582.0;141;667.0;40.0;24.0;84.0;7.0;41.0;18.0;5.0;14.0;6.0;8.0;2.0;;;;;;;;;797.0
Wieringen-G0462;36;;848;1874;1277;653;96.0;237.0;5.0;66;28.0;22.0;27.0;17.0;9.0;1.0;16.0;5.0;;3.0;;;1.0;;0.0;;;;;;636.0
Wieringermeer-G0463;61;;2590;1727;1538;778;135.0;103.0;46.0;144;104.0;29.0;44.0;52.0;3.0;7.0;14.0;2.0;;1.0;;1.0;;;1.0;;;;;;710.0
Wijchen-G0296;78;;6860;3095;1754;1734;265.0;79.0;8.0;336;15.0;3.0;21.0;22.0;152.0;37.0;26.0;1.0;21.0;8.0;4.0;2.0;;3.0;1.0;;;;;;1755.0
Wijdewormer-G0470;9;;232;174;195;93;20.0;20.0;4.0;19;5.0;;8.0;2.0;3.0;2.0;3.0;4.0;;1.0;;;1.0;;0.0;;;;;;63.0
Wijhe-G0190;11;;2154;1300;631;392;44.0;14.0;27.0;55;66.0;24.0;7.0;20.0;1.0;6.0;12.0;1.0;1.0;1.0;1.0;1.0;;;;;;;;;296.0
Wijk bij Duurstede-G0352;31;;1998;1616;1653;883;158.0;66.0;46.0;192;76.0;16.0;24.0;35.0;11.0;19.0;19.0;4.0;14.0;3.0;;3.0;;;;;1.0;;;;744.0
Wijlre-G0991;22;;1293;408;298;279;24.0;19.0;3.0;60;4.0;;7.0;4.0;1.0;21.0;15.0;1.0;;8.0;1.0;1.0;;8.0;0.0;;;;;;182.0
Wijnandsrade-G0992;10;;501;222;166;140;17.0;6.0;;70;1.0;;3.0;1.0;2.0;7.0;2.0;;;1.0;2.0;;;1.0;0.0;;;;;;69.0
Wijngaarden-G0634;2;;152;31;34;41;3.0;;107.0;5;24.0;9.0;1.0;2.0;;;2.0;;;;;;;;;;;;;;23.0
Willemstad-G0872;6;;695;627;419;210;16.0;16.0;19.0;18;51.0;3.0;10.0;7.0;3.0;1.0;;1.0;2.0;1.0;2.0;;;;0.0;;;;;;148.0
Willeskop-G0349;2;;332;62;87;28;1.0;1.0;49.0;17;6.0;1.0;;;2.0;3.0;2.0;;1.0;;1.0;;;;;;0.0;;;;45.0
Wilnis-G0350;19;;1468;282;857;233;27.0;18.0;130.0;61;144.0;5.0;8.0;20.0;;1.0;7.0;2.0;7.0;6.0;2.0;;;;;;0.0;;;;263.0
Winschoten-G0052;72;;2090;6614;1711;1089;210.0;969.0;18.0;159;238.0;104.0;46.0;102.0;18.0;12.0;11.0;6.0;11.0;8.0;2.0;5.0;6.0;;;;;;;;1970.0
Winsum-G0053;10;;1174;1060;487;329;87.0;26.0;10.0;71;50.0;127.0;10.0;132.0;6.0;2.0;1.0;1.0;2.0;1.0;;;;;;;;;;;248.0
Winterswijk-G0294;99;;4642;6217;3570;2223;193.0;79.0;26.0;301;159.0;37.0;64.0;87.0;10.0;30.0;31.0;4.0;30.0;3.0;7.0;2.0;6.0;2.0;1.0;;;;;;1974.0
Wisch-G0295;70;;4989;2826;2017;1201;196.0;53.0;27.0;224;66.0;17.0;44.0;82.0;11.0;22.0;40.0;6.0;8.0;3.0;3.0;3.0;4.0;2.0;0.0;;;;;;1993.0
Wissenkerke-G0727;5;;915;467;337;185;17.0;10.0;154.0;19;43.0;37.0;6.0;12.0;1.0;;5.0;1.0;;1.0;1.0;;;;;;;;;;134.0
Wittem-G0990;29;;2506;957;536;435;55.0;27.0;5.0;78;2.0;1.0;17.0;5.0;3.0;60.0;17.0;3.0;6.0;17.0;3.0;2.0;;4.0;2.0;;;;;;240.0
Woensdrecht-G0873;46;;2094;1658;1041;655;47.0;61.0;7.0;81;10.0;5.0;24.0;8.0;10.0;13.0;26.0;6.0;26.0;10.0;7.0;;;;2.0;;;;;;986.0
Woerden-G0632;87;;5494;2719;2911;1640;199.0;88.0;531.0;334;240.0;60.0;73.0;114.0;126.0;25.0;35.0;;;7.0;3.0;;2.0;;;;;;;;1633.0
Wognum-G0466;38;;2049;517;656;400;71.0;42.0;1.0;58;5.0;3.0;8.0;7.0;9.0;17.0;6.0;7.0;;2.0;;1.0;;;0.0;;;;;;481.0
Wonseradeel-G0099;48;;3378;1826;898;590;113.0;107.0;29.0;159;116.0;61.0;22.0;50.0;10.0;;5.0;1.0;2.0;1.0;;;1.0;;;;;;;;586.0
Workum-G0100;16;;1425;504;306;253;29.0;9.0;12.0;63;96.0;16.0;9.0;37.0;1.0;8.0;3.0;1.0;5.0;;;;1.0;;;;;;;;210.0
Wormer-G0467;52;;1460;1919;1072;926;278.0;517.0;29.0;276;140.0;14.0;51.0;57.0;9.0;16.0;6.0;13.0;;8.0;9.0;3.0;1.0;;7.0;;;;;;771.0
Woubrugge-G0633;24;;1142;404;610;351;43.0;19.0;61.0;66;30.0;8.0;9.0;28.0;4.0;6.0;9.0;;;2.0;2.0;;;;;;;;;;282.0
Woudenberg-G0351;31;;1787;763;1221;441;65.0;32.0;595.0;103;274.0;58.0;5.0;48.0;8.0;2.0;10.0;4.0;11.0;1.0;;2.0;;;;;0.0;;;;502.0
Woudrichem-G0874;30;;3242;1703;967;558;53.0;26.0;492.0;58;416.0;219.0;25.0;60.0;10.0;2.0;16.0;2.0;8.0;7.0;5.0;;1.0;;1.0;;;;;;654.0
Wouw-G0875;27;;2200;1241;780;433;35.0;13.0;4.0;54;2.0;2.0;15.0;8.0;10.0;15.0;19.0;1.0;14.0;2.0;2.0;;;;0.0;;;;;;898.0
Wymbritseradeel-G0101;23;;4246;973;939;732;74.0;34.0;36.0;172;131.0;38.0;23.0;109.0;8.0;8.0;9.0;1.0;5.0;3.0;3.0;2.0;1.0;;;;;;;;406.0
Zaanstad-G0479;456;;13425;26349;11798;10205;2621.0;7982.0;312.0;2050;830.0;282.0;642.0;499.0;137.0;130.0;71.0;265.0;;58.0;14.0;22.0;17.0;;18.0;;;;;;11493.0
Zaltbommel-G0297;23;;1292;1923;908;625;128.0;40.0;121.0;93;32.0;44.0;24.0;23.0;13.0;6.0;9.0;;3.0;3.0;1.0;1.0;;0.0;1.0;;;;;;670.0
Zandvoort-G0473;91;;1992;2525;3996;1313;159.0;203.0;8.0;167;44.0;11.0;152.0;17.0;11.0;23.0;13.0;;;8.0;3.0;8.0;;;;18.0;2.0;;4.0;0.0;1863.0
Zeeland-G0877;16;;2411;334;223;249;56.0;8.0;1.0;38;;;3.0;;28.0;12.0;7.0;1.0;5.0;1.0;16.0;;1.0;;1.0;;;;;;310.0
Zeevang-G0478;37;;480;1002;1086;510;88.0;85.0;6.0;91;5.0;3.0;31.0;10.0;3.0;;12.0;3.0;;;;;;;0.0;;;;;;351.0
Zegveld-G0354;8;;522;79;175;95;4.0;2.0;121.0;12;147.0;2.0;1.0;5.0;2.0;;16.0;3.0;;1.0;;;;;;;0.0;;;;89.0
Zeist-G0355;264;;10184;8110;10312;4647;749.0;414.0;1310.0;1032;705.0;523.0;340.0;285.0;81.0;52.0;38.0;54.0;60.0;18.0;15.0;10.0;4.0;;;;4.0;;;;6156.0
Zelhem-G0298;44;;2612;1884;1036;742;41.0;17.0;107.0;82;80.0;8.0;19.0;47.0;3.0;3.0;48.0;;5.0;3.0;2.0;4.0;1.0;0.0;0.0;;;;;;1051.0
Zevenaar-G0299;80;;6283;3500;2861;1946;269.0;137.0;35.0;402;77.0;48.0;68.0;47.0;17.0;48.0;34.0;4.0;35.0;7.0;3.0;2.0;2.0;4.0;3.0;;;;;;2117.0
Zevenbergen-G0878;59;;3312;2404;1527;1039;66.0;72.0;15.0;118;48.0;100.0;16.0;22.0;7.0;30.0;26.0;17.0;26.0;9.0;52.0;;2.0;;2.0;;;;;;1587.0
Zevenhoven-G0635;7;;684;152;295;108;11.0;6.0;30.0;19;28.0;2.0;1.0;12.0;1.0;8.0;3.0;;;;;;;;;;;;;;147.0
Zevenhuizen-G0636;15;;884;984;932;326;27.0;20.0;250.0;44;56.0;11.0;14.0;29.0;3.0;4.0;7.0;;;;1.0;;2.0;;;;;;;;354.0
Zierikzee-G0732;21;;1562;2013;1038;716;76.0;46.0;194.0;79;225.0;21.0;11.0;33.0;5.0;6.0;5.0;4.0;;1.0;1.0;4.0;2.0;;;;;;;;665.0
