RegioNaam;@invalid;@blank;KVP;PvdA;VVD;CHU;ARP;Boeren Partij;Pacifistisch-Socialistische Partij (PSP);Communistische Partij van Nederland;SGP;Gereformeerd Politiek Verbond (GPV);Protestants Christelijke Groep;Christelijk Democratische Unie;Partij voor Volkswil en Referendum;Samenwerkende Christelijke Groepering;FNP;Lijst van Rappard;Vrije  Burgers;Lijst Germeaux;Partij voor Volksbelang en Volksstemming;@abs
Sevenum-G0964;26;0;2438;38;29;0.0;0.0;191;7;0;0;0.0;0;0;0;7;0.0;0;0;0;0;63.0
's-Graveland-G0390;41;0;163;150;90;223.0;160.0;106;56;16;45;11.0;0;17;0;0;0.0;0;0;0;0;78.0
's-Gravendeel-G0517;66;0;28;1107;298;718.0;621.0;108;75;10;275;12.0;0;0;0;0;0.0;2;0;0;0;148.0
's-Gravenhage-G0518;12307;0;63889;91356;61716;33784.0;26746.0;23844;24863;8557;4301;1268.0;0;0;3286;0;0.0;1264;1951;0;0;27223.0
's-Gravenmoer-G0787;12;0;61;62;22;0.0;0.0;47;2;2;18;0.0;643;11;0;0;0.0;0;0;0;0;39.0
's-Gravenpolder-G0666;5;0;78;70;28;237.0;102.0;31;36;2;303;0.0;0;0;0;0;0.0;0;0;0;0;46.0
's-Gravenzande-G0519;100;0;516;1191;772;1442.0;1266.0;329;91;13;408;15.0;0;0;13;0;0.0;6;9;0;0;208.0
's-Heer Abtskerke-G0669;4;0;26;26;25;103.0;6.0;30;3;0;13;0.0;0;0;0;0;0.0;0;0;0;0;14.0
's-Heer Arendskerke-G0670;68;0;514;355;162;813.0;587.0;142;37;1;174;13.0;0;0;0;0;0.0;0;0;0;0;94.0
's-Heerenhoek-G0671;34;0;685;23;35;21.0;8.0;60;4;1;0;1.0;0;0;0;0;0.0;0;0;0;0;37.0
's-Hertogenbosch-G0796;1420;0;24961;6180;2569;0.0;0.0;3034;1038;447;0;0.0;1559;375;0;0;0.0;0;0;0;0;2452.0
Sijbekarspel-G0447;9;0;339;190;87;10.0;9.0;70;39;4;0;1.0;0;4;0;0;0.0;0;0;0;0;25.0
Simpelveld-G0965;141;0;2387;213;59;0.0;0.0;150;26;36;0;0.0;0;0;0;35;0.0;0;0;8;0;101.0
Sint Annaland-G0708;27;0;13;345;119;148.0;216.0;70;9;0;572;0.0;0;0;0;0;0.0;0;0;0;0;249.0
Sint Geertruid-G0966;10;0;531;14;5;0.0;0.0;54;2;0;0;0.0;0;0;0;5;0.0;0;0;8;0;28.0
Sint Jansteen-G0709;155;0;1320;167;61;71.0;12.0;173;5;7;5;6.0;0;0;0;0;0.0;0;0;0;0;139.0
Sint Laurens-G1179;16;0;21;94;54;272.0;362.0;29;22;2;127;15.0;0;0;0;0;0.0;0;0;0;0;45.0
Sint Maarten-G0445;13;0;193;194;76;7.0;138.0;77;61;15;1;5.0;0;2;0;0;0.0;0;0;0;0;22.0
Sint Maartensdijk-G0711;48;0;18;629;186;195.0;64.0;57;31;0;421;0.0;0;0;0;0;0.0;0;0;0;0;150.0
Sint Odiliënberg-G0967;55;0;818;74;36;0.0;0.0;119;4;11;0;0.0;0;0;0;15;0.0;0;0;0;0;62.0
Sint Pancras-G0446;14;0;83;270;162;261.0;221.0;135;45;13;14;9.0;0;12;0;0;0.0;0;0;0;0;76.0
Sint Philipsland-G0712;15;0;3;140;69;209.0;129.0;38;6;0;630;0.0;0;0;0;0;0.0;0;0;0;0;139.0
