RegioNaam;@invalid;@blank;KVP;PvdA;ARP;Communistische Partij van Nederland;CHU;Partij van de Vrijheid;SGP;Overige partijen zonder zetels;Overige partijen met 1 of meer zetels;@abs
Ewijk-G0235;81;0;1399;0;21;0;51;11;0;0;0;80.0
Ezinge-G0012;22;0;0;356;424;30;43;204;0;1;0;65.0
Ferwerderadeel-G0068;41;0;4;1074;2387;94;910;180;8;0;0;315.0
Fijnaart en Heijningen-G0778;49;0;952;83;296;12;982;56;39;1;0;182.0
Finsterwolde-G0013;79;0;16;441;54;1061;77;185;0;2;0;70.0
Franeker-G0069;122;0;551;1455;1105;562;517;221;7;0;0;958.0
Franekeradeel-G0070;50;0;105;1071;579;153;577;132;5;0;0;268.0
Gaasterland-G0071;35;0;703;428;670;32;1236;85;152;0;0;240.0
Gameren-G1058;232;0;20;0;505;0;55;36;189;0;0;148.0
Gasselte-G0115;76;0;14;750;261;329;260;268;0;0;0;155.0
Geertruidenberg-G0779;51;0;1186;147;49;7;77;18;10;5;0;133.0
Geervliet-G0509;10;0;2;222;92;50;82;114;43;0;0;51.0
Geffen-G0780;37;0;862;15;7;4;1;0;0;10;0;51.0
Geldermalsen-G0236;101;0;77;1058;223;93;562;357;291;0;0;217.0
Geldrop-G0781;355;0;3974;742;138;143;78;37;19;22;0;415.0
Geleen-G0906;427;0;5391;1031;0;480;0;0;0;679;0;623.0
Gemert-G0782;100;0;3683;68;53;35;22;13;0;16;0;221.0
Gendringen-G0237;69;0;4336;458;307;0;309;23;0;0;0;254.0
Gendt-G0238;25;0;1648;30;18;0;83;6;0;0;0;57.0
Genemuiden-G0154;52;0;9;250;643;32;214;23;565;0;0;309.0
Gennep-G0907;91;0;1402;237;0;0;0;0;0;60;0;150.0
Geulle-G0908;76;0;743;58;0;5;0;0;0;36;0;74.0
Giessen-G0783;5;0;0;46;95;0;111;4;5;0;0;46.0
Giessendam-G1063;47;0;6;322;663;85;217;243;621;0;0;329.0
Giessen-Nieuwkerk-G1062;13;0;2;67;297;4;42;113;59;0;0;49.0
Gieten-G0116;86;0;16;1051;106;83;261;480;0;0;0;119.0
Giethoorn-G0155;42;0;28;646;105;281;230;65;6;0;0;119.0
Gilze en Rijen-G0784;87;0;4166;50;23;31;8;20;5;254;0;151.0
Goedereede-G0511;18;0;3;160;253;6;23;70;129;0;0;86.0
Goes-G0664;188;0;1058;1984;833;155;1854;707;269;0;0;790.0
Goirle-G0785;92;0;2557;94;41;39;35;23;4;160;0;220.0
Goor-G0156;63;0;674;1405;101;376;147;100;6;0;0;155.0
Gorinchem-G0512;206;0;934;3703;1618;655;393;952;138;0;0;428.0
Gorssel-G0239;176;0;366;1693;734;346;1448;732;0;0;0;473.0
Gouda-G0513;519;0;4201;6381;3163;2296;1026;1435;804;0;0;1092.0
Gouderak-G0514;27;0;17;335;297;11;21;154;192;0;0;74.0
Goudriaan-G0515;1;0;0;21;183;6;7;88;29;0;0;31.0
Goudswaard-G0516;12;0;0;104;168;0;46;86;322;0;0;60.0
Graauw en Langendam-G0665;48;0;735;6;10;10;3;13;1;117;0;118.0
Graft-G0389;9;0;176;228;20;141;22;36;5;3;0;31.0
Gramsbergen-G0157;65;0;61;566;734;23;826;131;9;0;0;168.0
Grathem-G0909;4;0;784;7;0;0;0;0;0;3;0;56.0
Grave-G0786;50;0;1829;74;39;0;9;20;0;0;0;322.0
Grevenbicht-G0910;50;0;747;41;0;17;0;0;0;118;0;68.0
Grijpskerk-G0016;22;0;11;327;1233;17;180;205;0;2;0;137.0
Grijpskerke-G1067;1;0;2;12;260;0;110;3;38;0;0;9.0
