RegioNaam;@invalid;@blank;PvdA;KVP;VVD;ARP;D66;CHU;Democratisch Socialisten '70;Communistische Partij van Nederland;SGP;Politieke Partij Radikalen (PPR);Gereformeerd Politiek Verbond (GPV);Nederlandse Middenstands Partij;Pacifistisch-Socialistische Partij (PSP);Boeren Partij;Algemene Bejaarden Partij Nederland;Nederlands Appel;Nieuwe Roomse Partij;Kabouters;Bejaarden en Arbeidspartij;Binding Rechts;Democraten 2000;Bejaardenpartij 65+;Lijst van Velzen;Bejaarden Partij Algemeen Belang;Stichting Gedupeerde Groepen 18+ t/m 65;Landelijke Partij van Bejaarden;Partij van het Recht;Positief Sociaal Democraten;@abs
Capelle aan den IJssel-G0502;71;;3621;689.0;1790;997;1476;910.0;606;229.0;1284.0;166.0;430.0;180.0;145.0;49.0;22.0;28.0;5.0;38.0;25.0;5.0;3.0;;11.0;;3.0;;;;3447
Castricum-G0383;53;;1619;2700.0;1517;515;781;185.0;877;164.0;9.0;440.0;51.0;148.0;161.0;71.0;48.0;39.0;27.0;23.0;22.0;7.0;7.0;;7.0;;;;;;2363
Chaam-G0760;29;;114;798.0;73;30;52;22.0;19;5.0;1.0;43.0;1.0;69.0;14.0;84.0;7.0;;2.0;5.0;7.0;4.0;1.0;;;;;;;;343
Coevorden-G0109;55;;2113;1370.0;587;723;211;546.0;211;63.0;11.0;49.0;80.0;96.0;23.0;57.0;21.0;26.0;15.0;7.0;21.0;4.0;14.0;;4.0;;;;;;1186
Cothen-G0314;6;;63;542.0;45;10;32;46.0;42;2.0;22.0;23.0;8.0;9.0;8.0;6.0;3.0;2.0;4.0;3.0;2.0;;2.0;;2.0;;;1.0;;;165
Cuijk en Sint Agatha-G0761;55;;629;2940.0;235;74;409;25.0;239;34.0;10.0;73.0;14.0;52.0;47.0;84.0;27.0;12.0;20.0;24.0;29.0;4.0;6.0;;2.0;;;;;;1549
Culemborg-G0216;34;;2184;1838.0;786;439;495;283.0;537;194.0;164.0;136.0;61.0;111.0;70.0;57.0;25.0;46.0;25.0;14.0;19.0;5.0;2.0;;2.0;;4.0;;;;1778
Dalen-G0110;25;;1024;197.0;609;112;48;161.0;94;34.0;3.0;5.0;8.0;31.0;10.0;56.0;4.0;4.0;1.0;2.0;3.0;11.0;3.0;;;;;;;;427
Dalfsen-G0148;21;;630;1738.0;352;477;132;1747.0;138;13.0;54.0;43.0;454.0;64.0;20.0;137.0;6.0;6.0;8.0;7.0;3.0;32.0;1.0;;;;;;;;821
Dantumadeel-G0065;68;;1951;56.0;385;2337;149;1260.0;119;180.0;723.0;27.0;374.0;96.0;47.0;94.0;7.0;2.0;1.0;9.0;11.0;6.0;6.0;;3.0;;;;;;1804
De Bilt-G0310;92;;3004;1892.0;4028;1533;1096;1030.0;1349;98.0;333.0;321.0;344.0;192.0;306.0;60.0;47.0;141.0;33.0;51.0;14.0;21.0;7.0;;10.0;;4.0;12.0;;;2904
De Lier-G0552;16;;339;604.0;303;953;148;747.0;139;12.0;37.0;27.0;109.0;43.0;12.0;22.0;4.0;9.0;15.0;5.0;5.0;6.0;1.0;;1.0;;;;;;530
De Wijk-G0135;20;;724;20.0;531;341;70;207.0;107;13.0;6.0;4.0;35.0;77.0;7.0;49.0;18.0;9.0;2.0;4.0;5.0;3.0;7.0;;;;;;;;409
Deil-G0217;7;;408;203.0;168;91;79;227.0;56;14.0;50.0;12.0;16.0;21.0;6.0;28.0;14.0;19.0;1.0;4.0;5.0;5.0;3.0;;;;;;;;348
Delft-G0503;235;;11908;7292.0;4974;3319;4527;1879.0;2681;1659.0;879.0;1334.0;586.0;457.0;1343.0;208.0;104.0;138.0;291.0;186.0;81.0;35.0;29.0;73.0;20.0;;8.0;;;;11038
Delfzijl-G0010;86;;3809;278.0;1053;1392;663;800.0;401;893.0;12.0;147.0;305.0;130.0;139.0;66.0;25.0;14.0;5.0;29.0;29.0;6.0;9.0;;2.0;;;;;;2939
Den Dungen-G0768;21;;184;1065.0;50;27;70;8.0;42;13.0;1.0;54.0;3.0;31.0;6.0;24.0;3.0;1.0;20.0;3.0;6.0;2.0;;;1.0;;;;;;439
Den Ham-G0159;31;;1063;335.0;155;1470;90;1815.0;153;33.0;60.0;39.0;288.0;81.0;14.0;152.0;9.0;4.0;3.0;3.0;10.0;12.0;6.0;;1.0;;;;;;1095
Den Helder-G0400;148;;8187;3438.0;4768;2729;2037;1047.0;2066;345.0;227.0;377.0;681.0;327.0;443.0;152.0;182.0;130.0;43.0;65.0;87.0;43.0;31.0;;133.0;;;;;;7949
Denekamp-G0149;28;;320;3543.0;141;90;145;260.0;89;45.0;3.0;54.0;6.0;132.0;17.0;146.0;14.0;8.0;14.0;6.0;13.0;11.0;4.0;;1.0;;;;;;914
Deurne-G0762;95;;793;6383.0;333;134;458;144.0;225;137.0;4.0;153.0;14.0;103.0;96.0;188.0;32.0;18.0;60.0;32.0;37.0;12.0;6.0;;3.0;;;;;;3487
Deventer-G0150;161;;12321;4772.0;3594;1616;2634;1239.0;1934;1708.0;134.0;427.0;300.0;644.0;547.0;205.0;200.0;148.0;70.0;91.0;76.0;58.0;30.0;;41.0;;;;;;8262
Didam-G0218;37;;693;3169.0;191;111;327;73.0;202;35.0;7.0;147.0;15.0;75.0;33.0;281.0;23.0;13.0;31.0;9.0;42.0;23.0;8.0;;4.0;;2.0;;;;1823
Diemen-G0384;30;;1134;871.0;690;416;655;332.0;518;214.0;32.0;102.0;33.0;117.0;170.0;25.0;10.0;23.0;21.0;15.0;11.0;9.0;3.0;;3.0;9.0;2.0;10.0;;;1201
Diepenheim-G0151;10;;557;128.0;264;73;49;111.0;73;7.0;4.0;3.0;7.0;51.0;1.0;40.0;7.0;12.0;;1.0;2.0;2.0;2.0;;;;;;;;155
Diepenveen-G0152;25;;1097;1542.0;986;256;262;492.0;210;38.0;11.0;51.0;35.0;108.0;43.0;104.0;34.0;20.0;7.0;8.0;11.0;35.0;2.0;;5.0;;;;;;789
Diessen-G0763;7;;93;1148.0;31;16;29;10.0;15;4.0;2.0;5.0;;30.0;3.0;23.0;4.0;;5.0;12.0;6.0;;2.0;;;;;;;;200
Diever-G0111;13;;657;23.0;316;347;54;56.0;71;13.0;1.0;2.0;39.0;35.0;19.0;40.0;8.0;4.0;3.0;6.0;8.0;4.0;3.0;;;;;;;;258
Dinteloord en Prinsenland-G0764;18;;540;641.0;143;243;59;279.0;29;21.0;211.0;27.0;32.0;29.0;4.0;28.0;2.0;7.0;2.0;1.0;10.0;2.0;1.0;;1.0;;;;;;486
Dinxperlo-G0219;27;;487;505.0;142;414;76;1018.0;73;12.0;3.0;17.0;17.0;81.0;13.0;41.0;1.0;2.0;8.0;3.0;4.0;2.0;5.0;;1.0;;;;;;725
Dirksland-G0504;35;;844;39.0;240;561;86;217.0;60;14.0;1020.0;7.0;61.0;68.0;11.0;43.0;7.0;5.0;1.0;2.0;5.0;1.0;2.0;9.0;;;;;;;660
Dodewaard-G0220;14;;683;38.0;108;223;61;202.0;72;6.0;182.0;2.0;17.0;11.0;8.0;27.0;6.0;6.0;5.0;1.0;4.0;4.0;;;;;;;;;319
Doesburg-G0221;24;;1432;1129.0;327;234;224;282.0;208;64.0;24.0;62.0;44.0;71.0;23.0;40.0;13.0;17.0;21.0;16.0;14.0;3.0;7.0;;2.0;;3.0;;;;1130
Doetinchem-G0222;70;;4361;3978.0;1577;795;817;1044.0;880;147.0;135.0;273.0;120.0;257.0;83.0;176.0;30.0;43.0;25.0;30.0;42.0;49.0;6.0;;7.0;;10.0;;;;3949
Dokkum-G0066;14;;1085;123.0;284;2100;135;614.0;126;39.0;131.0;40.0;252.0;73.0;18.0;10.0;6.0;2.0;8.0;4.0;5.0;1.0;6.0;;;;;;;;719
Domburg-G0660;13;;370;22.0;190;363;57;310.0;72;9.0;249.0;21.0;48.0;83.0;7.0;13.0;3.0;9.0;4.0;4.0;;4.0;;;;;;;;;280
Dongen-G0766;109;;870;3736.0;407;182;502;105.0;255;69.0;5.0;371.0;11.0;174.0;74.0;177.0;52.0;25.0;52.0;31.0;50.0;10.0;11.0;;6.0;;;;;;2091
Doniawerstal-G0067;15;;594;679.0;186;447;105;580.0;68;22.0;38.0;47.0;37.0;56.0;20.0;35.0;2.0;2.0;4.0;6.0;4.0;4.0;6.0;;2.0;;;;;;513
Doorn-G0315;36;;885;289.0;1071;600;277;626.0;371;23.0;243.0;63.0;106.0;63.0;38.0;34.0;4.0;54.0;9.0;10.0;11.0;5.0;;;31.0;;2.0;3.0;;;1261
Doornspijk-G0223;28;;656;111.0;348;720;135;625.0;222;27.0;1640.0;26.0;170.0;40.0;20.0;156.0;11.0;24.0;2.0;4.0;11.0;25.0;3.0;;5.0;;;;;;1045
Dordrecht-G0505;323;;18108;3944.0;5714;5192;3845;3501.0;2517;1466.0;1571.0;425.0;741.0;446.0;617.0;204.0;138.0;208.0;56.0;155.0;111.0;45.0;50.0;118.0;35.0;;16.0;;;;14390
Dreumel-G0224;10;;162;878.0;58;16;71;23.0;46;10.0;2.0;11.0;1.0;25.0;6.0;58.0;9.0;2.0;7.0;5.0;14.0;2.0;2.0;;1.0;;;;;;486
Driebergen-Rijsenburg-G0316;50;;1619;908.0;1625;1125;403;773.0;546;41.0;458.0;177.0;230.0;92.0;120.0;58.0;25.0;63.0;7.0;23.0;15.0;26.0;5.0;;16.0;;3.0;7.0;;;1652
Driebruggen-G0506;9;;122;280.0;117;392;64;286.0;45;;275.0;15.0;23.0;16.0;5.0;28.0;5.0;2.0;2.0;2.0;1.0;8.0;2.0;;1.0;;1.0;;;;297
Drunen-G0767;34;;558;2733.0;290;121;275;56.0;224;67.0;5.0;109.0;10.0;53.0;67.0;118.0;40.0;25.0;39.0;25.0;24.0;14.0;10.0;;;;;;;;1600
Druten-G0225;47;;646;2682.0;111;60;252;81.0;129;30.0;3.0;72.0;8.0;94.0;22.0;100.0;9.0;10.0;27.0;11.0;22.0;4.0;10.0;;3.0;;;;;;1419
Duiveland-G0662;18;;537;25.0;235;206;41;241.0;50;11.0;619.0;1.0;51.0;31.0;7.0;24.0;3.0;2.0;1.0;1.0;3.0;2.0;;;1.0;;;;;;424
Duiven-G0226;24;;325;1964.0;188;85;199;52.0;138;26.0;8.0;50.0;17.0;68.0;24.0;92.0;17.0;10.0;47.0;8.0;12.0;25.0;4.0;;4.0;;2.0;;;;732
Dussen-G0769;37;;263;1017.0;76;273;89;171.0;54;16.0;106.0;49.0;15.0;19.0;13.0;38.0;4.0;4.0;6.0;4.0;11.0;2.0;1.0;;1.0;;;;;;553
Dwingeloo-G0112;13;;783;12.0;427;302;81;83.0;80;16.0;2.0;9.0;9.0;28.0;6.0;35.0;3.0;4.0;;1.0;4.0;5.0;5.0;;1.0;;;;;;182
Echt-G0902;183;;830;4527.0;191;73;428;23.0;302;101.0;7.0;63.0;12.0;94.0;38.0;189.0;31.0;13.0;54.0;48.0;37.0;8.0;14.0;;3.0;;4.0;;;;2241
Echteld-G0227;14;;1334;51.0;217;216;85;237.0;105;11.0;327.0;19.0;45.0;43.0;4.0;84.0;11.0;17.0;;2.0;3.0;5.0;1.0;;;;;;;;426
Edam-Volendam-G0385;35;;907;5021.0;609;229;400;148.0;356;141.0;5.0;221.0;17.0;211.0;129.0;64.0;25.0;19.0;39.0;32.0;13.0;2.0;4.0;;;;;;;;1709
Ede-G0228;155;;5553;2205.0;4266;5050;1724;4899.0;2132;240.0;5224.0;415.0;931.0;494.0;271.0;1375.0;143.0;197.0;42.0;64.0;90.0;189.0;30.0;;36.0;;;;;;7350
Eelde-G0113;10;;1608;179.0;1013;280;356;188.0;304;123.0;1.0;51.0;51.0;82.0;46.0;53.0;11.0;9.0;4.0;13.0;14.0;11.0;9.0;;1.0;;;;;;718
Eemnes-G0317;10;;218;566.0;219;187;111;112.0;86;21.0;44.0;21.0;23.0;16.0;19.0;42.0;2.0;4.0;6.0;7.0;5.0;4.0;1.0;;2.0;;3.0;1.0;;;307
Eenrum-G0011;4;;643;41.0;221;113;32;19.0;36;75.0;2.0;10.0;117.0;20.0;5.0;1.0;2.0;;3.0;4.0;2.0;4.0;2.0;;;;;;;;191
Eersel-G0770;23;;234;2405.0;190;55;153;21.0;99;15.0;3.0;70.0;7.0;27.0;22.0;80.0;10.0;6.0;18.0;13.0;7.0;1.0;4.0;;1.0;;;;;;731
Eethen-G0771;13;;250;64.0;70;624;15;264.0;35;8.0;231.0;4.0;53.0;13.0;5.0;33.0;10.0;2.0;1.0;2.0;3.0;4.0;1.0;;;;;;;;305
Egmond aan Zee-G0386;23;;1279;297.0;269;146;176;56.0;239;111.0;;22.0;11.0;71.0;33.0;22.0;22.0;7.0;4.0;15.0;9.0;4.0;1.0;;1.0;;;;;;733
Egmond-Binnen-G0387;10;;209;1222.0;164;49;102;21.0;111;41.0;;31.0;1.0;69.0;31.0;54.0;8.0;5.0;16.0;9.0;4.0;2.0;1.0;;3.0;;;;;;386
Eibergen-G0229;31;;1826;3021.0;518;595;271;703.0;213;28.0;7.0;99.0;31.0;129.0;39.0;92.0;6.0;15.0;33.0;6.0;10.0;22.0;7.0;;1.0;;2.0;;;;1061
Eijgelshoven-G0904;72;;370;887.0;121;26;616;16.0;79;106.0;1.0;52.0;3.0;19.0;32.0;37.0;16.0;4.0;16.0;15.0;14.0;9.0;8.0;;1.0;;8.0;;;;750
Eijsden-G0905;59;;288;1589.0;84;28;193;16.0;136;32.0;1.0;48.0;1.0;16.0;33.0;55.0;24.0;12.0;13.0;11.0;12.0;6.0;2.0;;1.0;;2.0;;;;1007
Eindhoven-G0772;524;;15609;32281.0;7614;3236;8811;1349.0;5643;1632.0;144.0;2172.0;509.0;860.0;1739.0;900.0;392.0;343.0;669.0;389.0;430.0;86.0;139.0;;104.0;;;;;;29900
Elburg-G0230;14;;360;49.0;211;392;110;588.0;122;17.0;473.0;13.0;100.0;54.0;13.0;43.0;12.0;12.0;;2.0;2.0;4.0;4.0;;1.0;;;;;;640
Elsloo-G0903;80;;415;1713.0;77;33;245;16.0;128;32.0;;63.0;1.0;41.0;12.0;40.0;16.0;7.0;28.0;26.0;8.0;3.0;7.0;;3.0;;5.0;;;;1024
Elst-G0231;9;;1148;2859.0;685;362;354;415.0;246;81.0;58.0;85.0;56.0;144.0;61.0;57.0;13.0;40.0;22.0;17.0;22.0;19.0;7.0;;10.0;;3.0;;;;1975
Emmen-G0114;334;;12826;5637.0;2448;4521;1539;2979.0;1124;3081.0;59.0;459.0;541.0;586.0;255.0;248.0;114.0;62.0;75.0;69.0;140.0;42.0;65.0;;9.0;;;;;;9753
Enkhuizen-G0388;63;;1776;614.0;550;953;314;470.0;326;324.0;171.0;101.0;130.0;133.0;65.0;36.0;20.0;14.0;9.0;18.0;8.0;10.0;3.0;;1.0;;;;;;1248
Enschede-G0153;418;;21070;12441.0;6517;3646;5354;3362.0;3440;5758.0;279.0;1098.0;2165.0;1321.0;933.0;732.0;415.0;267.0;126.0;193.0;181.0;72.0;56.0;;31.0;;;;;;18044
Epe-G0232;87;;4636;1254.0;1939;1308;672;1797.0;718;112.0;552.0;110.0;159.0;204.0;117.0;357.0;55.0;35.0;24.0;20.0;45.0;262.0;11.0;;10.0;;;;;;2844
Ermelo-G0233;60;;1753;619.0;1996;3308;548;3819.0;1052;90.0;2802.0;187.0;856.0;201.0;95.0;332.0;40.0;88.0;14.0;20.0;39.0;228.0;7.0;;10.0;;;;;;4370
Erp-G0775;10;;97;1717.0;55;19;64;1.0;58;9.0;;17.0;2.0;18.0;6.0;37.0;6.0;4.0;6.0;6.0;4.0;3.0;4.0;;1.0;;;;;;387
Esch-G0776;6;;51;509.0;27;10;28;7.0;13;3.0;;17.0;2.0;10.0;6.0;6.0;2.0;;5.0;1.0;1.0;;1.0;;;;;;;;132
Est en Opijnen-G0234;7;;308;3.0;56;27;14;76.0;26;3.0;75.0;3.0;12.0;5.0;;10.0;1.0;;;1.0;;1.0;;;;;;;;;103
Etten-Leur-G0777;114;;1612;3929.0;462;175;609;134.0;354;88.0;5.0;414.0;17.0;114.0;73.0;261.0;41.0;24.0;38.0;13.0;57.0;10.0;14.0;;3.0;;;;;;2922
Everdingen-G0508;2;;107;89.0;90;103;39;90.0;30;6.0;116.0;7.0;3.0;15.0;6.0;32.0;2.0;5.0;;;;2.0;;1.0;;;;;;;177
Ewijk-G0235;15;;241;1203.0;37;17;62;47.0;57;17.0;1.0;29.0;5.0;31.0;13.0;72.0;9.0;4.0;22.0;7.0;8.0;3.0;2.0;;;;2.0;;;;577
Ezinge-G0012;3;;349;6.0;142;278;28;28.0;19;30.0;2.0;9.0;59.0;15.0;8.0;4.0;2.0;1.0;2.0;3.0;3.0;2.0;2.0;;;;;;;;136
Ferwerderadeel-G0068;22;;641;8.0;292;1899;57;608.0;108;14.0;13.0;27.0;251.0;68.0;30.0;25.0;3.0;4.0;;6.0;6.0;5.0;4.0;;2.0;;;;;;553
Fijnaart en Heijningen-G0778;24;;432;904.0;109;235;67;511.0;77;24.0;42.0;75.0;30.0;33.0;9.0;31.0;12.0;2.0;1.0;1.0;8.0;4.0;1.0;;;;;;;;607
Finsterwolde-G0013;24;;328;5.0;106;29;20;52.0;23;1140.0;;2.0;12.0;20.0;17.0;6.0;7.0;7.0;1.0;9.0;2.0;1.0;;;1.0;;;;;;221
Franeker-G0069;29;;1509;413.0;439;1020;182;445.0;182;123.0;59.0;91.0;126.0;112.0;88.0;23.0;17.0;9.0;20.0;7.0;28.0;4.0;4.0;;;;;;;;1376
Franekeradeel-G0070;12;;809;103.0;193;468;82;441.0;72;22.0;14.0;18.0;76.0;50.0;22.0;17.0;5.0;2.0;5.0;8.0;9.0;7.0;4.0;;;;;;;;557
Gaasterland-G0071;25;;403;576.0;131;591;78;947.0;58;28.0;140.0;52.0;74.0;88.0;17.0;84.0;8.0;6.0;13.0;8.0;3.0;18.0;6.0;;1.0;;;;;;660
Gasselte-G0115;22;;1015;16.0;287;173;89;152.0;71;174.0;1.0;8.0;17.0;29.0;14.0;7.0;5.0;;2.0;3.0;9.0;4.0;12.0;;;;;;;;430
Geertruidenberg-G0779;29;;405;1028.0;126;69;215;62.0;124;50.0;5.0;149.0;7.0;72.0;31.0;46.0;42.0;4.0;9.0;8.0;29.0;1.0;6.0;;7.0;;;;;;885
Geervliet-G0509;9;;478;24.0;148;111;150;110.0;49;30.0;39.0;11.0;8.0;11.0;7.0;10.0;;6.0;;2.0;;2.0;2.0;2.0;;;;;;;233
Geffen-G0780;19;;180;981.0;41;32;61;5.0;29;14.0;3.0;23.0;4.0;38.0;6.0;76.0;6.0;1.0;5.0;4.0;3.0;1.0;;;1.0;;;;;;557
Geldermalsen-G0236;21;;1636;134.0;371;313;152;642.0;177;30.0;416.0;26.0;49.0;67.0;19.0;45.0;9.0;13.0;;1.0;8.0;5.0;1.0;;3.0;;1.0;;;;827
Geldrop-G0781;72;;1775;4637.0;1420;509;1314;185.0;743;197.0;17.0;383.0;61.0;149.0;227.0;153.0;48.0;31.0;89.0;42.0;43.0;16.0;12.0;;3.0;;;;;;3935
Geleen-G0906;343;;2963;7344.0;831;482;1337;183.0;764;330.0;18.0;283.0;32.0;118.0;180.0;174.0;61.0;45.0;79.0;152.0;77.0;18.0;23.0;;8.0;;11.0;;;;5323
Gemert-G0782;81;;650;3648.0;242;114;348;56.0;151;102.0;4.0;93.0;4.0;107.0;132.0;160.0;43.0;22.0;24.0;15.0;42.0;13.0;5.0;;5.0;;;;;;1962
Gendringen-G0237;59;;841;5176.0;260;271;339;370.0;234;48.0;7.0;227.0;28.0;155.0;43.0;114.0;27.0;11.0;46.0;24.0;32.0;22.0;5.0;;1.0;;2.0;;;;1543
Gendt-G0238;11;;486;1656.0;102;25;81;29.0;69;17.0;5.0;37.0;6.0;26.0;14.0;58.0;13.0;7.0;21.0;1.0;8.0;3.0;5.0;;1.0;;4.0;;;;791
Genemuiden-G0154;8;;454;6.0;80;355;24;504.0;81;7.0;855.0;7.0;99.0;30.0;7.0;24.0;4.0;3.0;;1.0;4.0;7.0;;;;;;;;;594
Gennep-G0907;44;;385;1574.0;162;29;409;30.0;125;17.0;1.0;40.0;8.0;68.0;36.0;45.0;15.0;8.0;10.0;3.0;16.0;3.0;4.0;;1.0;;4.0;;;;999
Geulle-G0908;10;;127;739.0;46;6;104;8.0;68;15.0;1.0;24.0;1.0;18.0;12.0;22.0;5.0;13.0;8.0;10.0;5.0;2.0;1.0;;1.0;;1.0;;;;415
Giessen-G0783;2;;53;2.0;8;230;7;114.0;4;;59.0;2.0;47.0;1.0;5.0;1.0;;1.0;;;;1.0;1.0;;;;;;;;66
Giessenburg-G0510;15;;407;15.0;247;517;56;164.0;55;9.0;252.0;6.0;49.0;11.0;5.0;31.0;2.0;25.0;1.0;1.0;1.0;1.0;;;;;;;;;332
Gieten-G0116;27;;1250;45.0;587;126;167;193.0;114;68.0;;14.0;11.0;58.0;12.0;31.0;9.0;5.0;4.0;3.0;5.0;9.0;7.0;;;;;;;;347
Giethoorn-G0155;6;;622;18.0;136;83;32;153.0;70;56.0;9.0;2.0;30.0;22.0;13.0;30.0;7.0;3.0;1.0;2.0;;8.0;2.0;;;;;;;;317
Gilze en Rijen-G0784;49;;999;4357.0;435;148;457;58.0;265;65.0;22.0;438.0;30.0;127.0;81.0;189.0;62.0;22.0;40.0;35.0;46.0;17.0;25.0;;6.0;;;;;;2047
Goedereede-G0511;45;;825;22.0;299;736;132;357.0;81;10.0;1532.0;3.0;79.0;67.0;8.0;71.0;5.0;1.0;;3.0;6.0;4.0;4.0;7.0;2.0;;2.0;;;;958
Goes-G0664;512;;3137;1172.0;1355;1510;640;2239.0;541;76.0;962.0;195.0;203.0;305.0;84.0;74.0;37.0;32.0;37.0;25.0;17.0;28.0;12.0;;9.0;;;;;;3845
Goirle-G0785;48;;499;2822.0;358;87;339;17.0;117;86.0;2.0;115.0;22.0;66.0;115.0;78.0;50.0;12.0;24.0;26.0;39.0;5.0;11.0;;3.0;;;;;;1560
Goor-G0156;23;;2065;1187.0;394;227;306;217.0;193;95.0;10.0;59.0;62.0;96.0;41.0;44.0;14.0;10.0;5.0;9.0;14.0;5.0;2.0;;1.0;;;;;;868
Gorinchem-G0512;59;;5338;887.0;1281;1513;797;720.0;627;195.0;394.0;127.0;226.0;128.0;151.0;49.0;16.0;767.0;6.0;24.0;10.0;4.0;14.0;19.0;3.0;;;;;;3144
Gorssel-G0239;31;;1919;462.0;1767;913;369;1229.0;451;52.0;22.0;87.0;88.0;213.0;84.0;88.0;22.0;91.0;4.0;14.0;14.0;40.0;10.0;;1.0;;;;;;1273
Gouda-G0513;160;;7940;3237.0;2414;2068;1632;1184.0;1220;522.0;1147.0;485.0;387.0;271.0;309.0;139.0;73.0;80.0;82.0;64.0;49.0;23.0;9.0;;5.0;;4.0;;;;5891
Gouderak-G0514;10;;373;29.0;167;239;31;54.0;24;2.0;147.0;7.0;8.0;7.0;7.0;10.0;;3.0;2.0;1.0;2.0;3.0;1.0;;;;;;;;224
Goudriaan-G0515;4;;32;2.0;40;129;6;13.0;6;;83.0;1.0;12.0;3.0;;10.0;;3.0;;;;;1.0;1.0;;;;;;;52
Goudswaard-G0516;5;;171;4.0;82;63;12;59.0;15;2.0;287.0;;4.0;12.0;1.0;1.0;;1.0;;1.0;1.0;1.0;1.0;;1.0;;1.0;;;;166
Graft-De Rijp-G0365;18;;547;578.0;235;42;201;25.0;125;112.0;4.0;57.0;7.0;45.0;53.0;20.0;9.0;;6.0;10.0;2.0;2.0;4.0;;;;;;;;418
Gramsbergen-G0157;11;;795;56.0;159;739;48;697.0;56;10.0;7.0;6.0;97.0;30.0;9.0;27.0;7.0;1.0;1.0;;6.0;58.0;;;;;;;;;338
Grathem-G0909;18;;52;817.0;22;5;33;2.0;17;3.0;;10.0;;11.0;7.0;24.0;3.0;3.0;9.0;4.0;1.0;1.0;1.0;;2.0;;;;;;252
Grave-G0786;18;;300;1866.0;240;72;235;54.0;131;30.0;4.0;155.0;7.0;53.0;31.0;57.0;35.0;14.0;15.0;11.0;11.0;3.0;5.0;;6.0;;;;;;1279
Grevenbicht-G0910;32;;197;644.0;25;30;86;28.0;52;13.0;1.0;6.0;1.0;8.0;3.0;23.0;9.0;1.0;14.0;13.0;8.0;3.0;7.0;;;;;;;;350
Grijpskerk-G0016;15;;260;9.0;193;1127;29;148.0;23;8.0;14.0;17.0;168.0;28.0;6.0;5.0;1.0;3.0;;2.0;;3.0;1.0;;;;;;;;172
Groenlo-G0240;1;;381;2171.0;214;65;143;56.0;88;18.0;10.0;179.0;14.0;104.0;19.0;47.0;4.0;23.0;14.0;7.0;16.0;25.0;2.0;;3.0;;2.0;;;;798
Groesbeek-G0241;75;;1078;3650.0;389;148;516;148.0;239;90.0;8.0;162.0;19.0;129.0;103.0;268.0;24.0;19.0;57.0;38.0;60.0;16.0;6.0;;4.0;;8.0;;;;2768
Groningen-G0014;507;;28703;4329.0;10160;9299;5304;4489.0;5554;10345.0;228.0;2045.0;5462.0;1220.0;2207.0;316.0;245.0;186.0;188.0;243.0;339.0;72.0;91.0;;37.0;;;;;;20607
Gronsveld-G0911;27;;134;1036.0;85;23;88;6.0;86;9.0;2.0;26.0;2.0;13.0;13.0;35.0;10.0;3.0;21.0;6.0;2.0;2.0;;;1.0;;2.0;;;;369
Groot-Ammers-G0520;7;;215;2.0;167;336;44;78.0;27;7.0;241.0;5.0;25.0;4.0;4.0;13.0;;4.0;;;;2.0;1.0;;1.0;;;;;;198
Grootebroek-G0391;5;;226;1576.0;94;27;91;4.0;64;50.0;1.0;106.0;1.0;40.0;29.0;24.0;6.0;;119.0;6.0;7.0;1.0;2.0;;1.0;;;;;;610
Grootegast-G0015;30;;665;11.0;208;2136;36;334.0;64;119.0;27.0;26.0;340.0;44.0;14.0;226.0;8.0;3.0;2.0;9.0;11.0;9.0;;;;;;;;;683
Grubbenvorst-G0912;15;;134;1646.0;134;25;118;3.0;150;10.0;1.0;42.0;1.0;12.0;14.0;53.0;9.0;2.0;30.0;7.0;4.0;2.0;3.0;;;;2.0;;;;564
Gulpen-G0913;42;;260;1151.0;84;21;94;14.0;63;15.0;;16.0;5.0;58.0;12.0;28.0;5.0;8.0;16.0;24.0;5.0;32.0;3.0;;2.0;;1.0;;;;636
Haaften-G0242;13;;795;9.0;90;262;65;328.0;61;7.0;176.0;3.0;23.0;10.0;6.0;24.0;1.0;6.0;;3.0;2.0;1.0;1.0;;;;;;;;274
Haaksbergen-G0158;54;;1371;5005.0;694;196;508;130.0;309;81.0;12.0;146.0;21.0;171.0;54.0;242.0;33.0;21.0;19.0;15.0;11.0;24.0;8.0;;4.0;;;;;;1582
Haaren-G0788;25;;115;1321.0;79;22;75;4.0;46;4.0;2.0;21.0;2.0;19.0;5.0;42.0;5.0;4.0;11.0;5.0;3.0;2.0;3.0;;2.0;;;;;;413
Haarlem-G0392;551;;23296;15420.0;9550;5605;8419;2699.0;7206;4613.0;303.0;1702.0;813.0;1614.0;2128.0;726.0;532.0;606.0;398.0;449.0;263.0;101.0;146.0;;48.0;155.0;52.0;99.0;;;25505
Haarlemmerliede en Spaarnwoude-G0393;13;;287;735.0;251;157;111;69.0;123;84.0;15.0;34.0;19.0;32.0;33.0;15.0;6.0;5.0;19.0;1.0;5.0;7.0;3.0;;1.0;1.0;;3.0;;;418
Haarlemmermeer-G0394;158;;5279;4673.0;3439;4079;2265;2443.0;2094;1119.0;566.0;464.0;474.0;527.0;362.0;233.0;87.0;133.0;96.0;74.0;41.0;28.0;38.0;;16.0;31.0;6.0;25.0;;;6930
Haastrecht-G0521;9;;320;625.0;264;215;130;96.0;75;13.0;82.0;39.0;24.0;26.0;23.0;17.0;1.0;7.0;7.0;4.0;1.0;3.0;;;;;;;;;316
