RegioNaam;@invalid;@blank;KVP;PvdA;ARP;CHU;VVD;Communistische Partij van Nederland;SGP;Overig;Lijst Welter;@abs
Uithuizermeeden-G0044;0;;16.0;634;1111.0;816.0;231.0;52.0;6.0;51.0;7.0;149.0
Ulestraten-G0979;0;;552.0;5;1.0;;6.0;1.0;;;21.0;17.0
Ulrum-G0045;0;;4.0;463;1223.0;210.0;173.0;87.0;3.0;27.0;4.0;200.0
Urk-G0184;0;;15.0;77;1428.0;210.0;14.0;58.0;399.0;2.0;;29.0
Urmond-G0980;0;;1098.0;80;8.0;11.0;8.0;9.0;2.0;9.0;18.0;132.0
Ursem-G0452;0;;557.0;97;8.0;5.0;22.0;31.0;1.0;5.0;;27.0
Usquert-G0046;0;;22.0;673;55.0;66.0;158.0;48.0;;26.0;7.0;76.0
Utingeradeel-G0095;0;;36.0;1404;330.0;443.0;334.0;210.0;35.0;136.0;2.0;257.0
Utrecht-G0344;0;;26811.0;29562;13562.0;6311.0;7081.0;7412.0;1190.0;2725.0;2315.0;12116.0
Vaals-G0981;0;;3183.0;144;41.0;38.0;20.0;543.0;7.0;24.0;134.0;534.0
Valburg-G0283;0;;1323.0;531;611.0;644.0;141.0;35.0;337.0;18.0;12.0;273.0
Valkenburg (ZH)-G0619;0;;71.0;120;216.0;305.0;43.0;6.0;32.0;14.0;11.0;
Valkenburg-Houthem-G0982;0;;4308.0;557;220.0;134.0;400.0;174.0;9.0;67.0;306.0;
Valkenswaard-G0858;0;;5041.0;595;72.0;57.0;70.0;43.0;3.0;37.0;127.0;280.0
Varik-G0284;0;;138.0;202;67.0;160.0;38.0;3.0;28.0;9.0;1.0;63.0
Veen-G0859;0;;3.0;52;117.0;106.0;7.0;2.0;201.0;4.0;3.0;103.0
Veendam-G0047;0;;527.0;3719;936.0;563.0;1039.0;816.0;9.0;174.0;23.0;777.0
Veenendaal-G0345;0;;208.0;1590;2285.0;1552.0;169.0;88.0;766.0;31.0;4.0;451.0
Veere-G0717;0;;30.0;141;213.0;137.0;58.0;3.0;56.0;20.0;1.0;2.0
Veghel-G0860;0;;4636.0;95;36.0;32.0;12.0;27.0;6.0;5.0;61.0;170.0
Veldhoven-G0861;0;;4102.0;150;39.0;43.0;26.0;22.0;7.0;7.0;25.0;151.0
Veldhuizen-G1207;0;;245.0;38;37.0;75.0;7.0;3.0;9.0;5.0;12.0;22.0
Velsen-G0453;0;;5047.0;6926;2572.0;1845.0;1537.0;3363.0;158.0;282.0;127.0;1846.0
Venhuizen-G0454;0;;864.0;563;31.0;20.0;168.0;63.0;3.0;10.0;4.0;89.0
Venlo-G0983;0;;17096.0;1793;238.0;154.0;185.0;573.0;15.0;75.0;789.0;1186.0
Venray-G0984;0;;6471.0;103;14.0;11.0;22.0;41.0;3.0;10.0;96.0;231.0
Vessem, Wintelre en Knegsel-G0862;0;;844.0;7;7.0;;2.0;;;;6.0;19.0
Vianen-G0620;0;;451.0;576;284.0;305.0;172.0;27.0;148.0;41.0;18.0;191.0
Vierlingsbeek-G0863;0;;2416.0;41;4.0;18.0;2.0;8.0;;6.0;13.0;68.0
Vierpolders-G0621;0;;2.0;185;60.0;47.0;170.0;60.0;2.0;3.0;1.0;41.0
Vinkeveen en Waverveen-G0346;0;;1329.0;74;332.0;321.0;45.0;13.0;204.0;19.0;48.0;202.0
Vlaardingen-G0622;0;;2131.0;8524;3999.0;4341.0;1247.0;923.0;974.0;139.0;103.0;2380.0
Vlagtwedde-G0048;0;;1235.0;2399;1103.0;1551.0;613.0;659.0;9.0;137.0;15.0;1024.0
Vledder-G0132;0;;82.0;635;164.0;130.0;176.0;122.0;9.0;36.0;1.0;160.0
Vleuten-G1211;0;;999.0;183;251.0;428.0;47.0;22.0;31.0;12.0;15.0;110.0
Vlieland-G0096;0;;48.0;396;117.0;62.0;144.0;30.0;;13.0;6.0;
Vlijmen-G0864;0;;3433.0;113;25.0;25.0;11.0;26.0;2.0;14.0;55.0;281.0
Vlissingen-G0718;0;;1514.0;5168;1720.0;1464.0;926.0;678.0;216.0;336.0;94.0;458.0
Vlist-G0623;0;;47.0;37;74.0;27.0;19.0;;48.0;;3.0;20.0
Vlodrop-G0985;0;;705.0;25;5.0;;1.0;5.0;;2.0;8.0;44.0
