RegioNaam;@invalid;@blank;CDA;VVD;PvdA;GL;D66;SP;GPV_RPF;SGP;Nederland Mobiel;Gereformeerd Politiek Verbond (GPV);AOV/Senioren2000/Unie55+;Partij Nieuw Limburg;SGP-GPV-RPF;AOV/Unie55+;Onafhankelijken Zuid-Holland;FNP;Centrumdemocraten;Reformatorische Politieke Federatie (RPF);De Groenen/Noord-Holland Anders;SGP_RPF;Federatie Brabantse Onafhankelijke Fracties;Partij Nieuw Gelderland;GL/Delta Anders;Partij voor Zeeland;Onafhankelijke Partij Drenthe;AOV/Senioren2000;Ouderen Unie 55+;Leefbaar Gelderland/De Groenen;Samenwerkende Partij Ouderen Limburg_Unie55+;de Inwonerspartijen;Federatie Gemeentebelangen Friesland;Leefbaar Overijssel/De Groenen;Nieuwe Communistische Partij;Drentse Ouderenpartijen;de Groningers;Het Nederlands Blok;Natuurwetpartij;Lijst Linssen;Onafhankelijke Partij Provincie Groningen;Islamitische Partij Nederland;Gelovig Democratische Unie;@abs
Menterwolde-G1987;;5;601;775;2143;334.0;193;373.0;;;;126.0;66.0;;;;;;;;;68.0;;;;;;;;;;;;;41.0;;184.0;;;;15.0;;;4770
Meppel-G0119;;32;2318;2432;3219;956.0;745;;849.0;;;;;;;;;;;;;;;;;;576.0;;;;;;;;;192.0;;;;;;;;11181
Middelburg-G0687;;20;2989;2959;3008;;807;;1597.0;2081.0;;;334.0;;;;;;;;;;;;2303.0;737.0;;;;;;;;;;;;;;;;;;16560
Middelharnis-G0559;;8;834;1158;1113;273.0;225;87.0;878.0;1576.0;84.0;;;;;;17.0;;34.0;;;;;;;;;19.0;33.0;;;;;;;;;;;;;;;6183
Middenveld-G1697;;19;3479;2668;4153;1212.0;809;;573.0;;;;;;;;;;;;;;;;;;1271.0;;;;;;;;;151.0;;;;;;;;9984
Mierlo-G0814;;11;1433;619;292;202.0;264;318.0;;;;;42.0;;21.0;;;;;;;;672.0;;;;;;;;;;;;;;;;;;;;;3759
Mill en Sint Hubert-G0815;;11;2249;673;602;190.0;94;136.0;;;;;48.0;;16.0;;;;;;;;26.0;;;;;;;;;;;;;;;;;;;;;4430
Millingen aan de Rijn-G0265;;2;365;285;540;97.0;78;34.0;6.0;2.0;;;1.0;;;;;;11.0;;;;;85.0;;;;;;18.0;;;;;;;;;;;;;;3026
Moerdijk-G1709;;23;4358;3713;2473;1926.0;528;369.0;;;;;153.0;;635.0;;;;;;;;174.0;;;;;;;;;;;;;;;;;56.0;;;;13594
Monster-G0562;;35;2200;1906;647;249.0;294;90.0;402.0;404.0;32.0;;;;;;643.0;;42.0;;;;;;;;;33.0;37.0;;;;;;;;;;;;;;;8163
Montfoort-G0335;;5;1266;1353;603;471.0;282;84.0;431.0;440.0;80.0;;;;;19.0;;;;;;;;;;;;;;;;55.0;;;;;;25.0;;;;;;4647
Mook en Middelaar-G0944;;4;849;681;403;306.0;225;45.0;;;17.0;;;392.0;;;;;;;;;;;;;;5.0;;;14.0;;;;;;;;;;;;;2845
