RegioNaam;@invalid;@blank;RKSP;SDAP;ARP;CHU;Liberale Staatspartij (LSP);Vrijzinnig-Democratische Bond (VDB);Communistische Partij van Nederland;SGP;Revolutionair-Socialistische Partij (RSP);Plattelandersbond;Rooms-Katholieke Volkspartij (RKVP);Christelijk-Democratische Unie;HGSP;VNH;Onafhankelijk Socialistische Partij;Katholiek Democratische Bond;Algemeen Nederlandse Fascistenbond;Democratische Partij;Nationaal Verbond Plicht, Orde, Recht;Nederlandse Christelijke Arbeiderspartij;Limburgsche Federatie;Verbond van Nationalisten;Roomsch-Katholieke Arbeiderspartij (RKAP);Recht en Vrijheid;Marktkooplieden;Lijst Wolswinkel;Onafhankelijke Zakenlui;Nationaal-Socialistische Partij;Nederlandsche Fascisten Unie;Lijst Jacobs;RK Bouwvakarbeiders;Handeldrijvende Middenstand;Volkswelvaartspartij;Bond van Belastingbetalers;Lijst Eijking;Nieuwe Socialistische Partij;Lijst Engels;Hoofd- en handarbeiders;Nationaal Verbond voor Arbeidersbelangen;Lijst Bongers;Lijst De Wit;Voor Algemeen Welzijn;Zuiderzee Partij;Algemeene Nederlandse Huurdersbond;Oranjefascisten;Universeele Partij;Nationale Werkliedenpartij;Anti-crisis Partij;Proletarische Groep;Centrale Democratische Arbeiderspartij;Lijst Triesscheijn;Opbouw en Verbroedering;Algemeene Arbeidersbond;Lijst Groothuis;@abs
Waarder-G1217;0;7;7.0;6.0;171.0;71.0;6.0;2.0;;53.0;;24.0;1.0;24.0;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50.0
Waddinxveen-G0627;40;65;459.0;647.0;716.0;467.0;101.0;70.0;13.0;526.0;2.0;102.0;2.0;35.0;49.0;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;229.0
Wadenoijen-G1218;17;29;88.0;215.0;71.0;51.0;144.0;38.0;9.0;66.0;2.0;73.0;2.0;106.0;;;1.0;17.0;5.0;2.0;;;;1.0;;;;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;71.0
Wageningen-G0289;65;222;988.0;1662.0;832.0;982.0;424.0;306.0;278.0;417.0;10.0;14.0;10.0;37.0;46.0;45.0;7.0;9.0;11.0;21.0;39.0;5.0;;;11.0;8.0;;;;3.0;;;;;;5.0;;;;;;;;1.0;;;8.0;;;;;;;;;;418.0
Wamel-G0290;14;14;2486.0;45.0;6.0;102.0;23.0;2.0;6.0;41.0;;16.0;3.0;4.0;;2.0;;88.0;3.0;;2.0;;;1.0;;;;;;1.0;;;;;;;;7.0;;;;;;;;;;;;;;;;;;;194.0
Wanneperveen-G0187;7;9;3.0;91.0;145.0;303.0;28.0;57.0;2.0;26.0;2.0;48.0;2.0;29.0;5.0;;2.0;2.0;;13.0;;1.0;;1.0;;;;1.0;;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;17.0
Wanroij-G0868;0;3;677.0;;2.0;;1.0;;;1.0;;;3.0;;;;;2.0;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.0
Wanssum-G0987;0;2;383.0;;;;;;1.0;;;;;;;;;;;;;;2.0;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;11.0
Warder-G0455;1;1;;71.0;4.0;5.0;39.0;34.0;1.0;;;126.0;;4.0;;;;;;4.0;;;;;;;;;;;;;;;;;1.0;;;;;;1.0;;;;;;;;;;;;;;15.0
Warffum-G0049;7;19;;435.0;354.0;57.0;124.0;120.0;11.0;;3.0;6.0;;22.0;;1.0;7.0;;1.0;23.0;1.0;3.0;;3.0;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;72.0
Warmenhuizen-G0456;6;12;589.0;120.0;74.0;4.0;11.0;160.0;46.0;;4.0;14.0;8.0;2.0;;1.0;;1.0;;2.0;2.0;;;2.0;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;37.0
Warmond-G0628;3;29;808.0;56.0;127.0;132.0;50.0;4.0;2.0;18.0;1.0;;5.0;2.0;5.0;15.0;;5.0;1.0;1.0;2.0;2.0;;1.0;;;;1.0;;;;;;;;3.0;;;;;;;;;;;;;;;;;;;;;77.0
Warnsveld-G0291;22;52;202.0;445.0;425.0;428.0;254.0;65.0;11.0;3.0;1.0;12.0;7.0;14.0;2.0;16.0;17.0;2.0;4.0;10.0;2.0;3.0;;;2.0;;;1.0;;1.0;;;;;;1.0;;;;;;;;;;;2.0;;;;;;;;;;124.0
Waspik-G0869;8;8;1129.0;38.0;31.0;144.0;9.0;3.0;1.0;19.0;;2.0;11.0;;;;1.0;;3.0;1.0;;2.0;;1.0;;;;;;1.0;;;;;;;;;3.0;;;;;;;;;;;;;;;;;;343.0
Wassenaar-G0629;68;130;2214.0;483.0;888.0;697.0;1026.0;464.0;50.0;48.0;9.0;20.0;7.0;20.0;70.0;434.0;9.0;14.0;68.0;5.0;6.0;2.0;;1.0;2.0;;;;;;;;;;;17.0;;;;2.0;;;;;;;;;;;;;;;;;439.0
Wateringen-G0630;13;16;1365.0;63.0;96.0;169.0;13.0;7.0;3.0;4.0;;22.0;2.0;;82.0;6.0;;9.0;6.0;1.0;4.0;;;;11.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.0
Waterlandkerkje-G0722;5;7;83.0;35.0;21.0;12.0;40.0;10.0;1.0;30.0;1.0;1.0;;4.0;;;1.0;1.0;1.0;;;;;2.0;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18.0
