RegioNaam;@invalid;@blank;PvdA;VVD;CDA;KVP;Politieke Partij Radikalen (PPR);CHU;ARP;Communistische Partij van Nederland;BoerenPartij;SGP;PvdA/PPR/D'66;Gereformeerd Politiek Verbond (GPV);Democratisch Socialisten '70;Pacifistisch-Socialistische Partij (PSP);D66;FNP;SGP/NEV;Rooms Katholieke Partij Nederland;Lijst Meijer;Vrouw;Nieuwe Roomse Partij;Anti-Woningnood Aktie;@abs
Hunsel-G0925;23;0;122;174;1464;0;64;0;0;3;122;0;0;0;6;29;4;0;0;0;0;0;0;0;802
Idaarderadeel-G0078;32;0;2578;682;625;0;102;0;0;74;21;0;0;21;44;102;20;643;3;0;0;0;0;0;789
IJlst-G0102;7;0;296;111;597;0;21;0;0;5;4;0;0;28;6;2;6;159;2;0;0;0;0;0;206
IJsselham-G0195;5;0;651;393;0;265;63;786;135;12;94;9;0;80;9;8;9;0;0;0;0;0;0;0;685
IJsselmuiden-G0191;26;0;587;444;0;509;101;955;672;19;92;1853;0;256;20;14;6;0;0;0;0;0;0;0;982
IJsselstein-G0353;53;0;0;1132;0;1619;0;458;344;101;128;359;1898;39;80;68;0;0;0;51;0;0;0;3;1959
Ilpendam-G0407;10;0;466;332;414;0;112;0;0;230;61;0;0;11;28;27;15;0;12;9;0;0;0;0;420
Jabeek-G0927;10;0;55;19;237;0;43;0;0;10;8;0;0;0;0;0;2;0;0;4;0;0;0;0;98
Jisp-G0408;1;0;197;125;58;0;23;0;0;63;41;0;0;5;7;12;11;0;1;0;0;0;0;0;127
Kamerik-G0323;10;0;0;259;0;341;0;289;202;3;52;221;211;24;23;9;0;0;0;13;0;0;0;1;321
Kampen-G0166;70;0;4066;1718;0;1013;612;2418;2262;153;325;1645;0;1160;129;100;123;0;0;0;0;0;0;0;3583
Kantens-G0020;1;0;419;157;241;0;22;0;0;16;10;0;0;147;8;8;7;0;0;0;6;0;0;0;170
Kapelle-G0678;21;0;1024;743;0;78;227;982;466;16;288;374;0;122;34;23;25;0;0;0;0;0;0;0;1141
Katwijk-G0537;147;0;2799;3094;0;544;690;4195;1365;154;435;3488;0;381;260;109;111;0;0;9;0;0;0;0;6198
Katwoude-G0409;0;0;20;44;52;0;15;0;0;2;11;0;0;0;5;3;3;0;4;0;0;0;0;0;29
Kedichem-G0538;7;0;234;248;0;9;5;49;76;1;22;46;0;3;4;0;0;0;0;0;0;0;0;0;130
Kerkrade-G0928;492;0;4622;2204;9718;0;1586;0;0;1152;386;0;0;0;97;193;188;0;0;198;0;0;70;0;10515
Kerkwijk-G0257;24;0;567;320;0;47;37;270;403;17;88;842;0;60;18;16;11;0;0;0;0;0;0;0;868
Kessel-G0929;26;0;168;186;1135;0;29;0;0;8;73;0;0;0;9;10;4;0;0;0;0;0;0;0;583
Kesteren-G0258;25;0;1079;587;0;62;81;250;295;29;184;1256;0;58;37;29;20;0;0;0;0;0;0;0;985
Klaaswaal-G0539;2;0;628;315;0;38;49;184;163;19;31;123;0;31;17;34;39;0;0;0;0;0;0;0;509
Klimmen-G0930;15;0;230;303;960;0;311;0;0;21;53;0;0;0;11;21;6;0;0;36;0;0;8;0;570
