RegioNaam;@invalid;@blank;KVP;PvdA;ARP;CHU;VVD;Communistische Partij van Nederland;SGP;KNP;Gereformeerd Politiek Verbond (GPV);Socialistische Unie;Katholieke Democratische Lijst;Protestants-Christelijke Lijst;Middenstandspartij;Vrijzinnig-Democratische Bond (VDB);Katholieke Arbeiders Lijst;Bond van Wereldburgers;Lijst van Nunen;@abs
Graft-G0389;0;0;199;261;15;12;73;48;0;0.0;4;1;0;0;0;0;0;0;0;54
Gramsbergen-G0157;0;0;67;849;748;778;117;6;5;0.0;35;0;0;0;0;0;0;0;0;194
Grathem-G0909;0;0;912;9;0;0;0;0;0;0.0;0;0;0;2;0;0;0;0;0;51
Grave-G0786;0;0;1989;115;50;32;30;0;0;46.0;0;0;0;0;0;0;0;0;0;492
Grevenbicht-G0910;0;0;977;79;0;0;0;9;0;0.0;2;0;0;70;0;0;0;0;0;218
Grijpskerk-G0016;0;0;7;322;1152;158;216;6;0;0.0;110;0;0;0;16;0;0;0;0;76
Grijpskerke-G1067;0;0;0;14;284;128;1;1;51;0.0;5;0;0;0;0;0;0;0;0;23
Groede-G0667;0;0;196;459;69;160;325;1;12;0.0;3;0;0;0;0;0;5;0;0;145
Groenlo-G0240;0;0;2260;368;28;58;68;2;3;0.0;2;0;0;0;0;0;0;0;0;220
Groesbeek-G0241;0;0;4703;550;50;182;61;0;6;93.0;0;0;0;0;0;0;0;0;0;634
Groningen-G0014;0;0;6314;31941;8450;6422;8359;5763;0;0.0;3515;0;0;0;2999;0;0;0;0;10155
Gronsveld-G0911;0;0;1108;34;0;0;0;1;0;0.0;0;0;3;2;0;0;0;0;0;105
Groot-Ammers-G0520;0;0;15;171;317;23;195;4;171;1.0;7;0;0;0;0;0;0;0;0;120
Grootebroek-G0391;0;0;2094;181;7;4;39;44;0;22.0;1;0;0;0;0;0;0;0;0;84
Grootegast-G0015;0;0;13;873;2367;416;279;68;0;0.0;184;0;0;0;18;0;0;0;0;282
Grubbenvorst-G0912;0;0;1629;32;0;0;0;0;0;0.0;0;0;0;4;0;0;0;0;0;40
Gulpen-G0913;0;0;1528;142;0;0;0;1;0;0.0;0;0;25;8;0;0;0;0;0;161
Haaften-G0242;0;0;13;589;219;409;48;5;170;3.0;4;0;0;0;0;0;0;0;0;206
Haaksbergen-G0158;0;0;4220;1034;106;85;530;38;6;0.0;8;0;0;0;0;0;0;0;0;457
Haamstede-G1068;0;0;17;258;191;226;203;0;65;0.0;0;0;0;0;0;0;0;0;0;71
Haaren-G0788;0;0;1220;29;2;2;2;0;0;5.0;0;0;0;0;0;0;0;0;0;170
Haarlem-G0392;0;0;23745;33741;7160;4360;9727;7301;268;1845.0;302;191;0;0;0;0;0;0;0;10350
Haarlemmerliede en Spaarnwoude-G0393;0;0;1024;291;168;96;237;107;13;35.0;3;0;0;0;0;0;0;0;0;211
