RegioNaam;@invalid;@blank;KVP;PvdA;VVD;D66;ARP;CHU;Combinatie van Christelijke Partijen;Progressief Akkoord;Communistische Partij van Nederland;SGP;Boeren Partij;Politieke Partij Radikalen (PPR);Pacifistisch-Socialistische Partij (PSP);PvdA/PPR;Gereformeerd Politiek Verbond (GPV);Protestants-Christelijke Groepering;Binding Rechts;FNP;Lijst Koekoek;Christen-Democraten Unie;Lijst Steur;Lijst Volleman;Lijst Leferink;Lijst Kooiker;Verenigde Protestantse Partij;@abs
Scherpenzeel-G0279;16;0;67;647;321;121;281;690;0;0;10;339;51;22;22;0;34;0;37;0.0;0;0;0;0;0;0;3;706
Schiedam-G0606;297;0;6342;12681;3185;3131;2825;2425;0;0;1966;607;256;604;703;0;285;0;102;0.0;0;0;0;0;0;0;0;17906
Schiermonnikoog-G0088;7;0;0;0;50;49;0;0;177;117;13;0;11;0;0;0;8;0;0;2.0;0;0;0;0;0;1;0;103
Schijndel-G0844;98;0;3979;0;234;272;0;0;0;0;37;0;61;0;57;823;11;38;8;0.0;139;0;0;0;0;0;0;3031
Schimmert-G0961;17;0;0;65;63;56;0;0;784;0;8;0;24;54;10;0;0;0;10;0.0;0;0;0;0;0;0;0;528
Schinnen-G0962;55;0;0;123;78;142;0;0;1541;0;23;0;26;129;74;0;0;0;6;0.0;0;0;0;0;0;0;0;1193
Schinveld-G0963;47;0;0;60;37;32;0;0;440;0;26;0;8;1442;20;0;0;0;3;0.0;0;0;0;0;0;0;0;718
Schipluiden-G0607;13;0;1399;161;230;126;411;429;0;0;16;61;28;47;19;0;26;0;27;0.0;0;0;0;0;0;0;0;888
Schoondijke-G0706;17;0;111;346;200;19;163;77;0;0;7;25;22;88;0;0;0;0;0;0.0;0;1;0;0;0;0;0;270
Schoonebeek-G0129;27;0;941;0;145;62;461;636;0;681;63;0;63;0;0;0;11;0;12;0.0;0;0;0;0;0;0;0;972
Schoonhoven-G0608;17;0;476;852;373;236;589;281;0;0;36;221;20;51;20;0;30;0;14;0.0;0;0;0;0;0;0;0;1244
Schoonrewoerd-G0609;16;0;7;90;30;16;133;92;0;0;1;177;39;3;2;0;5;0;1;0.0;0;0;0;0;0;0;0;130
Schoorl-G0444;10;0;615;513;449;267;58;58;0;0;71;0;51;70;80;0;5;0;16;0.0;0;6;10;0;0;0;0;933
Sevenum-G0964;23;0;0;43;42;188;0;0;1740;0;5;0;35;59;6;0;0;0;3;0.0;0;0;0;0;0;0;0;942
's-Graveland-G0390;31;0;710;525;485;308;312;470;0;0;82;88;64;94;64;0;42;0;40;0.0;0;13;10;0;0;0;0;1338
's-Gravendeel-G0517;24;0;15;1046;219;73;554;530;0;0;23;266;46;9;17;0;24;0;0;0.0;0;0;0;0;0;0;0;908
's-Gravenhage-G0518;2094;0;33561;68068;47671;23321;18136;16707;0;0;8702;3632;2657;4286;5616;0;1418;0;2464;0.0;0;0;0;0;0;0;0;135719
's-Gravenmoer-G0787;8;0;51;0;35;21;0;0;0;0;5;20;8;0;3;35;9;566;5;0.0;6;0;0;0;0;0;0;220
's-Gravenzande-G0519;34;0;439;1142;764;268;1195;1181;0;0;16;356;62;40;27;0;53;0;159;0.0;0;0;0;0;0;0;0;1940
's-Hertogenbosch-G0796;407;0;14147;0;2521;3077;0;0;0;0;609;0;215;0;567;5194;157;1131;118;0.0;412;0;0;0;0;0;0;19093
Sijbekarspel-G0447;3;0;279;152;93;47;6;6;0;0;13;0;14;9;15;0;0;0;0;0.0;0;0;1;0;0;0;0;163
Simpelveld-G0965;63;0;0;210;116;173;0;0;1581;0;49;0;39;128;44;0;0;0;35;0.0;0;0;0;0;0;0;0;1218
Sint Annaland-G0708;17;0;11;248;138;18;171;92;0;0;0;494;38;0;0;0;0;0;0;0.0;0;21;0;0;0;0;0;606
Sint Geertruid-G0966;7;0;0;14;11;10;0;0;484;0;0;0;11;11;4;0;0;0;3;0.0;0;0;0;0;0;0;0;160
Sint Jansteen-G0709;21;0;471;83;65;28;12;15;0;0;8;5;98;461;0;0;1;0;0;0.0;0;1;0;193;0;0;0;818
Sint Maarten-G0445;10;0;156;144;95;53;118;4;0;0;18;0;31;2;29;0;5;0;4;0.0;0;0;9;0;0;0;0;174
Sint Maartensdijk-G0711;16;0;20;593;139;43;38;144;0;0;0;448;33;0;0;0;0;0;0;0.0;0;3;0;0;0;0;0;423
Sint Odiliënberg-G0967;26;0;0;70;57;58;0;0;606;0;4;0;22;27;8;0;0;0;3;0.0;0;0;0;0;0;0;0;607
Sint Pancras-G0446;7;0;48;225;164;62;185;167;0;0;24;11;39;15;20;0;29;0;3;0.0;0;2;9;0;0;0;0;398
Sint Philipsland-G0712;6;0;5;126;67;5;132;143;0;0;0;617;19;2;0;0;0;0;0;0.0;0;3;0;0;0;0;0;249
Sint-Michielsgestel-G0845;39;0;2223;0;321;329;0;0;0;0;43;0;39;0;40;384;11;97;14;0.0;84;0;0;0;0;0;0;2214
Sint-Oedenrode-G0846;53;0;3997;0;201;272;0;0;0;0;42;5;26;0;47;527;5;65;5;0.0;63;0;0;0;0;0;0;1814
Sittard-G0968;207;0;0;1140;729;880;0;0;7341;0;194;0;96;507;516;0;0;0;20;0.0;0;0;0;0;0;0;0;7720
Sleen-G0130;34;0;32;0;704;106;513;350;0;1718;262;0;63;0;0;0;20;0;9;0.0;0;0;0;0;0;0;0;937
Slenaken-G0969;3;0;0;14;5;9;0;0;151;0;2;0;3;7;2;0;0;0;35;0.0;0;0;0;0;0;0;0;194
Sliedrecht-G0610;88;0;124;3508;771;543;965;968;0;0;188;1740;72;43;98;0;89;0;28;0.0;0;0;0;0;0;0;0;3434
Slochteren-G0040;83;0;57;2132;935;194;837;557;0;0;538;0;239;9;149;0;626;0;40;0.0;0;0;0;0;0;0;0;2056
Sloten (F)-G0089;2;0;0;0;19;1;0;0;234;50;4;4;7;0;0;0;6;0;2;24.0;0;0;0;0;0;0;0;92
Sluis-G0713;17;0;481;246;193;44;23;81;0;0;8;3;30;53;0;0;0;0;0;0.0;0;34;0;0;0;0;0;525
Smallingerland-G0090;189;0;0;0;1134;885;0;0;6671;5908;1015;234;211;0;0;0;840;0;66;415.0;0;0;0;0;0;28;0;4271
Smilde-G0131;21;0;14;0;280;121;1012;747;0;1094;54;0;68;0;0;0;89;0;13;0.0;0;0;0;0;0;0;0;803
Sneek-G0091;135;0;0;0;983;634;0;0;5192;3572;635;106;90;0;0;0;102;0;42;642.0;0;0;0;0;0;0;0;3728
Snelrewaard-G0341;0;0;165;0;13;7;34;43;0;7;0;19;7;0;0;0;1;0;1;0.0;0;0;0;0;0;0;0;94
Soest-G0342;166;0;3130;0;3368;1311;1628;1091;0;2533;200;268;249;0;0;0;130;0;299;0.0;0;0;0;0;0;0;0;7149
