RegioNaam;@invalid;@blank;CDA;VVD;PvdA;D66;SGP;Communistische Partij van Nederland;Pacifistisch-Socialistische Partij (PSP);Politieke Partij Radikalen (PPR);PSP/CPN/PPR;PvdA/PPR;RPF/GPV;PSP/CPN;RFP;Gereformeerd Politiek Verbond (GPV);SP;RPF/SGP;PPR/PSP;Fryske Nasjonale Partij;SGP-GPV-RPF;Verontruste Provinciale Statengroep;Evangelische Volkspartij;RVP;Federoalistische Partij Gronneger Bond;GOD MET ONS;Lijst Heezen;Lijst Mormon;@abs
Klundert-G0804;16;9;1599;602;382;196;0;16;37;43;0;0;0;0;0;0;5;0.0;0;0;363;0;0;0;0;0;0;0;1278
Kockengen-G0324;1;7;793;285;0;113;185;9;31;0;0;108;142;0;0;0;4;0.0;0;0;0;0;0;0;0;0;0;0;361
Kollumerland en Nieuwkruisland-G0079;20;8;3671;753;948;212;0;52;0;0;0;0;0;0;0;106;0;443.0;143;242;0;0;116;0;0;0;0;0;1669
Kortgene-G0682;2;2;523;471;649;123;159;0;0;47;0;0;29;28;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;574
Koudekerk aan den Rijn-G0540;14;1;860;598;313;214;67;0;0;0;141;0;39;0;0;0;3;0.0;0;0;0;0;0;0;0;0;0;0;782
Krimpen aan de Lek-G0541;14;15;514;660;1059;297;311;0;0;0;100;0;66;0;0;0;34;0.0;0;0;0;0;0;0;0;0;0;0;1252
Krimpen aan den IJssel-G0542;60;25;2238;3658;3320;1253;1778;0;0;0;637;0;503;0;0;0;164;0.0;0;0;0;0;0;0;0;0;0;0;5139
Landgraaf-G0882;197;26;6845;2245;3018;884;0;406;302;724;0;0;0;0;0;0;199;67.0;0;0;0;0;0;0;0;191;0;0;13035
Landsmeer-G0415;38;0;650;1353;1286;562;0;439;222;178;0;0;0;0;0;5;0;63.0;0;0;0;0;0;8;0;0;0;0;1317
Langbroek-G0325;1;2;424;209;0;57;218;10;16;0;0;138;49;0;0;0;1;0.0;0;0;0;0;0;0;0;0;0;0;272
Langedijk-G0416;69;7;2435;1525;944;570;0;504;225;110;0;0;0;0;0;47;11;164.0;0;0;0;0;0;19;0;0;0;0;2321
Langerak-G0543;9;0;255;164;168;72;142;0;0;0;15;0;177;0;0;0;1;0.0;0;0;0;0;0;0;0;0;0;0;247
Laren-G0417;0;7;2029;2949;892;632;0;94;243;183;0;0;0;0;0;21;10;54.0;0;0;0;0;0;12;0;0;0;0;2500
Leek-G0022;32;25;2405;1688;2177;681;0;177;202;167;0;0;0;0;172;622;9;0.0;0;0;0;454;0;0;25;0;0;0;2490
Leende-G0805;5;20;1302;575;96;107;0;2;16;23;0;0;0;0;0;0;4;0.0;0;0;14;0;0;0;0;0;0;0;590
Leens-G0023;12;2;644;312;493;90;0;84;69;50;0;0;0;0;26;294;2;0.0;0;0;0;18;0;0;13;0;0;0;499
Leerbroek-G0544;2;0;214;84;39;30;253;0;0;0;6;0;56;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;144
Leerdam-G0545;15;33;1879;1376;1869;652;742;0;0;0;228;0;614;0;0;0;13;0.0;0;0;0;0;0;0;0;0;0;0;2975
Leersum-G0326;10;10;971;1333;0;296;267;28;64;0;0;612;115;0;0;0;7;0.0;0;0;0;0;0;0;0;0;0;0;837
Leeuwarden-G0080;193;89;11362;7266;16714;2909;0;1081;0;0;0;0;0;0;0;625;0;802.0;2699;1632;0;0;473;0;0;0;0;0;17287
Leeuwarderadeel-G0081;6;3;1437;737;1588;365;0;46;0;0;0;0;0;0;0;39;0;87.0;157;460;0;0;55;0;0;0;0;0;933
Leiden-G0546;329;212;10394;12026;14204;5413;516;0;0;0;6555;0;729;0;0;0;583;0.0;0;0;0;0;0;0;0;0;0;0;27164
Leiderdorp-G0547;44;36;2969;3745;1625;1281;131;0;0;0;752;0;164;0;0;0;50;0.0;0;0;0;0;0;0;0;0;0;0;3829
Leidschendam-G0548;85;39;5750;5109;2288;1769;79;0;0;0;768;0;204;0;0;0;193;0.0;0;0;0;0;0;0;0;0;0;0;5730
Leimuiden-G0549;19;2;1077;628;169;150;22;0;0;0;82;0;26;0;0;0;3;0.0;0;0;0;0;0;0;0;0;0;0;836
Lekkerkerk-G0550;4;30;619;1163;1336;429;411;0;0;0;168;0;75;0;0;0;10;0.0;0;0;0;0;0;0;0;0;0;0;1017
Lemsterland-G0082;22;6;1915;772;1328;443;0;364;0;0;0;0;0;0;0;16;0;220.0;103;166;0;0;45;0;0;0;0;0;1913
Leusden-G0327;27;29;3882;3607;0;1068;273;69;278;0;0;1596;534;0;0;0;22;0.0;0;0;0;0;0;0;0;0;0;0;2955
Lexmond-G0551;6;6;512;246;291;77;249;0;0;0;38;0;88;0;0;0;3;0.0;0;0;0;0;0;0;0;0;0;0;253
Lichtenvoorde-G0260;29;10;5794;969;745;610;3;0;0;182;0;0;0;197;13;7;17;0.0;0;0;0;0;0;0;0;0;0;0;3185
Liempde-G0806;19;5;1297;234;252;137;0;5;24;30;0;0;0;0;0;0;15;0.0;0;0;6;0;0;0;0;0;0;0;734
Lienden-G0261;7;10;660;769;1167;158;375;0;0;28;0;0;0;65;62;4;3;0.0;0;0;0;0;0;0;0;0;0;0;1150
Lieshout-G0807;11;4;1657;344;300;228;0;47;39;57;0;0;0;0;0;0;8;0.0;0;0;5;0;0;0;0;0;0;0;1082
Limmen-G0418;2;15;1205;644;285;202;0;85;73;56;0;0;0;0;0;4;0;8.0;0;0;0;0;0;50;0;0;0;0;761
Linne-G0932;10;27;984;392;262;112;0;10;39;24;0;0;0;0;0;0;3;3.0;0;0;0;0;0;0;0;8;0;0;915
Linschoten-G0328;3;9;808;494;0;173;235;8;35;0;0;203;110;0;0;0;9;0.0;0;0;0;0;0;0;0;0;0;0;559
Lisse-G0553;42;20;4143;2672;1047;785;603;0;0;0;507;0;285;0;0;0;14;0.0;0;0;0;0;0;0;0;0;0;0;3426
Lith-G0808;16;7;1531;447;271;146;0;6;25;29;0;0;0;0;0;0;57;0.0;0;0;4;0;0;0;0;0;0;0;1448
Lochem-G0262;43;28;2558;3121;2354;1215;13;0;0;243;0;0;0;382;83;20;39;0.0;0;0;0;0;0;0;0;0;0;0;2951
Loenen-G0329;19;10;1097;1234;0;357;134;44;84;0;0;622;135;0;0;0;7;0.0;0;0;0;0;0;0;0;0;0;0;1193
Loon op Zand-G0809;57;44;4595;1926;1301;579;0;81;153;238;0;0;0;0;0;0;11;0.0;0;0;147;0;0;0;0;0;0;0;4431
Loosdrecht-G0330;27;1;1323;2042;0;424;117;52;157;0;0;534;88;0;0;0;7;0.0;0;0;0;0;0;0;0;0;0;0;1390
Lopik-G0331;17;13;1688;670;0;263;417;29;41;0;0;535;155;0;0;0;5;0.0;0;0;0;0;0;0;0;0;0;0;1311
Loppersum-G0024;3;4;813;347;581;149;0;36;51;39;0;0;0;0;71;144;2;0.0;0;0;0;17;0;0;34;0;0;0;459
Losser-G0168;67;42;6530;1411;1686;713;19;0;0;345;0;0;0;287;32;18;37;0.0;0;0;0;0;0;0;0;0;0;0;4034
Luyksgestel-G0810;10;1;772;168;98;88;0;4;15;13;0;0;0;0;0;0;4;0.0;0;0;2;0;0;0;0;0;0;0;567
Maarheeze-G0811;20;2;2338;884;327;259;0;25;50;43;0;0;0;0;0;0;9;0.0;0;0;14;0;0;0;0;0;0;0;1904
Maarn-G0332;16;4;924;1426;0;379;177;24;81;0;0;507;56;0;0;0;2;0.0;0;0;0;0;0;0;0;0;0;0;600
Maarssen-G0333;69;27;3768;4734;0;1772;202;210;478;0;0;3067;407;0;0;0;90;0.0;0;0;0;0;0;0;0;0;0;0;6429
Maartensdijk-G0334;12;13;1376;1468;0;500;594;48;120;0;0;626;273;0;0;0;13;0.0;0;0;0;0;0;0;0;0;0;0;1424
Maasbracht-G0933;23;30;1752;686;588;199;0;14;64;38;0;0;0;0;0;0;11;60.0;0;0;0;0;0;0;0;17;0;0;2223
Maasbree-G0934;12;16;3169;932;341;339;0;24;89;80;0;0;0;0;0;0;16;10.0;0;0;0;0;0;0;0;0;0;0;2387
Maasdam-G0554;13;3;334;547;439;153;205;0;0;0;39;0;25;0;0;0;2;0.0;0;0;0;0;0;0;0;0;0;0;479
Maasdriel-G0263;12;9;2352;754;385;220;16;0;0;39;0;0;0;42;8;2;64;0.0;0;0;0;0;0;0;0;0;0;0;1828
Maasland-G0555;5;10;1630;927;222;233;44;0;0;0;83;0;131;0;0;0;6;0.0;0;0;0;0;0;0;0;0;0;0;681
Maassluis-G0556;36;29;4123;3793;3275;1555;244;0;0;0;864;0;528;0;0;0;92;0.0;0;0;0;0;0;0;0;0;0;0;7675
Maastricht-G0935;272;197;17648;8355;11991;3668;0;990;1445;1287;0;0;0;0;0;0;226;254.0;0;0;0;0;0;0;0;0;0;0;37289
Made en Drimmelen-G0812;36;26;2723;876;1038;497;0;40;75;99;0;0;0;0;0;0;11;0.0;0;0;30;0;0;0;0;0;0;0;2764
Margraten-G0936;16;36;3663;1333;759;392;0;37;149;105;0;0;0;0;0;0;14;0.0;0;0;0;0;0;0;0;54;0;0;2575
Mariekerke-G0686;4;1;630;233;76;55;752;0;0;39;0;0;107;19;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;268
Markelo-G0169;12;26;1095;1426;996;422;40;0;0;36;0;0;0;41;32;2;8;0.0;0;0;0;0;0;0;0;0;0;0;983
Marken-G0419;7;0;724;161;231;66;0;10;20;19;0;0;0;0;0;2;1;30.0;0;0;0;0;0;0;0;0;0;0;269
Marum-G0025;16;20;1390;921;1211;291;0;123;90;75;0;0;0;0;122;115;7;0.0;0;0;0;142;0;0;11;0;0;0;1429
Maurik-G0264;10;5;748;732;1210;209;77;0;0;47;0;0;0;38;37;11;2;0.0;0;0;0;0;0;0;0;0;0;0;973
Medemblik-G0420;23;16;1168;642;624;239;0;247;68;54;0;0;0;0;0;15;6;93.0;0;0;0;0;0;17;0;0;0;0;1354
Meeden-G0026;2;9;233;130;459;63;0;47;28;21;0;0;0;0;26;27;7;0.0;0;0;0;11;0;0;17;0;0;0;221
Meerkerk-G0557;10;0;555;394;317;124;171;0;0;0;39;0;80;0;0;0;1;0.0;0;0;0;0;0;0;0;0;0;0;414
