RegioNaam;@invalid;@blank;CDA;PvdA;VVD;D66;SGP;Politieke Partij Radikalen (PPR);Pacifistisch-Socialistische Partij (PSP);Gereformeerd Politiek Verbond (GPV);Reformatorische Politieke Federatie (RPF);Communistische Partij van Nederland;CP;SP;Evangelische Volkspartij;Federatie Groenen;Partij voor de Middengroepen;Loesje;Centrumdemocraten;VCN: partij van communisten in Nederland;Partij voor Ambtenaren en Trendvolgers;Anti Revolutionairen '85;Socialistische Arbeiderspartij;God Met Ons;Partij Algemeen Belang;Partij Geluk voor Iedereen;Lijst Wissink;Humanistische Partij;Lijst Brummer;@abs
Diemen-G0384;34;;2531;3716;2650;1083;13.0;165.0;220.0;47.0;40.0;148.0;131.0;24.0;18.0;35.0;40.0;11.0;55.0;9.0;;3.0;3.0;;3.0;;;;;2013.0
Diepenheim-G0151;1;;502;721;515;107;6.0;9.0;8.0;3.0;4.0;3.0;2.0;4.0;2.0;4.0;4.0;4.0;;2.0;;;1.0;;;;0.0;;;105.0
Diepenveen-G0152;16;;3432;1679;1590;448;9.0;88.0;28.0;17.0;23.0;16.0;7.0;3.0;17.0;11.0;4.0;7.0;1.0;;;1.0;1.0;;;;0.0;;;550.0
Diessen-G0763;11;;1668;361;255;73;;30.0;10.0;2.0;3.0;4.0;3.0;1.0;2.0;2.0;3.0;7.0;1.0;;;;2.0;0.0;;;0.0;;;215.0
Diever-G0111;4;;663;1002;622;117;1.0;35.0;29.0;31.0;6.0;5.0;;2.0;8.0;2.0;5.0;1.0;5.0;1.0;;2.0;;;;;;;;58.0
Dinteloord en Prinsenland-G0764;7;;1278;1249;566;137;240.0;17.0;22.0;9.0;83.0;3.0;11.0;;4.0;4.0;6.0;4.0;;2.0;;1.0;;0.0;;1.0;0.0;;;490.0
Dinxperlo-G0219;31;;2594;1323;521;148;3.0;32.0;20.0;9.0;55.0;7.0;3.0;1.0;9.0;2.0;;2.0;2.0;;;1.0;2.0;0.0;;2.0;0.0;;;800.0
Dirksland-G0504;23;;1222;1235;584;151;1151.0;24.0;13.0;34.0;109.0;13.0;10.0;3.0;8.0;2.0;7.0;2.0;;;;7.0;4.0;;3.0;;;;;614.0
Dodewaard-G0220;7;;821;990;318;75;266.0;15.0;16.0;10.0;59.0;3.0;5.0;1.0;2.0;1.0;2.0;4.0;1.0;;;3.0;;0.0;;;0.0;;;250.0
Doesburg-G0221;26;;2037;3006;910;313;16.0;58.0;39.0;46.0;20.0;15.0;10.0;92.0;14.0;7.0;6.0;11.0;2.0;;;;4.0;6.0;;2.0;2.0;;;858.0
Doetinchem-G0222;90;;8646;10126;4170;1454;203.0;377.0;294.0;74.0;137.0;44.0;52.0;31.0;69.0;37.0;20.0;42.0;15.0;1.0;;2.0;2.0;3.0;1.0;3.0;15.0;;;3819.0
Domburg-G0660;6;;1002;605;712;145;269.0;24.0;25.0;29.0;57.0;4.0;1.0;1.0;12.0;6.0;3.0;7.0;6.0;;;2.0;1.0;;1.0;;;;;13.0
Dongen-G0766;6;;5077;3468;2249;971;19.0;99.0;226.0;16.0;28.0;32.0;21.0;361.0;16.0;14.0;15.0;4.0;7.0;3.0;;5.0;10.0;66.0;2.0;8.0;0.0;;;2185.0
Dongeradeel-G0058;40;;8937;3758;1365;524;144.0;146.0;49.0;345.0;383.0;44.0;5.0;13.0;115.0;10.0;12.0;27.0;7.0;1.0;;26.0;5.0;;2.0;;;;;1650.0
Doorn-G0315;13;;2172;1301;2468;504;253.0;91.0;80.0;51.0;73.0;10.0;10.0;3.0;24.0;27.0;6.0;7.0;5.0;2.0;;3.0;1.0;;;;1.0;3.0;;883.0
Dordrecht-G0505;213;;15835;27401;10964;4076;1747.0;684.0;854.0;492.0;900.0;342.0;384.0;164.0;207.0;101.0;111.0;109.0;86.0;25.0;;41.0;31.0;;15.0;;;;;13922.0
Drechterland-G0498;13;;2686;1024;1057;252;2.0;77.0;70.0;16.0;25.0;42.0;17.0;5.0;10.0;20.0;7.0;7.0;5.0;;;;3.0;;;;;;;608.0
Driebergen-Rijsenburg-G0316;32;;3908;2547;3123;845;485.0;223.0;117.0;148.0;142.0;32.0;32.0;8.0;66.0;129.0;19.0;11.0;4.0;1.0;;5.0;2.0;;;4.0;0.0;;;1375.0
Driebruggen-G0506;5;;1416;282;464;103;303.0;16.0;13.0;10.0;58.0;2.0;6.0;2.0;4.0;2.0;2.0;2.0;1.0;;3.0;;1.0;;;;;;;186.0
Dronten-G0303;31;;5486;3062;2861;808;126.0;251.0;64.0;342.0;297.0;47.0;37.0;12.0;56.0;15.0;38.0;26.0;6.0;7.0;;4.0;2.0;;4.0;;;;;1453.0
Drunen-G0767;23;;5035;2462;1632;558;14.0;95.0;67.0;12.0;18.0;24.0;27.0;19.0;6.0;26.0;14.0;21.0;14.0;;;3.0;3.0;4.0;4.0;;0.0;;;1445.0
Druten-G0225;17;;3855;3337;893;384;8.0;79.0;68.0;11.0;4.0;14.0;15.0;19.0;4.0;11.0;12.0;13.0;3.0;3.0;;2.0;5.0;2.0;;;2.0;;;1475.0
Duiveland-G0662;8;;792;907;578;118;855.0;8.0;14.0;30.0;95.0;8.0;6.0;2.0;9.0;3.0;10.0;3.0;1.0;;;;;;;;;;;326.0
Duiven-G0226;19;;3760;1990;1187;469;4.0;96.0;46.0;20.0;13.0;6.0;8.0;3.0;17.0;10.0;15.0;12.0;9.0;;;;2.0;0.0;;1.0;1.0;;;822.0
Dussen-G0769;8;;1951;1004;485;174;105.0;21.0;22.0;19.0;43.0;7.0;12.0;2.0;9.0;2.0;4.0;5.0;2.0;1.0;;;1.0;4.0;;;1.0;;;454.0
Dwingeloo-G0112;16;;638;1114;709;119;6.0;41.0;24.0;14.0;13.0;6.0;;1.0;9.0;10.0;10.0;3.0;1.0;;;1.0;;;;;;;;68.0
Echt-G0902;82;;5203;4079;1055;368;1.0;81.0;106.0;9.0;10.0;35.0;34.0;6.0;5.0;14.0;27.0;5.0;;2.0;36.0;4.0;4.0;52.0;6.0;;0.0;;;1865.0
Echteld-G0227;13;;1047;1583;719;117;504.0;22.0;12.0;34.0;84.0;3.0;4.0;4.0;1.0;4.0;2.0;3.0;1.0;;;2.0;1.0;0.0;;;0.0;;;347.0
Edam-Volendam-G0385;35;;8758;2658;2508;676;7.0;142.0;75.0;14.0;21.0;58.0;45.0;2.0;22.0;28.0;39.0;13.0;9.0;;;1.0;4.0;;7.0;;;;;1743.0
Ede-G0228;121;;22059;10212;11193;2629;6052.0;765.0;257.0;610.0;1321.0;90.0;119.0;98.0;228.0;83.0;60.0;36.0;58.0;10.0;;18.0;13.0;;;21.0;4.0;16.0;;7398.0
Eelde-G0113;16;;1356;2695;2295;712;6.0;80.0;55.0;22.0;22.0;17.0;;11.0;18.0;12.0;18.0;4.0;29.0;;;1.0;2.0;;;;;;;600.0
Eemnes-G0317;19;;1870;925;1190;329;41.0;51.0;48.0;20.0;45.0;10.0;5.0;4.0;10.0;11.0;15.0;1.0;1.0;4.0;;;2.0;;;1.0;1.0;1.0;;386.0
Eenrum-G0011;5;;202;930;296;82;1.0;39.0;14.0;61.0;5.0;2.0;;3.0;5.0;3.0;;;;;;;;;;1.0;;;;147.0
Eersel-G0770;23;;4315;1355;1118;407;4.0;122.0;91.0;13.0;13.0;19.0;6.0;7.0;9.0;9.0;12.0;15.0;1.0;;;;;19.0;1.0;;0.0;;;974.0
Egmond-G0357;21;;2927;2250;1511;392;2.0;78.0;80.0;8.0;20.0;59.0;27.0;4.0;12.0;22.0;20.0;15.0;11.0;4.0;;15.0;;;3.0;;;;;813.0
Eibergen-G0229;22;;5711;3123;1257;416;3.0;100.0;75.0;26.0;26.0;23.0;9.0;22.0;23.0;4.0;8.0;9.0;;2.0;;3.0;;2.0;;;1.0;;;846.0
Eijsden-G0905;26;;3484;2006;1073;276;2.0;60.0;57.0;9.0;6.0;10.0;17.0;2.0;3.0;14.0;9.0;6.0;;;22.0;1.0;3.0;20.0;1.0;;1.0;;;1052.0
Eindhoven-G0772;239;;40953;39432;20146;7969;213.0;1873.0;2318.0;363.0;464.0;605.0;357.0;762.0;235.0;266.0;134.0;225.0;111.0;50.0;;34.0;103.0;217.0;22.0;;12.0;;;28557.0
Elburg-G0230;29;;5082;1764;1936;414;1995.0;68.0;42.0;240.0;739.0;22.0;21.0;3.0;52.0;9.0;9.0;12.0;8.0;;;5.0;;;;6.0;0.0;3.0;;1340.0
Elst-G0231;2;;4645;3052;1952;719;50.0;126.0;162.0;21.0;32.0;24.0;10.0;32.0;8.0;15.0;11.0;9.0;3.0;1.0;;4.0;11.0;3.0;1.0;3.0;2.0;;;1733.0
Emmen-G0114;146;;17143;32341;5546;2416;63.0;557.0;360.0;513.0;740.0;302.0;;334.0;152.0;68.0;86.0;61.0;67.0;12.0;;27.0;29.0;;15.0;;;;;7187.0
Enkhuizen-G0388;17;;3216;3652;1508;652;167.0;96.0;155.0;49.0;142.0;108.0;21.0;14.0;28.0;27.0;9.0;24.0;11.0;4.0;;2.0;3.0;;3.0;;;;;1456.0
Enschede-G0153;37;;22157;40114;13908;5206;228.0;1072.0;1024.0;2127.0;692.0;672.0;125.0;779.0;319.0;89.0;194.0;123.0;58.0;63.0;;61.0;40.0;;;;20.0;;;16332.0
Epe-G0232;63;;7407;7174;4651;1193;689.0;162.0;131.0;119.0;375.0;35.0;30.0;7.0;43.0;30.0;22.0;24.0;16.0;1.0;;16.0;4.0;;;3.0;2.0;2.0;;2483.0
Ermelo-G0233;29;;7558;1893;3408;680;688.0;243.0;69.0;488.0;495.0;28.0;38.0;20.0;59.0;21.0;12.0;14.0;5.0;1.0;;8.0;4.0;;;6.0;2.0;3.0;;2111.0
Erp-G0775;10;;2812;619;319;101;;12.0;22.0;;2.0;6.0;10.0;14.0;3.0;2.0;1.0;5.0;;;;;;3.0;1.0;;1.0;;;285.0
Esch-G0776;2;;791;262;119;43;;11.0;5.0;1.0;1.0;1.0;1.0;2.0;4.0;2.0;2.0;;;;;1.0;;2.0;;;0.0;;;143.0
Etten-Leur-G0777;50;;7499;6173;2990;1287;13.0;208.0;155.0;17.0;36.0;51.0;43.0;25.0;19.0;19.0;19.0;17.0;13.0;1.0;;2.0;4.0;4.0;3.0;6.0;2.0;;;3664.0
Ezinge-G0012;3;;345;520;208;72;2.0;28.0;20.0;20.0;6.0;12.0;;2.0;4.0;7.0;;7.0;;;;;;;;;;;;83.0
Ferwerderadeel-G0068;16;;3002;1408;672;209;17.0;42.0;30.0;257.0;63.0;7.0;7.0;10.0;34.0;1.0;8.0;6.0;1.0;2.0;;7.0;1.0;;2.0;;;;;583.0
Fijnaart en Heijningen-G0778;22;;1646;1440;554;192;30.0;28.0;24.0;6.0;35.0;6.0;11.0;5.0;11.0;6.0;8.0;2.0;1.0;1.0;;2.0;4.0;1.0;1.0;1.0;1.0;;;544.0
Finsterwolde-G0013;14;;91;1129;150;27;;2.0;11.0;6.0;10.0;418.0;;2.0;1.0;;4.0;2.0;;18.0;;;1.0;;1.0;;;;;166.0
Franekeradeel-G0070;34;;5181;4720;1796;666;24.0;130.0;102.0;148.0;200.0;32.0;13.0;16.0;76.0;12.0;20.0;20.0;4.0;2.0;;8.0;2.0;;28.0;;;;;1738.0
Gaasterlân-Sleat-G0653;22;;3283;1194;758;259;142.0;67.0;23.0;34.0;135.0;6.0;1.0;10.0;23.0;8.0;5.0;10.0;2.0;1.0;;6.0;;;1.0;;;;;
Gasselte-G0115;6;;477;1626;524;132;7.0;17.0;25.0;15.0;9.0;24.0;;3.0;3.0;4.0;4.0;2.0;4.0;1.0;;;;;1.0;;;;;234.0
Geertruidenberg-G0779;8;;1519;1597;517;287;6.0;36.0;26.0;;9.0;5.0;10.0;8.0;5.0;11.0;8.0;9.0;3.0;;;1.0;1.0;1.0;1.0;1.0;1.0;;;737.0
Geffen-G0780;17;;1706;751;261;94;;22.0;18.0;1.0;6.0;2.0;13.0;62.0;1.0;2.0;8.0;5.0;3.0;;;2.0;2.0;1.0;;;0.0;;;417.0
Geldermalsen-G0236;50;;4737;4273;2834;597;995.0;105.0;75.0;53.0;84.0;29.0;38.0;8.0;25.0;14.0;35.0;15.0;10.0;1.0;;1.0;1.0;2.0;2.0;3.0;5.0;;;1482.0
Geldrop-G0781;30;;7172;4410;2621;1187;9.0;291.0;110.0;24.0;63.0;38.0;44.0;57.0;33.0;39.0;28.0;19.0;16.0;5.0;;1.0;10.0;18.0;9.0;;0.0;;;2811.0
Geleen-G0906;79;;8866;8508;2128;860;8.0;145.0;315.0;31.0;32.0;55.0;93.0;51.0;22.0;32.0;15.0;34.0;;3.0;276.0;1.0;1.0;49.0;2.0;;6.0;;;4719.0
Gemert-G0782;36;;5328;3299;1064;448;5.0;102.0;110.0;15.0;5.0;35.0;22.0;47.0;6.0;6.0;17.0;11.0;2.0;;;1.0;1.0;1.0;5.0;;0.0;;;1764.0
Gendringen-G0237;46;;6972;3656;1127;531;14.0;81.0;83.0;15.0;45.0;20.0;22.0;16.0;6.0;10.0;8.0;15.0;6.0;;;2.0;1.0;2.0;3.0;2.0;6.0;;;1640.0
Gendt-G0238;20;;2307;1391;411;221;3.0;27.0;22.0;1.0;2.0;4.0;5.0;5.0;1.0;5.0;4.0;4.0;1.0;;;;2.0;1.0;;;1.0;;;591.0
Genemuiden-G0154;10;;1317;722;307;83;1155.0;4.0;6.0;46.0;453.0;2.0;4.0;3.0;3.0;2.0;2.0;1.0;1.0;;;1.0;3.0;;;;1.0;;;562.0
Gennep-G0907;35;;4490;2701;1033;745;2.0;107.0;119.0;14.0;9.0;21.0;17.0;23.0;7.0;10.0;6.0;9.0;;;7.0;2.0;3.0;15.0;3.0;;0.0;;;2283.0
Giessenlanden-G0689;27;;2983;2563;2011;437;481.0;58.0;28.0;84.0;401.0;13.0;10.0;4.0;41.0;17.0;12.0;13.0;3.0;2.0;;6.0;1.0;;6.0;;;;;698.0
Gieten-G0116;17;;586;1941;1013;229;1.0;36.0;29.0;17.0;12.0;6.0;;5.0;7.0;2.0;6.0;6.0;2.0;;;1.0;1.0;;1.0;;;;;385.0
Gilze en Rijen-G0784;49;;6406;3934;2025;926;9.0;88.0;91.0;11.0;23.0;25.0;42.0;49.0;22.0;19.0;24.0;26.0;11.0;2.0;;;2.0;5.0;2.0;12.0;4.0;;;1692.0
Goedereede-G0511;23;;1988;1404;970;169;2013.0;42.0;23.0;49.0;201.0;8.0;11.0;6.0;20.0;6.0;12.0;3.0;1.0;;;9.0;;;2.0;;;;;604.0
Goes-G0664;60;;6601;6125;3484;1211;1432.0;324.0;154.0;232.0;238.0;48.0;30.0;24.0;91.0;28.0;37.0;46.0;19.0;1.0;;14.0;12.0;;7.0;;;;;3371.0
Goirle-G0785;23;;4684;3358;1775;721;4.0;109.0;171.0;17.0;12.0;30.0;11.0;23.0;16.0;21.0;31.0;21.0;9.0;2.0;;2.0;3.0;3.0;1.0;1.0;3.0;;;1716.0
Goor-G0156;22;;2595;3281;1356;507;5.0;53.0;41.0;43.0;29.0;19.0;16.0;10.0;24.0;7.0;8.0;7.0;3.0;3.0;;;3.0;;;;1.0;;;718.0
Gorinchem-G0512;68;;4152;7654;2780;1023;400.0;167.0;127.0;107.0;210.0;57.0;80.0;27.0;62.0;45.0;30.0;23.0;28.0;1.0;;17.0;7.0;;4.0;;;;;3044.0
Gorssel-G0239;17;;3555;2493;2774;697;14.0;127.0;49.0;40.0;24.0;18.0;16.0;5.0;24.0;22.0;15.0;10.0;5.0;;;4.0;5.0;;;3.0;0.0;1.0;;952.0
Gouda-G0513;91;;10304;13617;6806;2807;1293.0;545.0;413.0;348.0;371.0;194.0;242.0;67.0;94.0;92.0;79.0;47.0;100.0;10.0;50.0;17.0;26.0;;;;;;;5702.0
Graafstroom-G0693;28;;2379;845;787;180;1107.0;36.0;19.0;69.0;203.0;16.0;9.0;2.0;11.0;1.0;4.0;6.0;1.0;;;12.0;1.0;;2.0;;;;;456.0
Graft-De Rijp-G0365;4;;1180;985;954;248;9.0;25.0;104.0;2.0;1.0;33.0;11.0;;2.0;10.0;7.0;6.0;4.0;2.0;;;1.0;;1.0;;;;;304.0
Gramsbergen-G0157;11;;1945;1325;366;105;3.0;22.0;8.0;134.0;44.0;2.0;1.0;3.0;14.0;3.0;2.0;6.0;;;;;;;;;0.0;;;256.0
Grathem-G0909;8;;1159;313;221;77;1.0;6.0;17.0;2.0;;1.0;4.0;2.0;;4.0;5.0;1.0;;;2.0;1.0;;2.0;;;0.0;;;263.0
Grave-G0786;13;;2822;1738;1101;412;4.0;156.0;53.0;9.0;9.0;7.0;11.0;57.0;1.0;8.0;5.0;7.0;4.0;;;;;1.0;2.0;;2.0;;;998.0
Grijpskerk-G0016;6;;1435;593;339;118;3.0;39.0;17.0;184.0;41.0;6.0;2.0;1.0;21.0;3.0;4.0;2.0;;;;8.0;;;;1.0;;;;192.0
Groenlo-G0240;8;;3077;1457;761;257;6.0;44.0;71.0;9.0;8.0;10.0;6.0;23.0;12.0;2.0;1.0;10.0;3.0;;;2.0;2.0;1.0;;1.0;0.0;;;650.0
Groesbeek-G0241;59;;4889;5084;1153;522;11.0;186.0;108.0;11.0;9.0;17.0;18.0;39.0;8.0;19.0;14.0;6.0;6.0;1.0;;2.0;6.0;11.0;8.0;2.0;2.0;;;1651.0
Groningen-G0014;335;;18545;55189;16115;8601;137.0;3362.0;3509.0;4566.0;607.0;1788.0;206.0;1208.0;451.0;214.0;103.0;163.0;99.0;119.0;;35.0;52.0;;12.0;28.0;;;;20521.0
Grootegast-G0015;19;;2835;1427;556;141;13.0;40.0;28.0;327.0;173.0;17.0;3.0;5.0;15.0;2.0;9.0;7.0;2.0;;;4.0;;;;3.0;;;;663.0
Grubbenvorst-G0912;16;;2395;842;688;174;2.0;20.0;26.0;3.0;;4.0;6.0;7.0;1.0;3.0;4.0;5.0;;;1.0;;;5.0;;;2.0;;;568.0
Gulpen-G0913;28;;2305;1597;518;173;1.0;40.0;30.0;3.0;12.0;12.0;7.0;;4.0;11.0;3.0;5.0;;1.0;28.0;1.0;;13.0;2.0;;0.0;;;541.0
Haaksbergen-G0158;41;;7791;3418;2058;709;8.0;140.0;95.0;33.0;29.0;31.0;27.0;28.0;21.0;9.0;15.0;20.0;7.0;2.0;;3.0;4.0;;;;3.0;;;1481.0
Haaren-G0788;9;;1993;527;384;129;;39.0;32.0;3.0;3.0;6.0;2.0;1.0;3.0;17.0;4.0;2.0;;;;;;3.0;;;0.0;;;424.0
Haarlem-G0392;283;;27374;35283;18834;7540;270.0;1782.0;1773.0;421.0;573.0;956.0;396.0;257.0;252.0;449.0;249.0;183.0;145.0;70.0;;32.0;48.0;;46.0;;;;;19372.0
Haarlemmerliede en Spaarnwoude-G0393;4;;1413;699;721;217;17.0;44.0;28.0;9.0;15.0;24.0;12.0;3.0;6.0;11.0;6.0;7.0;5.0;;;2.0;;;6.0;;;;;355.0
Haarlemmermeer-G0394;147;;19254;12121;15862;4114;578.0;665.0;449.0;342.0;435.0;300.0;173.0;56.0;122.0;127.0;136.0;59.0;55.0;42.0;;28.0;18.0;;11.0;;;;;8334.0
Haelen-G0914;8;;2226;755;447;187;3.0;37.0;25.0;9.0;8.0;1.0;10.0;2.0;2.0;11.0;2.0;6.0;;;8.0;;;9.0;1.0;;0.0;;;616.0
Halsteren-G0789;27;;2894;2659;1566;459;26.0;48.0;51.0;14.0;9.0;13.0;26.0;13.0;5.0;12.0;19.0;24.0;10.0;3.0;;1.0;4.0;0.0;1.0;1.0;0.0;;;1395.0
Haps-G0790;12;;1206;388;167;63;;15.0;12.0;;;2.0;4.0;1.0;4.0;2.0;2.0;2.0;;;;;;0.0;;;0.0;;;141.0
Hardenberg-G0160;66;;9972;4848;1659;537;37.0;135.0;59.0;2741.0;228.0;13.0;10.0;20.0;40.0;13.0;16.0;16.0;4.0;;;12.0;4.0;;;;2.0;;;1655.0
Harderwijk-G0243;50;;9369;3391;3926;1027;930.0;302.0;119.0;471.0;676.0;37.0;39.0;33.0;81.0;20.0;17.0;20.0;18.0;1.0;;10.0;5.0;;;6.0;3.0;5.0;;2669.0
Hardinxveld-Giessendam-G0523;36;;2901;2726;1255;363;1976.0;32.0;31.0;481.0;467.0;12.0;19.0;12.0;38.0;5.0;22.0;8.0;5.0;2.0;;6.0;;;5.0;;;;;1155.0
Haren-G0017;27;;3530;3670;4037;1070;33.0;188.0;101.0;472.0;72.0;30.0;15.0;11.0;35.0;20.0;22.0;8.0;5.0;1.0;;2.0;2.0;;1.0;3.0;;;;1079.0
Harenkarspel-G0395;5;;2094;753;613;192;2.0;34.0;43.0;17.0;9.0;11.0;5.0;3.0;10.0;8.0;19.0;2.0;6.0;1.0;;;;;6.0;;;;;414.0
Harlingen-G0072;27;;2721;4662;1435;665;19.0;96.0;68.0;290.0;96.0;41.0;23.0;14.0;29.0;8.0;16.0;20.0;8.0;3.0;;13.0;3.0;;8.0;;;;;1491.0
Harmelen-G0318;9;;2123;674;1358;279;105.0;63.0;48.0;15.0;43.0;9.0;11.0;5.0;24.0;5.0;7.0;9.0;1.0;;;1.0;;;;3.0;0.0;2.0;;560.0
Hasselt-G0161;13;;1633;841;415;156;209.0;11.0;25.0;401.0;295.0;2.0;1.0;7.0;19.0;8.0;1.0;4.0;2.0;1.0;;3.0;1.0;;;;0.0;;;313.0
Hattem-G0244;21;;2685;2439;1066;390;58.0;79.0;26.0;773.0;246.0;19.0;9.0;4.0;40.0;6.0;2.0;3.0;3.0;1.0;;3.0;;;;2.0;0.0;0.0;;569.0
Havelte-G0117;8;;623;1851;1233;201;1.0;43.0;23.0;15.0;22.0;5.0;;1.0;12.0;15.0;12.0;4.0;2.0;;;2.0;1.0;;;;;;;333.0
Hazerswoude-G0524;9;;3364;1202;1460;451;197.0;104.0;58.0;32.0;164.0;17.0;15.0;4.0;18.0;9.0;6.0;6.0;1.0;;3.0;5.0;1.0;;;;;;;831.0
Hedel-G0245;8;;1089;568;344;115;211.0;13.0;11.0;18.0;16.0;5.0;4.0;;1.0;4.0;;;1.0;;;1.0;1.0;0.0;2.0;1.0;1.0;;;238.0
Heel en Panheel-G0915;6;;1294;542;294;113;;34.0;18.0;2.0;;8.0;10.0;1.0;1.0;5.0;8.0;2.0;;;5.0;2.0;;0.0;1.0;;0.0;;;857.0
Heemskerk-G0396;47;;7776;6196;3166;1445;32.0;340.0;317.0;78.0;73.0;154.0;55.0;37.0;45.0;54.0;53.0;42.0;15.0;3.0;;8.0;10.0;;10.0;;;;;3412.0
Heemstede-G0397;30;;6078;3151;7012;1134;45.0;384.0;197.0;78.0;80.0;51.0;51.0;5.0;27.0;42.0;34.0;12.0;12.0;3.0;;3.0;5.0;;7.0;;;;;2066.0
Heerde-G0246;22;;4669;3803;1502;462;371.0;70.0;42.0;271.0;779.0;15.0;13.0;6.0;28.0;11.0;10.0;10.0;8.0;;;9.0;2.0;;;1.0;3.0;2.0;;1035.0
Heerenveen-G0074;70;;5608;12270;3677;1462;42.0;280.0;189.0;250.0;188.0;336.0;40.0;53.0;81.0;29.0;31.0;22.0;11.0;47.0;;8.0;9.0;;9.0;;;;;3005.0
Heerewaarden-G0247;0;;139;434;206;23;5.0;10.0;4.0;;2.0;;2.0;1.0;;4.0;;;1.0;;;;;0.0;1.0;;0.0;;;42.0
Heerhugowaard-G0398;37;;7668;5321;3913;1656;17.0;222.0;249.0;72.0;127.0;137.0;31.0;36.0;35.0;64.0;48.0;55.0;11.0;8.0;;3.0;7.0;;5.0;;;;;3092.0
Heerjansdam-G0526;5;;853;700;460;137;67.0;17.0;7.0;11.0;35.0;5.0;5.0;1.0;1.0;5.0;9.0;3.0;2.0;;;;2.0;;1.0;;;;;239.0
Heerlen-G0917;210;;20848;24184;5451;2463;46.0;578.0;437.0;99.0;117.0;381.0;266.0;788.0;81.0;339.0;82.0;59.0;;39.0;192.0;11.0;24.0;197.0;15.0;;13.0;;;14785.0
Heesch-G0791;16;;3334;1746;708;315;;44.0;31.0;;4.0;8.0;10.0;209.0;3.0;8.0;11.0;8.0;2.0;1.0;;;7.0;1.0;1.0;;1.0;;;1000.0
Heeswijk-Dinther-G0792;13;;3361;948;482;182;1.0;114.0;39.0;1.0;2.0;12.0;3.0;7.0;4.0;2.0;8.0;14.0;1.0;1.0;;;1.0;2.0;4.0;;0.0;;;489.0
Heeze-G0793;12;;3077;1239;1016;306;3.0;66.0;30.0;6.0;6.0;13.0;11.0;8.0;7.0;7.0;12.0;6.0;1.0;2.0;;;1.0;0.0;1.0;;1.0;;;648.0
Hefshuizen-G0019;24;;2734;2583;744;185;12.0;54.0;29.0;759.0;46.0;30.0;2.0;8.0;26.0;3.0;4.0;5.0;2.0;;;12.0;;;1.0;;;;;648.0
Heiloo-G0399;36;;5032;3014;4495;1014;16.0;233.0;158.0;45.0;77.0;69.0;26.0;8.0;29.0;57.0;17.0;23.0;9.0;7.0;;;3.0;;4.0;;;;;1250.0
Heino-G0162;10;;2624;906;570;183;7.0;42.0;16.0;107.0;58.0;6.0;2.0;4.0;13.0;8.0;1.0;6.0;1.0;;;;;;;;0.0;;;327.0
Helden-G0918;30;;6516;1939;971;452;1.0;71.0;101.0;5.0;6.0;17.0;18.0;13.0;6.0;14.0;10.0;32.0;;3.0;7.0;;7.0;3.0;2.0;;1.0;;;2048.0
Hellendoorn-G0163;40;;13536;4509;1911;716;133.0;281.0;57.0;383.0;542.0;17.0;20.0;12.0;79.0;19.0;22.0;20.0;5.0;;;14.0;1.0;;;;0.0;;;1929.0
Hellevoetsluis-G0530;53;;3523;7503;3914;1725;122.0;192.0;230.0;84.0;97.0;94.0;109.0;44.0;45.0;36.0;96.0;30.0;21.0;8.0;;2.0;6.0;;12.0;;;;;3305.0
Helmond-G0794;81;;12640;14739;5161;1910;33.0;311.0;516.0;42.0;46.0;158.0;105.0;236.0;28.0;47.0;46.0;60.0;35.0;142.0;;3.0;19.0;32.0;8.0;;4.0;;;8808.0
Helvoirt-G0795;15;;1617;574;565;174;2.0;26.0;14.0;7.0;3.0;9.0;5.0;1.0;1.0;6.0;3.0;1.0;;;;;;3.0;;;3.0;;;274.0
Hendrik-Ido-Ambacht-G0531;5;;3461;2944;2546;854;1241.0;84.0;116.0;145.0;157.0;103.0;19.0;7.0;38.0;8.0;15.0;8.0;11.0;3.0;;3.0;3.0;;4.0;;;;;1575.0
Hengelo-G0248;17;;2967;1453;800;185;30.0;33.0;14.0;4.0;15.0;4.0;6.0;3.0;8.0;7.0;2.0;5.0;;;;;1.0;0.0;3.0;;1.0;;;567.0
Hengelo-G0164;119;;18737;17892;7014;3276;54.0;638.0;652.0;463.0;465.0;250.0;133.0;327.0;104.0;50.0;54.0;122.0;34.0;18.0;;23.0;17.0;;;;2.0;;;5697.0
Herten-G0919;6;;1228;500;384;121;;28.0;13.0;5.0;2.0;5.0;6.0;1.0;1.0;7.0;4.0;3.0;;;4.0;;1.0;3.0;;;0.0;;;321.0
Het Bildt-G0063;22;;2755;2408;817;241;25.0;88.0;63.0;37.0;49.0;19.0;7.0;6.0;31.0;8.0;6.0;8.0;2.0;4.0;;13.0;5.0;;2.0;;;;;756.0
Heteren-G0251;24;;2484;1425;739;276;172.0;68.0;35.0;37.0;39.0;13.0;9.0;3.0;9.0;4.0;2.0;6.0;2.0;1.0;;4.0;2.0;1.0;;1.0;2.0;;;582.0
Heumen-G0252;1;;3806;1864;1492;549;5.0;143.0;103.0;7.0;13.0;17.0;11.0;15.0;7.0;21.0;3.0;4.0;2.0;1.0;;;1.0;2.0;;4.0;0.0;;;908.0
Heusden-G0797;14;;1500;920;478;187;49.0;43.0;23.0;8.0;30.0;11.0;8.0;10.0;4.0;10.0;10.0;6.0;6.0;1.0;;;;1.0;1.0;;0.0;;;558.0
