RegioNaam;@invalid;@blank;CDA;PvdA;VVD;D66;SGP;PSP/CPN/PPR;Politieke Partij Radikalen (PPR);RPF/GPV;Gereformeerd Politiek Verbond (GPV);Communistische Partij van Nederland;Groenen;Pacifistisch-Socialistische Partij (PSP);PSP/CPN;SP;SGP-GPV-RPF;NL;Centrumdemocraten;RPF/SGP;Reformatorische Politieke Federatie (RPF);FNP;Evangelische Volkspartij (EVP);SAP;FPGB;HP;Centrumpartij;@abs
Stramproy-G0973;14;0;1489;549;179;80;;;32.0;;;;;;17.0;2.0;1.0;68.0;;;;;;;;;;1131.0
Strijen-G0617;21;0;1173;1623;1011;223;267.0;111.0;;105.0;;;28.0;;;4.0;;;3.0;;;;11.0;2.0;;;;1725.0
Susteren-G0974;71;0;3454;2080;444;259;;;112.0;;;;;;83.0;10.0;15.0;179.0;;;;;;;;;;3062.0
Swalmen-G0975;29;0;1729;1527;308;109;;;44.0;;;;;;60.0;2.0;3.0;83.0;;;;;;;;;;2423.0
't Zandt-G0054;5;0;354;651;179;67;;;43.0;;41.0;14.0;;29.0;;4.0;;;;16.0;;;;;9.0;;;391.0
Tegelen-G0976;44;0;3850;2839;635;303;;;100.0;;;;;;53.0;10.0;18.0;552.0;;;;;;;;;;4826.0
Ten Boer-G0009;15;0;1152;1225;420;179;;;94.0;;488.0;54.0;;51.0;;6.0;;;;113.0;;;;;15.0;;;931.0
Ter Aar-G0480;15;0;2401;560;780;238;99.0;95.0;;45.0;;;22.0;;;10.0;;;9.0;;;;11.0;1.0;;;;1970.0
Terheijden-G0853;16;0;1798;1327;490;326;;146.0;;;;;;;;5.0;16.0;;;;;;;0.0;;;;1933.0
Termunten-G0042;16;0;537;1302;222;73;;;55.0;;16.0;157.0;;40.0;;2.0;;;;60.0;;;;;29.0;;;903.0
Terneuzen-G0715;74;0;5058;4673;2296;1021;1113.0;;351.0;980.0;;;;;237.0;0.0;;;;;;;;;;;;9795.0
Terschelling-G0093;14;0;512;980;992;97;;55.0;;;7.0;;;;;;;;;27.0;;33.0;;;;;;844.0
Teteringen-G0854;5;0;1586;629;551;222;;66.0;;;;;;;;1.0;16.0;;;;;;;1.0;;;;1104.0
Texel-G0448;22;0;2443;1844;1521;413;;;140.0;;;55.0;52.0;241.0;;6.0;150.0;;0.0;;;;;3.0;;;;2512.0
Tholen-G0716;55;0;2139;2812;1312;287;2841.0;;89.0;437.0;;;;;50.0;0.0;;;;;;;;;;;;3705.0
Thorn-G0977;13;0;739;474;110;49;;;38.0;;;;;;7.0;1.0;6.0;46.0;;;;;;;;;;548.0
Tiel-G0281;11;0;3399;5984;2099;819;138.0;504.0;;155.0;;;81.0;;;16.0;;;;;;;;0.0;;;;8367.0
