RegioNaam;@invalid;@blank;RKSP;SDAP;ARP;CHU;Vrijzinnig-Democratische Bond;Liberale Staatspartij;Nationaal-Socialistische Beweging;Communistische Partij van Nederland;Staatkundig Gereformeerde Partij;Christelijk-Democratische Unie;Revolutionair Socialistische Arbeiderspartij;Overige partij(en) met zetel(s);Overige partij(en) zonder zetel(s);@abs
Oldekerk-G0036;11;6;;97.0;530.0;47.0;78.0;97.0;26.0;5.0;;38.0;;;;68.0
Oldemarkt-G0172;10;20;172.0;163.0;104.0;728.0;38.0;118.0;20.0;4.0;;60.0;1.0;;;159.0
Oldenzaal-G0173;59;147;3341.0;461.0;80.0;226.0;66.0;168.0;206.0;25.0;;52.0;4.0;;;278.0
Olst-G0174;26;35;741.0;938.0;100.0;218.0;652.0;213.0;114.0;9.0;18.0;14.0;4.0;;;232.0
Ommen-G0175;76;73;347.0;287.0;1238.0;1411.0;230.0;211.0;160.0;8.0;87.0;67.0;3.0;;;289.0
Onstwedde-G1250;169;231;867.0;1685.0;1818.0;1154.0;513.0;115.0;431.0;206.0;;1356.0;;;39.0;759.0
Ooltgensplaat-G1133;34;34;267.0;303.0;378.0;63.0;62.0;69.0;10.0;17.0;231.0;;;112.0;;129.0
Oost- en West-Souburg-G1135;0;0;70.0;820.0;605.0;864.0;175.0;114.0;20.0;;70.0;;;6.0;;
Oost-, West- en Middelbeers-G0825;4;2;659.0;1.0;;4.0;;2.0;1.0;;;;;;;30.0
Oostburg-G0692;23;34;417.0;215.0;157.0;61.0;139.0;407.0;33.0;;31.0;;;3.0;;143.0
Oostdongeradeel-G0084;23;39;14.0;124.0;2233.0;1048.0;180.0;201.0;31.0;10.0;5.0;141.0;9.0;;12.0;283.0
Oosterhesselen-G0123;39;25;2.0;329.0;401.0;101.0;90.0;252.0;115.0;7.0;;;;;;78.0
Oosterhout-G0826;55;90;6776.0;139.0;22.0;57.0;;20.0;116.0;;6.0;;;;;706.0
Oosterland-G1136;12;26;3.0;159.0;95.0;150.0;41.0;235.0;16.0;;208.0;;;3.0;;150.0
Oosthuizen-G0430;4;8;24.0;167.0;3.0;9.0;192.0;43.0;51.0;5.0;1.0;4.0;8.0;1.0;;40.0
Oostkapelle-G1137;5;7;3.0;19.0;266.0;243.0;57.0;41.0;9.0;;119.0;;;3.0;;78.0
Ooststellingwerf-G0085;82;324;18.0;1258.0;1293.0;897.0;1927.0;71.0;176.0;494.0;11.0;343.0;27.0;;579.0;556.0
Oostvoorne-G0581;48;62;51.0;608.0;137.0;139.0;454.0;334.0;72.0;89.0;5.0;2.0;36.0;3.0;;190.0
Oostzaan-G0431;56;76;29.0;765.0;300.0;70.0;346.0;176.0;52.0;330.0;38.0;29.0;48.0;7.0;;146.0
Ootmarsum-G0176;7;7;596.0;18.0;10.0;18.0;12.0;8.0;26.0;;1.0;21.0;2.0;;;72.0
