RegioNaam;@invalid;@blank;RKSP;SDAP;ARP;CHU;Vrijzinnig-Democratische Bond;Liberale Staatspartij;Nationaal-Socialistische Beweging;Communistische Partij van Nederland;Staatkundig Gereformeerde Partij;Christelijk-Democratische Unie;Revolutionair Socialistische Arbeiderspartij;Overige partij(en) met zetel(s);Overige partij(en) zonder zetel(s);@abs
Ophemert-G0270;14;16;8.0;160.0;50.0;146.0;18.0;184.0;10.0;1.0;18.0;15.0;1.0;;;97.0
Oploo, Sint Anthonis en Ledeacker-G0827;11;5;1190.0;4.0;;11.0;;1.0;;;;;;1.0;;66.0
Opmeer-G0432;1;0;149.0;39.0;3.0;;26.0;20.0;8.0;4.0;;;1.0;1.0;;19.0
Opperdoes-G0433;5;10;2.0;45.0;280.0;112.0;48.0;36.0;11.0;;22.0;12.0;2.0;;;37.0
Opsterland-G0086;172;291;28.0;1657.0;1771.0;676.0;1897.0;426.0;111.0;1271.0;20.0;998.0;27.0;;576.0;953.0
Oss-G0828;143;189;4544.0;640.0;35.0;73.0;;353.0;259.0;;;;;1091.0;;588.0
Ossendrecht-G0829;33;30;983.0;130.0;3.0;13.0;;10.0;90.0;;1.0;;;;;150.0
Oterleek-G0434;10;8;48.0;68.0;13.0;13.0;131.0;91.0;23.0;10.0;;1.0;15.0;1.0;;35.0
Ottersum-G0955;18;8;837.0;3.0;3.0;7.0;;8.0;47.0;;;;;137.0;;67.0
Ottoland-G0582;3;3;;11.0;178.0;14.0;8.0;16.0;1.0;1.0;33.0;;;41.0;;29.0
Oud- en Nieuw-Gastel-G0831;49;90;2660.0;62.0;6.0;28.0;;43.0;22.0;;4.0;;;;;209.0
Oud-Alblas-G0583;6;9;2.0;29.0;179.0;53.0;11.0;26.0;12.0;4.0;154.0;;;84.0;;66.0
Oud-Beijerland-G0584;20;53;148.0;492.0;1221.0;164.0;115.0;295.0;33.0;18.0;487.0;5.0;3.0;101.0;;418.0
Ouddorp-G1142;26;29;8.0;48.0;437.0;64.0;20.0;179.0;4.0;12.0;404.0;4.0;3.0;384.0;;427.0
Oude Niedorp-G0436;5;7;424.0;80.0;5.0;3.0;72.0;23.0;7.0;16.0;;1.0;7.0;;;47.0
Oude Pekela-G0038;45;77;224.0;1290.0;347.0;177.0;204.0;128.0;109.0;397.0;;398.0;;;8.0;369.0
Oude Tonge-G1143;12;35;383.0;350.0;220.0;32.0;43.0;123.0;8.0;9.0;316.0;1.0;;9.0;;221.0
Oudelande-G0695;11;8;33.0;30.0;83.0;167.0;25.0;58.0;9.0;;25.0;;;;;12.0
Oudenbosch-G0830;16;48;2419.0;74.0;12.0;37.0;;20.0;17.0;;4.0;;;;;176.0
Oudendijk-G0435;1;2;3.0;102.0;7.0;5.0;101.0;17.0;17.0;2.0;;;11.0;;;22.0
Oudenhoorn-G0586;8;13;6.0;176.0;59.0;60.0;77.0;43.0;16.0;10.0;3.0;6.0;1.0;;;51.0
Oudenrijn-G1144;2;12;239.0;42.0;97.0;87.0;16.0;48.0;19.0;;4.0;3.0;;;;43.0
Ouder-Amstel-G0437;39;23;945.0;165.0;309.0;445.0;112.0;59.0;128.0;28.0;12.0;105.0;10.0;3.0;;191.0
Ouderkerk aan den IJssel-G0587;27;22;3.0;83.0;447.0;20.0;47.0;211.0;44.0;10.0;477.0;1.0;1.0;65.0;;438.0
Oudewater-G0589;14;11;771.0;121.0;233.0;161.0;34.0;35.0;72.0;7.0;80.0;1.0;;13.0;;89.0
Oudkarspel-G1146;2;9;218.0;242.0;42.0;3.0;272.0;18.0;23.0;137.0;;1.0;1.0;3.0;;70.0
Oudorp-G0438;8;9;470.0;116.0;40.0;45.0;121.0;67.0;21.0;17.0;;8.0;10.0;3.0;;60.0
Oud-Valkenburg-G1140;7;31;457.0;4.0;2.0;4.0;;;38.0;;;;;;;37.0
Oud-Vossemeer-G0696;12;11;248.0;71.0;230.0;223.0;31.0;121.0;34.0;;113.0;;;1.0;;106.0
Ouwerkerk-G1148;4;6;2.0;113.0;28.0;17.0;52.0;98.0;5.0;;28.0;;;;;44.0
Overasselt-G0271;6;9;980.0;4.0;;8.0;8.0;4.0;1.0;;1.0;;;;95.0;75.0
Overschie-G1149;170;82;724.0;763.0;779.0;1101.0;486.0;322.0;335.0;205.0;93.0;23.0;16.0;28.0;;305.0
Overslag-G0697;4;9;;67.0;8.0;8.0;1.0;2.0;2.0;;1.0;;;8.0;;13.0
Ovezande-G0698;9;1;533.0;3.0;10.0;101.0;11.0;4.0;1.0;;;;;;;34.0
Pannerden-G0272;8;6;386.0;15.0;1.0;;7.0;;5.0;;;;;;147.0;99.0
Papekop-G1151;0;3;56.0;3.0;55.0;33.0;3.0;4.0;1.0;;17.0;;;4.0;;16.0
Papendrecht-G0590;53;45;32.0;544.0;814.0;135.0;95.0;119.0;29.0;48.0;205.0;5.0;8.0;201.0;;352.0
Peize-G0124;18;51;4.0;462.0;45.0;54.0;66.0;282.0;124.0;23.0;;114.0;1.0;;;96.0
Peursum-G1154;0;1;2.0;13.0;89.0;26.0;6.0;43.0;;;28.0;;;2.0;;16.0
Philippine-G0699;17;28;342.0;19.0;17.0;15.0;4.0;10.0;6.0;;2.0;;;20.0;;62.0
Piershil-G0591;7;11;1.0;78.0;105.0;40.0;25.0;35.0;11.0;1.0;110.0;1.0;1.0;6.0;;57.0
Pijnacker-G0594;28;44;887.0;251.0;365.0;747.0;122.0;95.0;111.0;15.0;213.0;11.0;3.0;35.0;;165.0
Poederoijen-G1155;4;11;4.0;23.0;215.0;133.0;16.0;3.0;9.0;1.0;112.0;1.0;;;;116.0
Polsbroek-G0338;2;4;76.0;9.0;221.0;18.0;11.0;29.0;12.0;1.0;57.0;;;;;28.0
Poortugal-G0592;23;17;93.0;287.0;239.0;193.0;32.0;219.0;90.0;6.0;37.0;25.0;5.0;6.0;;210.0
Poortvliet-G0700;0;0;1.0;13.0;122.0;121.0;24.0;59.0;31.0;;418.0;;;;;
Posterholt-G0956;2;5;815.0;5.0;1.0;;;2.0;15.0;;;;;2.0;;57.0
Princenhage-G1156;86;116;4974.0;304.0;22.0;72.0;;82.0;43.0;;9.0;;;;;340.0
Purmerend-G0439;34;52;829.0;737.0;120.0;67.0;1000.0;130.0;141.0;115.0;4.0;49.0;95.0;16.0;;224.0
Putte-G0833;24;7;560.0;47.0;7.0;3.0;;6.0;8.0;;;;;;;71.0
Putten-G0273;30;84;100.0;429.0;499.0;2499.0;45.0;70.0;58.0;5.0;199.0;10.0;;;;321.0
Puttershoek-G0593;15;13;36.0;213.0;208.0;277.0;70.0;87.0;16.0;11.0;96.0;1.0;2.0;12.0;;160.0
Raalte-G0177;47;41;3228.0;325.0;42.0;686.0;96.0;135.0;60.0;5.0;4.0;4.0;3.0;;;307.0
Raamsdonk-G0834;17;29;2080.0;57.0;77.0;567.0;;24.0;13.0;;34.0;;;;;486.0
Rauwerderhem-G0087;7;23;173.0;368.0;161.0;97.0;347.0;94.0;12.0;15.0;;56.0;;;79.0;97.0
Ravenstein-G0835;1;7;991.0;10.0;2.0;;;13.0;3.0;;;;;122.0;;121.0
Reek-G1158;5;0;512.0;3.0;;;;;;;;;;8.0;;37.0
Reeuwijk-G0595;20;17;622.0;295.0;426.0;159.0;42.0;241.0;117.0;15.0;172.0;7.0;10.0;22.0;;134.0
Renesse-G1159;8;3;3.0;43.0;35.0;58.0;54.0;145.0;13.0;;12.0;;;3.0;;35.0
Renkum-G0274;141;3030;1964.0;1755.0;1846.0;1915.0;683.0;1061.0;346.0;80.0;122.0;40.0;26.0;;;
Renswoude-G0339;4;20;26.0;67.0;412.0;178.0;11.0;49.0;20.0;1.0;109.0;3.0;3.0;;;78.0
Retranchement-G0701;2;13;13.0;102.0;20.0;50.0;27.0;131.0;3.0;;4.0;;;;;29.0
Reusel-G0836;3;0;989.0;4.0;3.0;2.0;;;3.0;;3.0;;;9.0;;54.0
Rheden-G0275;224;600;2277.0;3645.0;1556.0;3173.0;581.0;1319.0;753.0;94.0;57.0;36.0;;;11.0;1002.0
Rhenen-G0340;49;119;92.0;1299.0;529.0;864.0;95.0;141.0;76.0;14.0;806.0;15.0;2.0;;;322.0
Rhoon-G0596;12;21;148.0;131.0;262.0;441.0;46.0;55.0;33.0;10.0;20.0;2.0;2.0;2.0;;98.0
Ridderkerk-G0597;124;172;48.0;1177.0;2077.0;1218.0;288.0;448.0;167.0;34.0;1432.0;66.0;12.0;51.0;;609.0
Riethoven-G0837;0;1;325.0;2.0;;;;;;;;;;;;18.0
Rietveld-G1160;2;4;72.0;11.0;53.0;78.0;11.0;6.0;16.0;3.0;29.0;;;2.0;;39.0
Rijckholt-G1165;2;3;150.0;8.0;;;;;4.0;;;;;;;21.0
Rijnsaterwoude-G0601;4;2;136.0;5.0;38.0;31.0;21.0;10.0;1.0;;44.0;;1.0;9.0;;28.0
Rijnsburg-G0602;28;9;58.0;28.0;992.0;676.0;11.0;;42.0;1.0;51.0;91.0;2.0;83.0;;99.0
Rijsbergen-G0841;24;18;1001.0;74.0;5.0;11.0;;1.0;3.0;;;;;;;89.0
Rijssen-G0178;58;84;515.0;439.0;817.0;132.0;72.0;101.0;79.0;11.0;2197.0;29.0;40.0;;;599.0
Rijswijk-G0603;135;262;2666.0;1312.0;1258.0;681.0;1240.0;1056.0;613.0;94.0;91.0;57.0;18.0;132.0;;684.0
Rijswijk (NB)-G0842;5;3;;35.0;173.0;66.0;;28.0;1.0;;1.0;;;;;53.0
Rilland-Bath-G0702;18;16;100.0;96.0;115.0;439.0;35.0;100.0;15.0;;175.0;;;;;104.0
Ritthem-G1163;0;0;1.0;6.0;76.0;230.0;1.0;6.0;3.0;;23.0;;;;;34.0
Rockanje-G0598;25;88;11.0;307.0;220.0;71.0;372.0;135.0;66.0;154.0;11.0;8.0;40.0;3.0;;226.0
Roden-G0125;25;79;6.0;746.0;470.0;297.0;279.0;276.0;177.0;136.0;;225.0;4.0;;;228.0
Roermond-G0957;154;388;6634.0;436.0;103.0;;;219.0;457.0;;;;;21.0;;808.0
Roggel-G0958;4;6;916.0;2.0;1.0;;;;4.0;;;;;;;87.0
Rolde-G0126;15;27;8.0;513.0;79.0;51.0;354.0;344.0;297.0;5.0;;4.0;4.0;;;76.0
Roosendaal en Nispen-G0838;234;397;9297.0;1182.0;100.0;197.0;;133.0;242.0;;18.0;;;;;934.0
Roosteren-G0959;13;24;400.0;5.0;3.0;;;2.0;61.0;;;;;1.0;;65.0
Rosmalen-G0839;44;45;1880.0;92.0;13.0;22.0;;25.0;73.0;;;;;72.0;;248.0
Rossum-G0276;11;9;205.0;100.0;99.0;77.0;56.0;94.0;3.0;;16.0;2.0;;;25.0;106.0
Rotterdam-G0599;9416;12306;46267.0;111285.0;40951.0;17018.0;13090.0;21233.0;9733.0;13807.0;8641.0;2279.0;12997.0;3158.0;;26626.0
Rozenburg-G0600;15;16;1.0;70.0;442.0;576.0;81.0;63.0;28.0;5.0;25.0;1.0;1.0;2.0;;115.0
Rozendaal-G0277;5;16;9.0;31.0;38.0;47.0;19.0;49.0;11.0;;;2.0;1.0;;;29.0
Rucphen-G0840;78;52;2950.0;98.0;12.0;13.0;;18.0;43.0;;4.0;;;;;264.0
Ruinen-G0127;23;75;7.0;564.0;347.0;216.0;554.0;242.0;214.0;2.0;;;;;;205.0
Ruinerwold-G0128;10;22;5.0;198.0;374.0;113.0;383.0;213.0;97.0;4.0;;1.0;;;;122.0
Ruurlo-G0278;48;102;471.0;300.0;128.0;93.0;564.0;280.0;170.0;7.0;;33.0;3.0;;;161.0
Ruwiel-G1164;3;1;54.0;2.0;94.0;52.0;;4.0;6.0;;56.0;;;;;30.0
Sambeek-G1167;8;3;1173.0;3.0;8.0;;;2.0;1.0;;3.0;;;6.0;;41.0
Sappemeer-G1168;49;117;350.0;1468.0;308.0;98.0;460.0;105.0;98.0;405.0;;148.0;;;83.0;348.0
Sas van Gent-G0704;22;59;758.0;375.0;19.0;58.0;44.0;71.0;14.0;;11.0;;;24.0;;137.0
Sassenheim-G0604;17;9;1272.0;137.0;618.0;397.0;48.0;35.0;51.0;4.0;61.0;20.0;;4.0;;190.0
Schaesberg-G0960;97;96;2133.0;324.0;15.0;131.0;;14.0;164.0;;;;;6.0;;151.0
Schagen-G0441;11;35;504.0;511.0;42.0;39.0;616.0;217.0;73.0;75.0;1.0;5.0;5.0;8.0;;217.0
Schaijk-G0843;9;12;913.0;12.0;1.0;3.0;;1.0;4.0;;;;;25.0;;65.0
Schalkwijk-G1169;6;5;566.0;6.0;27.0;44.0;4.0;;4.0;;15.0;;;;;30.0
Scheemda-G0039;22;71;10.0;887.0;528.0;530.0;426.0;123.0;130.0;245.0;;597.0;;;6.0;316.0
Schellinkhout-G0442;2;7;19.0;73.0;5.0;3.0;120.0;76.0;12.0;1.0;;7.0;2.0;;;12.0
Schelluinen-G0605;0;9;3.0;61.0;43.0;4.0;5.0;30.0;3.0;;47.0;;;3.0;;20.0
Schermerhorn-G0443;15;0;165.0;97.0;89.0;7.0;119.0;36.0;22.0;10.0;1.0;1.0;1.0;;;36.0
Scherpenisse-G0705;11;18;3.0;87.0;91.0;34.0;40.0;61.0;16.0;;277.0;;;11.0;;141.0
Scherpenzeel-G0279;8;7;2.0;170.0;223.0;353.0;8.0;117.0;21.0;2.0;71.0;;3.0;;;80.0
Schiebroek-G1170;75;108;568.0;556.0;602.0;303.0;556.0;288.0;242.0;43.0;80.0;52.0;9.0;32.0;;197.0
Schiedam-G0606;591;642;7875.0;8448.0;3623.0;3968.0;1631.0;1644.0;733.0;1250.0;527.0;208.0;122.0;102.0;;1740.0
Schiermonnikoog-G0088;1;8;6.0;37.0;98.0;37.0;118.0;23.0;4.0;;;17.0;;;;55.0
Schijndel-G0844;73;0;3331.0;202.0;8.0;18.0;;14.0;33.0;;;;;183.0;;310.0
Schimmert-G0961;9;8;761.0;5.0;2.0;2.0;;;22.0;;;;;;;44.0
Schin op Geul-G1171;10;6;589.0;3.0;1.0;5.0;;;22.0;;;;;;;47.0
Schinnen-G0962;25;26;1534.0;21.0;4.0;3.0;;3.0;66.0;;;;;3.0;;83.0
Schinveld-G0963;30;33;1008.0;32.0;7.0;10.0;;1.0;56.0;;;;;6.0;;74.0
Schipluiden-G0607;13;11;958.0;30.0;304.0;298.0;12.0;9.0;25.0;9.0;33.0;;;8.0;;79.0
Schoondijke-G0706;25;54;147.0;82.0;193.0;51.0;122.0;304.0;40.0;;32.0;;;1.0;;82.0
Schoonebeek-G0129;10;25;491.0;190.0;303.0;344.0;16.0;107.0;63.0;3.0;;;5.0;;;121.0
Schoonhoven-G0608;45;35;387.0;502.0;509.0;235.0;222.0;69.0;111.0;3.0;162.0;8.0;2.0;107.0;;119.0
Schoonrewoerd-G0609;9;8;1.0;39.0;144.0;43.0;12.0;29.0;3.0;2.0;121.0;2.0;1.0;39.0;;66.0
Schoorl-G0444;41;14;362.0;390.0;14.0;18.0;340.0;84.0;31.0;29.0;1.0;4.0;14.0;2.0;;1388.0
Schore-G1172;6;6;46.0;41.0;65.0;130.0;78.0;19.0;10.0;;31.0;;;4.0;;41.0
Serooskerke (Schouwen)-G1175;2;5;;32.0;16.0;21.0;14.0;45.0;2.0;;2.0;;;;;13.0
Serooskerke (Walcheren)-G1176;9;3;1.0;5.0;535.0;238.0;11.0;9.0;2.0;;54.0;;;2.0;;74.0
Sevenum-G0964;3;4;1394.0;;;;;1.0;6.0;;;;;;;96.0
's-Graveland-G0390;4;20;136.0;66.0;138.0;256.0;39.0;39.0;17.0;1.0;41.0;15.0;;;;64.0
's-Gravendeel-G0517;44;43;12.0;509.0;651.0;476.0;136.0;246.0;45.0;7.0;154.0;2.0;3.0;24.0;;231.0
's-Gravenhage-G0518;4936;6588;50024.0;78597.0;28720.0;18157.0;24182.0;23339.0;14466.0;10361.0;2334.0;1537.0;757.0;6050.0;;21429.0
's-Gravenmoer-G0787;5;9;21.0;11.0;243.0;241.0;;32.0;10.0;;7.0;;;;;140.0
's-Gravenpolder-G0666;2;14;62.0;11.0;68.0;176.0;5.0;49.0;8.0;;184.0;;;;;86.0
's-Gravenzande-G0519;47;51;171.0;557.0;921.0;1047.0;464.0;44.0;139.0;15.0;215.0;25.0;7.0;22.0;;225.0
's-Heer Abtskerke-G0669;11;18;26.0;6.0;22.0;102.0;6.0;37.0;2.0;;7.0;;;;;
's-Heer Arendskerke-G0670;23;15;363.0;83.0;521.0;722.0;34.0;201.0;27.0;;107.0;;;2.0;;155.0
's-Heerenhoek-G0671;11;9;543.0;1.0;18.0;19.0;1.0;7.0;;;3.0;;;1.0;;29.0
's-Hertogenbosch-G0796;313;948;15634.0;2668.0;308.0;492.0;;436.0;267.0;;;;;108.0;;1869.0
Sijbekarspel-G0447;0;0;217.0;75.0;8.0;2.0;151.0;128.0;34.0;6.0;;;6.0;;;
Simpelveld-G0965;46;63;1281.0;19.0;7.0;;;;128.0;;;;;3.0;;98.0
Sint Annaland-G0708;40;39;8.0;166.0;100.0;84.0;26.0;80.0;127.0;;595.0;;;19.0;;247.0
Sint Geertruid-G0966;3;6;399.0;;;1.0;;;5.0;;;;;;;29.0
Sint Jansteen-G0709;37;59;1089.0;64.0;17.0;23.0;28.0;5.0;24.0;;1.0;;;170.0;;118.0
Sint Kruis-G1178;4;2;148.0;15.0;15.0;5.0;38.0;14.0;1.0;;;;;1.0;;16.0
Sint Laurens-G1179;11;9;10.0;32.0;291.0;202.0;60.0;39.0;21.0;;59.0;;;8.0;;63.0
Sint Maarten-G0445;4;12;119.0;169.0;112.0;5.0;199.0;17.0;7.0;11.0;1.0;1.0;14.0;3.0;;46.0
Sint Maartensdijk-G0711;24;38;7.0;316.0;189.0;74.0;26.0;144.0;32.0;;416.0;;;33.0;;306.0
Sint Odiliënberg-G0967;3;4;519.0;;;;;6.0;29.0;;;;;;;50.0
Sint Pancras-G0446;6;21;18.0;114.0;163.0;208.0;115.0;17.0;52.0;9.0;14.0;5.0;12.0;2.0;;69.0
Sint Philipsland-G0712;22;18;1.0;22.0;146.0;75.0;12.0;102.0;11.0;;542.0;;;61.0;;154.0
Sint-Michielsgestel-G0845;27;27;1955.0;115.0;6.0;28.0;;6.0;14.0;;;;;174.0;;173.0
Sint-Oedenrode-G0846;22;27;3011.0;69.0;7.0;30.0;;11.0;16.0;;1.0;;;83.0;;248.0
Sittard-G0968;106;205;4759.0;292.0;44.0;104.0;;49.0;413.0;;;;;438.0;;502.0
Sleen-G0130;66;54;10.0;471.0;381.0;222.0;64.0;781.0;212.0;57.0;;;180.0;;;189.0
Slenaken-G0969;1;1;228.0;;;;;;6.0;;;;;;;6.0
Sliedrecht-G0610;110;273;54.0;1697.0;1146.0;644.0;238.0;1097.0;81.0;22.0;987.0;15.0;26.0;49.0;;827.0
Slochteren-G0040;159;297;79.0;2141.0;1155.0;475.0;246.0;802.0;272.0;141.0;;1284.0;;3.0;49.0;743.0
Sloten (F)-G0089;4;8;69.0;35.0;57.0;160.0;18.0;7.0;9.0;;9.0;10.0;;;;17.0
Sluis-G0713;21;53;596.0;59.0;95.0;99.0;88.0;91.0;34.0;;3.0;;;12.0;;83.0
Smallingerland-G0090;107;143;46.0;1536.0;2651.0;742.0;1347.0;115.0;60.0;535.0;17.0;800.0;15.0;;296.0;477.0
Smilde-G0131;48;37;4.0;425.0;806.0;743.0;280.0;130.0;178.0;61.0;;26.0;3.0;;;242.0
Sneek-G0091;107;178;1064.0;1618.0;1777.0;1335.0;1032.0;326.0;123.0;369.0;27.0;459.0;20.0;;285.0;616.0
Snelrewaard-G0341;1;2;139.0;2.0;41.0;39.0;4.0;2.0;7.0;;22.0;;;;;17.0
Soest-G0342;224;383;2541.0;1203.0;1662.0;759.0;576.0;873.0;572.0;108.0;230.0;138.0;19.0;;;860.0
Someren-G0847;26;13;2698.0;41.0;9.0;34.0;;6.0;5.0;;;;;46.0;;142.0
Sommelsdijk-G1184;31;63;27.0;262.0;411.0;45.0;42.0;349.0;21.0;12.0;421.0;3.0;6.0;87.0;;221.0
Son en Breugel-G0848;9;8;1374.0;36.0;6.0;2.0;;1.0;9.0;;;;;2.0;;90.0
Spanbroek-G1186;8;3;648.0;43.0;4.0;6.0;65.0;26.0;18.0;;;;1.0;;;45.0
Spaubeek-G0970;13;13;566.0;2.0;3.0;3.0;;1.0;20.0;;;;;4.0;;38.0
Spijkenisse-G0612;28;19;11.0;327.0;289.0;301.0;31.0;134.0;15.0;19.0;35.0;7.0;2.0;7.0;;117.0
Sprang-Capelle-G0849;17;31;107.0;220.0;780.0;;;297.0;48.0;;264.0;;;763.0;;302.0
Stad aan 't Haringvliet-G1188;3;12;2.0;67.0;222.0;46.0;8.0;128.0;2.0;3.0;89.0;1.0;1.0;4.0;;90.0
Stad Delden-G0179;31;21;888.0;164.0;86.0;97.0;150.0;80.0;56.0;4.0;3.0;10.0;;;;121.0
Stad Hardenberg-G1191;12;17;6.0;191.0;576.0;241.0;134.0;168.0;44.0;1.0;5.0;25.0;;;;111.0
Stad Vollenhove-G1193;12;15;140.0;90.0;60.0;255.0;10.0;132.0;8.0;6.0;7.0;24.0;1.0;;;63.0
Standdaarbuiten-G0850;6;2;773.0;7.0;6.0;43.0;;6.0;2.0;;1.0;;;;;69.0
Staphorst-G0180;47;71;26.0;175.0;1455.0;155.0;77.0;633.0;124.0;13.0;812.0;57.0;6.0;;;347.0
Stavenisse-G0714;21;37;5.0;33.0;79.0;67.0;13.0;24.0;17.0;;367.0;;;15.0;;380.0
Staveren-G1257;3;3;6.0;38.0;117.0;225.0;90.0;2.0;2.0;3.0;7.0;21.0;;;;43.0
Stedum-G0041;9;0;;131.0;473.0;247.0;60.0;66.0;46.0;25.0;;141.0;;;1.0;66.0
Steenbergen-G1376;125;100;3764.0;233.0;48.0;113.0;;97.0;126.0;;10.0;;;;;365.0
Steenderen-G0280;6;20;776.0;149.0;357.0;243.0;28.0;147.0;116.0;;9.0;2.0;;;;120.0
Steenwijk-G0181;78;127;154.0;1062.0;573.0;770.0;275.0;231.0;179.0;23.0;61.0;444.0;8.0;;;292.0
Steenwijkerwold-G0182;0;0;529.0;723.0;325.0;937.0;152.0;198.0;153.0;9.0;20.0;139.0;6.0;;;455.0
Stein-G0971;75;60;1538.0;40.0;3.0;34.0;;1.0;75.0;;;;;11.0;;120.0
Stellendam-G1195;30;45;7.0;64.0;248.0;46.0;43.0;112.0;21.0;9.0;87.0;2.0;1.0;188.0;;79.0
Stevensweert-G0972;4;3;508.0;;4.0;;;1.0;11.0;;;;;1.0;;35.0
Stiphout-G1196;9;3;478.0;16.0;1.0;1.0;;6.0;3.0;;;;;;;38.0
Stolwijk-G0615;27;63;7.0;221.0;253.0;37.0;165.0;320.0;83.0;13.0;177.0;1.0;3.0;5.0;;191.0
Stoutenburg-G0343;4;12;455.0;19.0;41.0;98.0;7.0;4.0;9.0;;32.0;;;;;43.0
Stramproy-G0973;2;2;665.0;;;8.0;;;;;;;;1.0;;47.0
Streefkerk-G0616;7;26;1.0;111.0;251.0;111.0;52.0;73.0;18.0;6.0;192.0;1.0;1.0;6.0;;115.0
Strijen-G0617;26;37;6.0;464.0;466.0;427.0;312.0;469.0;49.0;10.0;118.0;3.0;18.0;72.0;;199.0
Susteren-G0974;31;44;1557.0;38.0;8.0;;;3.0;143.0;;;;;14.0;;118.0
Swalmen-G0975;46;41;1965.0;15.0;7.0;;;7.0;76.0;;;;;5.0;;184.0
't Zandt-G0054;19;19;1.0;421.0;459.0;151.0;112.0;178.0;31.0;10.0;;323.0;;;4.0;115.0
Tegelen-G0976;37;75;4265.0;139.0;17.0;8.0;;18.0;137.0;;;;;;;189.0
Ten Boer-G0009;24;33;2.0;674.0;1027.0;166.0;347.0;188.0;68.0;13.0;;256.0;;1.0;5.0;177.0
Ter Aar-G0480;9;23;931.0;10.0;221.0;263.0;11.0;31.0;68.0;;83.0;3.0;;1.0;;105.0
Terheijden-G0853;11;31;1755.0;63.0;8.0;14.0;;14.0;12.0;;3.0;;;;;143.0
Termunten-G0042;0;0;4.0;602.0;456.0;63.0;124.0;127.0;53.0;205.0;;193.0;;1.0;11.0;
Terneuzen-G0715;79;135;1000.0;1163.0;702.0;914.0;165.0;927.0;141.0;;455.0;;;95.0;;643.0
Terschelling-G0093;7;37;9.0;553.0;172.0;432.0;466.0;83.0;24.0;5.0;4.0;2.0;2.0;2.0;;361.0
Teteringen-G0854;16;35;1353.0;68.0;10.0;14.0;;21.0;11.0;;;;;;;29.0
Texel-G0448;0;0;879.0;927.0;438.0;464.0;823.0;190.0;224.0;6.0;5.0;199.0;15.0;199.0;;501.0
Tholen-G0716;31;19;109.0;112.0;187.0;397.0;62.0;169.0;35.0;;447.0;;;22.0;;191.0
Thorn-G0977;8;10;703.0;11.0;4.0;;;;11.0;;;;;4.0;;69.0
Tiel-G0281;67;183;1639.0;2527.0;306.0;495.0;287.0;739.0;274.0;70.0;36.0;97.0;13.0;;;463.0
Tienhoven (Ut)-G1202;3;4;5.0;17.0;143.0;92.0;1.0;1.0;3.0;;6.0;7.0;;;;16.0
Tienhoven (ZH)-G0618;1;2;2.0;13.0;126.0;13.0;6.0;10.0;8.0;;7.0;2.0;;1.0;;21.0
Tietjerksteradeel-G0094;85;84;18.0;1092.0;2757.0;1715.0;953.0;407.0;55.0;98.0;79.0;1015.0;16.0;;435.0;661.0
Tilburg-G0855;740;1464;35424.0;4640.0;341.0;347.0;;730.0;740.0;;53.0;;;69.0;;2590.0
Tubbergen-G0183;66;9;4052.0;93.0;20.0;239.0;40.0;8.0;31.0;5.0;4.0;18.0;1.0;;;237.0
Tull en 't Waal-G1205;0;8;128.0;3.0;5.0;62.0;3.0;2.0;2.0;;1.0;;;;;9.0
Twisk-G0449;4;5;2.0;123.0;10.0;5.0;72.0;133.0;28.0;;2.0;12.0;2.0;4.0;;28.0
Ubach over Worms-G0978;113;125;1496.0;280.0;25.0;45.0;;4.0;201.0;;;;;10.0;;134.0
Ubbergen-G0282;26;29;2330.0;40.0;14.0;63.0;13.0;37.0;61.0;1.0;;2.0;1.0;;;202.0
Uden-G0856;35;32;3186.0;112.0;2.0;10.0;;15.0;18.0;;;;;140.0;;286.0
Udenhout-G0857;20;3;1750.0;43.0;;1.0;;;;;;;;11.0;;100.0
Uitgeest-G0450;32;52;904.0;388.0;38.0;21.0;228.0;32.0;26.0;225.0;1.0;4.0;4.0;1.0;;108.0
Uithoorn-G0451;20;23;939.0;153.0;128.0;305.0;50.0;46.0;30.0;14.0;11.0;;5.0;7.0;;87.0
Uithuizen-G0043;28;36;315.0;515.0;528.0;225.0;188.0;115.0;52.0;9.0;;262.0;;;5.0;174.0
Uithuizermeeden-G0044;19;17;7.0;253.0;890.0;665.0;146.0;102.0;40.0;14.0;;379.0;;;3.0;160.0
Ulestraten-G0979;24;14;458.0;1.0;;;;3.0;9.0;;;;;;;41.0
Ulrum-G0045;12;22;2.0;220.0;944.0;109.0;77.0;116.0;89.0;16.0;;325.0;;;16.0;215.0
Urk-G0184;14;13;6.0;32.0;1237.0;131.0;16.0;7.0;35.0;5.0;180.0;2.0;2.0;4.0;;206.0
Urmond-G0980;32;13;886.0;8.0;7.0;26.0;;5.0;30.0;;;;;15.0;;70.0
Ursem-G0452;4;4;449.0;40.0;4.0;6.0;84.0;21.0;6.0;1.0;;;4.0;;;24.0
Usquert-G0046;7;7;20.0;508.0;47.0;34.0;64.0;99.0;34.0;2.0;;142.0;;;9.0;77.0
Utingeradeel-G0095;24;77;16.0;493.0;252.0;396.0;625.0;89.0;24.0;44.0;37.0;144.0;8.0;;549.0;211.0
Utrecht-G0344;1239;1640;23700.0;23447.0;12762.0;6025.0;4307.0;4562.0;2964.0;2277.0;888.0;1187.0;258.0;;;5932.0
