RegioNaam;@invalid;@blank;CDA;PvdA;VVD;D66;SGP;PvdA/PPR;Communistische Partij van Nederland;Politieke Partij Radikalen (PPR);Pacifistisch-Socialistische Partij (PSP);Gereformeerd Politiek Verbond (GPV);Boeren Partij;Reformatorische Politieke Federatie (RPF);Fryske Nasjonale Partij;Democratisch Socialisten '70;SGP/RPF;Conservatieve Volkspartij;Lijst de Boer;Gronneger Bond;Internationale Kommunistenbond;Christen Democraten Unie;Lijst Wartena;Lijst Hofman;@abs
Elburg-G0230;31;10;3576;1461;1766;276;2132.0;0;22;66;33;171;112;403;0;0;0;10.0;0;0;0;0;0;0;1885
Elsloo-G0903;19;21;2688;985;283;223;0.0;0;56;61;38;0;0;0;0;0;0;7.0;0;0;0;0;0;0;1114
Elst-G0231;0;6;4302;1920;1438;240;46.0;0;15;259;87;23;55;40;0;0;0;8.0;0;0;0;0;0;0;2578
Emmen-G0114;199;86;15634;23789;4729;1750;0.0;0;1156;398;392;479;0;298;0;0;0;0.0;213;0;0;0;0;0;10848
Enkhuizen-G0388;44;0;2376;2963;1302;522;197.0;0;239;104;116;50;30;50;0;27;0;0.0;0;0;0;0;0;0;1660
Enschede-G0153;343;134;21045;35616;11434;4021;296.0;0;2298;1045;886;1979;327;423;0;0;0;35.0;0;0;0;0;0;0;17818
Epe-G0232;80;23;5806;6331;4077;973;705.0;0;61;153;128;74;286;150;0;0;0;5.0;0;0;0;0;0;0;3170
Ermelo-G0233;34;10;6453;1359;2618;437;743.0;0;27;276;68;382;67;266;0;0;0;8.0;0;0;0;0;0;0;3562
Erp-G0775;0;15;2407;343;186;34;0.0;0;4;14;24;0;17;0;0;0;0;2.0;0;0;0;4;0;0;449
Esch-G0776;4;1;674;179;84;28;0.0;0;4;18;8;0;5;0;0;0;0;0.0;0;0;0;1;0;0;162
Etten-Leur-G0777;57;39;5945;4618;1800;646;11.0;0;53;143;115;8;107;0;0;0;0;35.0;0;0;0;8;0;0;4153
Everdingen-G0508;3;11;382;213;222;42;134.0;0;1;7;6;4;29;4;0;0;0;0.0;0;0;0;0;0;0;170
Ewijk-G0235;3;6;1540;628;205;87;1.0;0;2;22;18;4;40;2;0;0;0;1.0;0;0;0;0;0;0;626
Ezinge-G0012;7;4;362;434;196;44;0.0;0;13;42;14;16;1;9;0;0;0;0.0;0;6;0;0;0;0;112
Ferwerderadeel-G0068;6;3;2778;1055;505;74;0.0;0;6;32;44;204;0;0;169;0;59;0.0;0;0;0;0;2;0;658
Fijnaart en Heijningen-G0778;23;4;1658;1149;402;112;38.0;0;5;52;11;23;8;0;0;0;0;4.0;0;0;0;1;0;0;770
Finsterwolde-G0013;17;9;96;545;177;18;0.0;0;947;11;12;12;4;11;0;0;0;0.0;0;14;0;0;0;0;172
Franeker-G0069;26;14;2738;2533;868;304;0.0;0;55;56;37;57;0;0;317;0;121;0.0;0;0;0;0;2;0;1249
