RegioNaam;@invalid;@blank;PvdA;CDA;VVD;D66;Pacifistisch-Socialistische Partij (PSP);SGP;Communistische Partij van Nederland;Politieke Partij Radikalen (PPR);Reformatorische Politieke Federatie (RPF);CP;Gereformeerd Politiek Verbond (GPV);Evangelische Volkspartij;SP;Democratisch Socialisten '70;Rechtse Volkspartij;Rooms Katholieke Partij Nederland;God Met Ons;Nederlandse Volks Unie (NVU);Progressieve Partij voor Behoud van Milieu, Werk en Maatschappij;Kleine Partij;@abs
Leeuwarden-G0080;214;;25163;11666;9134;1708;1387;130.0;699.0;810;744.0;181.0;564.0;677.0;146.0;194.0;50.0;44.0;;;;;9825.0
Leeuwarderadeel-G0081;25;;2203;1505;1040;254;91;9.0;20.0;46;74.0;9.0;41.0;83.0;2.0;15.0;8.0;7.0;;;;;570.0
Leiden-G0546;498;;23766;11221;14385;3262;2245;362.0;1760.0;1518;580.0;549.0;231.0;349.0;659.0;227.0;53.0;59.0;;;;;16215.0
Leiderdorp-G0547;60;;2763;3074;4483;790;294;119.0;77.0;351;110.0;88.0;53.0;144.0;56.0;36.0;7.0;11.0;;;;;2127.0
Leidschendam-G0548;122;;3762;6044;6080;1056;385;46.0;110.0;298;98.0;163.0;95.0;104.0;160.0;96.0;33.0;53.0;;;;;3407.0
Leimuiden-G0549;34;;326;1104;863;99;34;10.0;14.0;38;20.0;7.0;5.0;46.0;9.0;12.0;5.0;2.0;;;;;421.0
Lekkerkerk-G0550;36;;1758;636;1388;212;59;380.0;41.0;31;83.0;41.0;5.0;36.0;5.0;17.0;5.0;;;;;;591.0
Lelystad-G0995;83;;10293;4056;6238;1364;511;108.0;1238.0;571;262.0;481.0;193.0;227.0;145.0;129.0;100.0;22.0;9.0;;;;6279.0
Lemsterland-G0082;18;;2225;1959;1131;210;65;65.0;258.0;57;175.0;7.0;10.0;58.0;20.0;12.0;14.0;3.0;;;;;1117.0
Leusden-G0327;31;;2209;4093;4223;713;223;287.0;61.0;229;180.0;24.0;352.0;173.0;18.0;46.0;14.0;18.0;;;;;1675.0
Lexmond-G0551;8;;364;557;307;34;17;231.0;16.0;7;78.0;6.0;8.0;18.0;2.0;7.0;2.0;1.0;;;;;124.0
Lichtenvoorde-G0260;49;;1457;5970;1946;431;215;5.0;23.0;174;13.0;20.0;3.0;32.0;38.0;22.0;24.0;24.0;3.0;;;;1444.0
Liempde-G0806;12;;499;1383;337;126;30;;6.0;23;3.0;3.0;1.0;3.0;9.0;;10.0;10.0;0.0;;;;307.0
Lienden-G0261;17;;1664;720;891;103;40;331.0;15.0;25;63.0;8.0;1.0;13.0;7.0;4.0;22.0;2.0;0.0;;;;545.0
Lieshout-G0807;7;;571;1695;567;131;45;1.0;38.0;44;1.0;6.0;1.0;1.0;26.0;4.0;21.0;7.0;2.0;;;;670.0
Limmen-G0418;26;;539;1301;796;129;83;;57.0;51;8.0;17.0;3.0;10.0;17.0;6.0;24.0;2.0;;;;;405.0
Linne-G0932;16;;457;1061;496;99;33;1.0;12.0;22;2.0;4.0;1.0;4.0;4.0;7.0;5.0;10.0;4.0;;;;599.0
Linschoten-G0328;6;;307;867;679;81;26;233.0;13.0;33;88.0;11.0;6.0;24.0;9.0;6.0;3.0;5.0;;;;;361.0
Lisse-G0553;87;;1807;4368;3339;469;239;591.0;85.0;226;218.0;52.0;51.0;56.0;37.0;30.0;17.0;26.0;;;;;1891.0
Lith-G0808;13;;696;1686;666;120;33;;7.0;36;3.0;2.0;;1.0;40.0;8.0;21.0;5.0;1.0;;;;705.0
Lochem-G0262;34;;3510;2716;3601;714;239;4.0;74.0;183;90.0;30.0;14.0;104.0;25.0;48.0;35.0;6.0;1.0;;;;1707.0
Loenen-G0329;16;;891;1357;1485;176;75;119.0;36.0;86;91.0;19.0;28.0;21.0;11.0;11.0;7.0;3.0;;;;;593.0
Loon op Zand-G0809;72;;2328;4894;2677;462;170;84.0;61.0;162;14.0;23.0;7.0;13.0;33.0;29.0;49.0;29.0;5.0;;;;2648.0
Loosdrecht-G0330;27;;885;1464;2260;247;89;101.0;34.0;34;70.0;17.0;32.0;30.0;10.0;27.0;10.0;3.0;;;;;849.0
Lopik-G0331;15;;904;1700;905;158;42;368.0;13.0;44;160.0;28.0;21.0;21.0;10.0;16.0;20.0;2.0;;;;;744.0
Loppersum-G0024;11;;776;794;411;111;39;10.0;27.0;25;50.0;;129.0;77.0;5.0;4.0;4.0;;;;;;284.0
Losser-G0168;61;;3205;6426;1939;454;135;11.0;163.0;283;49.0;35.0;9.0;27.0;37.0;28.0;47.0;17.0;;;;;2416.0
Luyksgestel-G0810;13;;175;869;302;57;22;;3.0;10;;6.0;;;1.0;;11.0;6.0;0.0;;;;291.0
Maarheeze-G0811;13;;614;2613;1278;214;57;2.0;28.0;56;6.0;3.0;;10.0;2.0;8.0;15.0;3.0;2.0;;;;1000.0
Maarn-G0332;11;;710;1024;1527;214;51;161.0;21.0;43;28.0;15.0;18.0;41.0;2.0;17.0;7.0;4.0;;;;;370.0
Maarssen-G0333;82;;4899;4252;5797;1065;370;161.0;157.0;319;396.0;140.0;47.0;113.0;59.0;68.0;34.0;12.0;;;;;3898.0
Maartensdijk-G0334;17;;1033;1446;1815;281;88;542.0;36.0;58;231.0;28.0;33.0;62.0;13.0;22.0;9.0;1.0;;;;;770.0
Maasbracht-G0933;31;;941;1996;880;191;90;5.0;25.0;45;56.0;13.0;2.0;11.0;6.0;11.0;19.0;13.0;15.0;;;;1375.0
Maasbree-G0934;26;;618;3508;1206;262;98;3.0;22.0;98;6.0;10.0;1.0;2.0;25.0;18.0;12.0;12.0;3.0;;;;1537.0
Maasdam-G0554;6;;618;369;619;76;19;199.0;8.0;7;30.0;15.0;4.0;10.0;5.0;3.0;7.0;;;;;;260.0
Maasdriel-G0263;11;;860;2419;1094;181;37;18.0;20.0;28;8.0;5.0;3.0;6.0;116.0;5.0;20.0;16.0;1.0;;;;936.0
Maasland-G0555;7;;377;1732;1074;147;21;45.0;15.0;41;103.0;24.0;23.0;46.0;2.0;6.0;10.0;1.0;;;;;390.0
Maassluis-G0556;71;;5578;4326;4942;871;227;173.0;191.0;303;479.0;251.0;115.0;172.0;150.0;75.0;38.0;10.0;;;;;4337.0
Maastricht-G0935;388;;21402;18149;10444;2389;1423;21.0;877.0;1253;105.0;169.0;27.0;76.0;376.0;130.0;104.0;237.0;86.0;;;;26761.0
Made en Drimmelen-G0812;44;;1956;2593;1343;364;58;8.0;31.0;76;6.0;22.0;8.0;5.0;24.0;16.0;37.0;19.0;6.0;;;;1625.0
Margraten-G0936;49;;1411;3898;1638;425;135;3.0;50.0;114;11.0;10.0;3.0;16.0;7.0;21.0;21.0;65.0;22.0;;;;1298.0
Mariekerke-G0686;9;;118;669;272;47;15;715.0;2.0;12;106.0;;17.0;42.0;4.0;3.0;4.0;2.0;;;;;150.0
Markelo-G0169;31;;1365;1120;1729;227;19;34.0;13.0;37;36.0;6.0;7.0;13.0;8.0;14.0;20.0;1.0;;;;;481.0
Marken-G0419;0;;297;650;287;62;14;1.0;4.0;6;23.0;3.0;2.0;45.0;;1.0;5.0;;;;;;129.0
Marum-G0025;23;;1958;1433;1049;172;61;14.0;58.0;57;131.0;5.0;113.0;49.0;17.0;30.0;55.0;1.0;;;;;766.0
Maurik-G0264;13;;1710;820;858;99;27;70.0;12.0;39;28.0;2.0;5.0;18.0;4.0;8.0;10.0;2.0;1.0;;;;416.0
Medemblik-G0420;21;;1043;1238;865;145;70;9.0;147.0;57;87.0;40.0;9.0;13.0;25.0;11.0;13.0;14.0;;;;;784.0
Meeden-G0026;5;;638;228;155;30;25;4.0;20.0;16;25.0;1.0;20.0;13.0;4.0;;;2.0;;;;;130.0
Meerkerk-G0557;8;;446;602;480;71;15;162.0;14.0;11;75.0;12.0;3.0;9.0;;2.0;6.0;;;;;;204.0
Meerlo-Wanssum-G0993;14;;461;2350;742;168;68;1.0;11.0;79;2.0;2.0;;5.0;15.0;5.0;8.0;5.0;3.0;;;;843.0
Meerssen-G0938;84;;2717;4864;2668;633;231;6.0;81.0;221;17.0;14.0;15.0;12.0;35.0;23.0;32.0;39.0;40.0;;;;3132.0
Megen, Haren en Macharen-G0813;8;;289;960;315;47;33;1.0;9.0;28;;6.0;1.0;1.0;45.0;5.0;10.0;8.0;0.0;;;;277.0
Meijel-G0941;15;;308;1813;452;104;39;1.0;7.0;39;2.0;2.0;;;2.0;4.0;8.0;3.0;6.0;;;;889.0
Melick en Herkenbosch-G0939;33;;914;1784;966;220;64;2.0;15.0;84;3.0;6.0;1.0;2.0;2.0;12.0;12.0;6.0;14.0;;;;894.0
Menaldumadeel-G0083;34;;3048;2554;1707;263;95;22.0;34.0;79;115.0;10.0;33.0;102.0;14.0;19.0;21.0;11.0;;;;;902.0
Meppel-G0119;47;;5502;3156;3146;507;209;24.0;99.0;186;273.0;60.0;294.0;138.0;38.0;51.0;46.0;9.0;;;;;2368.0
Middelburg-G0687;70;;6473;5246;4799;1010;486;1551.0;206.0;602;679.0;112.0;281.0;409.0;82.0;64.0;21.0;14.0;;;;;4960.0
Middelharnis-G0559;21;;2612;1602;1620;359;105;1613.0;25.0;229;481.0;27.0;59.0;54.0;24.0;19.0;13.0;3.0;;;;;2011.0
Middelstum-G0027;11;;499;739;236;44;32;3.0;15.0;21;96.0;1.0;109.0;31.0;3.0;8.0;1.0;2.0;;;;;169.0
Middenschouwen-G0688;2;;345;478;428;47;7;123.0;8.0;12;74.0;;23.0;10.0;;8.0;5.0;;;;;;212.0
Midwolda-G0028;12;;1062;823;231;60;27;6.0;149.0;20;145.0;5.0;6.0;67.0;8.0;1.0;3.0;1.0;;;;;362.0
Mierlo-G0814;13;;1037;2438;1392;315;90;1.0;27.0;70;3.0;5.0;3.0;10.0;13.0;17.0;21.0;8.0;5.0;;;;1063.0
Mijdrecht-G0336;34;;1175;3009;2642;332;105;120.0;34.0;188;145.0;30.0;45.0;47.0;14.0;28.0;27.0;21.0;;;;;1395.0
Mijnsheerenland-G0564;6;;551;644;985;121;38;78.0;10.0;13;38.0;17.0;9.0;16.0;2.0;4.0;5.0;1.0;;;;;329.0
Mill en Sint Hubert-G0815;38;;1129;3455;999;226;100;;20.0;77;;5.0;;10.0;49.0;10.0;32.0;14.0;7.0;;;;984.0
Millingen aan de Rijn-G0265;19;;1114;1031;375;154;34;2.0;9.0;69;1.0;19.0;;2.0;17.0;3.0;6.0;6.0;2.0;;;;696.0
Moergestel-G0816;13;;581;1712;674;103;52;;12.0;43;3.0;3.0;1.0;2.0;14.0;5.0;13.0;6.0;0.0;;;;481.0
Moerkapelle-G0560;12;;322;354;349;56;13;448.0;7.0;8;103.0;9.0;3.0;7.0;5.0;2.0;3.0;;;;;;187.0
Molenaarsgraaf-G0561;7;;94;191;101;18;5;110.0;;3;29.0;;3.0;3.0;;;;1.0;;;;;65.0
Monnickendam-G0423;20;;1685;1185;1703;328;138;1.0;159.0;110;42.0;71.0;7.0;66.0;4.0;20.0;12.0;5.0;;;;;1029.0
Monster-G0562;54;;1628;4601;3061;265;95;530.0;32.0;93;177.0;114.0;148.0;82.0;29.0;33.0;23.0;22.0;;;;;2406.0
Montfoort-G0335;14;;572;1407;1044;151;42;130.0;24.0;83;48.0;23.0;6.0;23.0;8.0;10.0;10.0;6.0;;;;;524.0
Montfort-G0943;30;;349;841;293;78;26;;10.0;11;1.0;8.0;;;4.0;2.0;10.0;11.0;7.0;;;;491.0
Mook en Middelaar-G0944;11;;760;1476;1029;231;133;1.0;18.0;91;4.0;12.0;5.0;7.0;32.0;9.0;4.0;5.0;2.0;;;;653.0
Moordrecht-G0563;30;;1130;760;817;228;37;216.0;33.0;65;62.0;38.0;13.0;52.0;10.0;15.0;5.0;6.0;;;;;847.0
Muiden-G0424;37;;1217;1072;1368;316;91;31.0;43.0;59;16.0;51.0;13.0;36.0;6.0;13.0;10.0;;;;;4.0;594.0
Muntendam-G0029;13;;1882;244;289;112;39;6.0;265.0;16;70.0;;16.0;21.0;33.0;8.0;2.0;1.0;;;;;503.0
Naaldwijk-G0565;49;;2139;6808;4692;418;129;151.0;36.0;125;247.0;118.0;44.0;89.0;46.0;44.0;40.0;63.0;;;;;2613.0
Naarden-G0425;5;;1903;2291;4543;725;264;101.0;104.0;151;105.0;52.0;46.0;41.0;20.0;60.0;5.0;13.0;;;;5.0;1860.0
Nederhorst den Berg-G0426;19;;653;890;969;97;46;15.0;39.0;60;28.0;9.0;19.0;37.0;2.0;18.0;6.0;3.0;;;;0.0;489.0
Nederweert-G0946;81;;1552;4655;1307;312;95;;21.0;85;8.0;5.0;;8.0;18.0;31.0;39.0;14.0;8.0;;;;2061.0
Neede-G0266;25;;2705;2162;1406;286;99;3.0;36.0;70;65.0;14.0;79.0;18.0;35.0;20.0;18.0;5.0;1.0;;;;813.0
Neer-G0947;11;;269;1139;296;96;47;2.0;14.0;42;;2.0;;1.0;7.0;3.0;11.0;6.0;4.0;;;;585.0
Neerijnen-G0304;25;;2181;1478;1314;189;70;654.0;26.0;44;103.0;28.0;26.0;29.0;6.0;9.0;24.0;5.0;2.0;;;;886.0
Niedorp-G0412;30;;1575;1264;1235;247;156;3.0;75.0;80;8.0;15.0;5.0;11.0;7.0;14.0;10.0;11.0;;;;;675.0
Nieuw-Beijerland-G0566;5;;464;258;521;65;12;360.0;15.0;16;54.0;13.0;4.0;13.0;6.0;10.0;1.0;;;;;;257.0
Nieuwe Pekela-G0030;21;;1392;811;464;78;32;16.0;221.0;35;118.0;1.0;17.0;32.0;7.0;6.0;2.0;5.0;;;;;556.0
Nieuwegein-G0356;16;;7989;6412;7761;1877;720;288.0;350.0;520;273.0;257.0;166.0;212.0;263.0;109.0;44.0;40.0;;;;;6813.0
Nieuwerkerk aan den IJssel-G0567;57;;2431;1780;2690;435;129;520.0;71.0;89;273.0;101.0;55.0;99.0;34.0;34.0;25.0;5.0;;;;;1660.0
Nieuweschans-G0031;9;;646;83;134;27;12;1.0;295.0;11;2.0;2.0;;5.0;9.0;7.0;1.0;1.0;;;;;164.0
Nieuw-Ginneken-G0817;25;;1164;2765;1972;317;82;4.0;17.0;94;10.0;24.0;2.0;16.0;13.0;21.0;37.0;12.0;2.0;;;;1141.0
Nieuwkoop-G0569;13;;972;1796;1567;325;84;109.0;50.0;121;93.0;24.0;16.0;51.0;20.0;17.0;12.0;5.0;;;;;1125.0
Nieuwland-G0570;3;;81;152;89;8;7;86.0;6.0;6;61.0;;2.0;;1.0;;4.0;;;;;;38.0
Nieuw-Lekkerland-G0571;16;;1457;816;557;160;46;1101.0;35.0;34;156.0;22.0;72.0;19.0;5.0;8.0;12.0;1.0;;;;;701.0
Nieuwleusen-G0170;16;;868;1952;831;209;18;157.0;9.0;25;101.0;13.0;186.0;29.0;8.0;7.0;39.0;3.0;;;;;757.0
Nieuwolda-G0032;6;;528;233;175;15;22;2.0;26.0;13;18.0;1.0;4.0;16.0;4.0;12.0;1.0;1.0;;;;;124.0
Nieuwpoort-G0572;5;;156;173;139;27;5;96.0;1.0;5;78.0;3.0;17.0;4.0;1.0;;1.0;;;;;;78.0
Nieuwveen-G0573;28;;211;735;428;62;35;34.0;6.0;30;21.0;11.0;;17.0;5.0;8.0;5.0;2.0;;;;;554.0
Nieuw-Vossemeer-G0818;6;;505;500;280;67;32;3.0;8.0;12;1.0;6.0;;2.0;8.0;14.0;6.0;5.0;0.0;;;;190.0
Nigtevecht-G0337;1;;177;249;252;52;7;3.0;7.0;11;6.0;9.0;1.0;6.0;1.0;4.0;2.0;;;;;;143.0
Nijeveen-G0121;6;;434;780;421;65;12;2.0;2.0;12;28.0;2.0;15.0;21.0;2.0;8.0;4.0;;;;;;152.0
Nijkerk-G0267;48;;2825;5368;2811;482;81;994.0;27.0;178;723.0;45.0;172.0;138.0;29.0;30.0;59.0;1.0;6.0;;;;2082.0
Nijmegen-G0268;376;;28663;24004;13353;3773;6441;55.0;2189.0;2837;166.0;313.0;88.0;312.0;1708.0;223.0;132.0;216.0;65.0;;;;25392.0
Nistelrode-G0819;24;;678;2121;509;165;64;1.0;8.0;48;;9.0;;1.0;39.0;4.0;15.0;11.0;1.0;;;;774.0
Noordeloos-G0574;2;;138;300;214;28;3;144.0;1.0;3;95.0;6.0;4.0;20.0;1.0;;2.0;;;;;;79.0
Noorder-Koggenland-G0529;27;;1601;1148;1772;286;165;70.0;78.0;84;114.0;25.0;4.0;19.0;15.0;37.0;17.0;5.0;;;;;909.0
Noordoostpolder-G0171;79;;5323;8361;5125;937;274;365.0;186.0;310;802.0;51.0;450.0;335.0;57.0;60.0;45.0;32.0;;;;;3218.0
Noordwijk-G0575;151;;2622;4456;4090;537;351;92.0;124.0;465;144.0;63.0;40.0;178.0;56.0;44.0;19.0;28.0;;;;;3643.0
Noordwijkerhout-G0576;64;;1149;3498;2608;342;253;17.0;101.0;183;22.0;29.0;15.0;26.0;39.0;33.0;17.0;25.0;;;;;1745.0
Nootdorp-G0577;22;;435;1577;1109;171;41;19.0;18.0;61;34.0;27.0;10.0;27.0;14.0;13.0;11.0;5.0;;;;;727.0
Norg-G0120;12;;1334;634;1504;193;55;4.0;26.0;90;50.0;13.0;28.0;15.0;3.0;15.0;17.0;3.0;;;;;536.0
Nuenen, Gerwen en Nederwetten-G0820;28;;1860;4176;2707;685;155;8.0;53.0;281;23.0;17.0;23.0;30.0;21.0;26.0;25.0;14.0;5.0;;;;1566.0
Nuland-G0821;17;;341;1406;310;74;29;;8.0;25;1.0;5.0;2.0;1.0;59.0;2.0;5.0;1.0;0.0;;;;453.0
Numansdorp-G0578;16;;1970;876;1160;185;38;267.0;24.0;32;84.0;31.0;10.0;31.0;9.0;18.0;7.0;1.0;;;;;694.0
Nunspeet-G0302;35;;1630;4219;2993;358;71;2474.0;26.0;117;1574.0;28.0;70.0;131.0;24.0;39.0;79.0;15.0;2.0;;;;1543.0
Nuth-G0951;88;;2464;4670;1659;476;187;3.0;61.0;399;10.0;16.0;4.0;11.0;38.0;25.0;35.0;66.0;45.0;;;;2127.0
Obdam-G0429;19;;559;1467;889;135;63;;41.0;76;9.0;23.0;4.0;7.0;7.0;14.0;7.0;10.0;;;;;452.0
Odoorn-G0122;39;;3945;1363;1798;256;81;5.0;151.0;79;161.0;16.0;89.0;67.0;6.0;10.0;23.0;6.0;;;;;1024.0
Oeffelt-G0822;5;;232;728;223;68;25;;3.0;28;;2.0;4.0;;9.0;1.0;7.0;2.0;0.0;;;;195.0
Oegstgeest-G0579;95;;1687;2653;3828;638;174;45.0;77.0;247;99.0;35.0;96.0;83.0;16.0;39.0;6.0;5.0;;;;;1458.0
Ohé en Laak-G0953;5;;60;330;105;19;13;;;8;;;;;;3.0;1.0;1.0;0.0;;;;99.0
Oirschot-G0823;39;;1049;3433;1145;310;118;;15.0;102;7.0;19.0;;11.0;20.0;8.0;34.0;19.0;4.0;;;;1316.0
Oisterwijk-G0824;31;;2512;3616;2600;482;155;9.0;99.0;152;34.0;33.0;5.0;20.0;52.0;36.0;25.0;19.0;7.0;;;;1830.0
Oldebroek-G0269;55;;2337;3193;1391;294;60;1922.0;33.0;64;1895.0;18.0;148.0;87.0;11.0;14.0;33.0;1.0;5.0;;;;1946.0
Oldehove-G0035;8;;325;502;273;42;23;2.0;19.0;22;56.0;;218.0;18.0;6.0;1.0;5.0;;;;;;144.0
Oldekerk-G0036;1;;303;655;303;45;14;5.0;3.0;3;33.0;2.0;53.0;14.0;3.0;2.0;6.0;;;;;;154.0
Oldenzaal-G0173;52;;4052;7871;3284;782;246;7.0;131.0;195;30.0;47.0;46.0;39.0;91.0;35.0;72.0;39.0;;;;;2421.0
Olst-G0174;23;;2039;1815;1380;210;58;24.0;29.0;60;29.0;9.0;3.0;29.0;10.0;5.0;22.0;7.0;;;;;675.0
Ommen-G0175;35;;1604;5515;1922;321;84;66.0;18.0;87;246.0;24.0;924.0;147.0;9.0;18.0;46.0;5.0;;;;;871.0
Onderbanken-G0881;53;;1312;2136;614;221;91;1.0;56.0;94;5.0;6.0;12.0;10.0;27.0;10.0;24.0;59.0;49.0;;;;1152.0
Oost-, West- en Middelbeers-G0825;13;;277;1603;460;111;48;;8.0;49;1.0;2.0;;1.0;8.0;5.0;9.0;1.0;2.0;;;;499.0
Oostburg-G0692;63;;3835;3084;3204;359;144;141.0;64.0;122;105.0;29.0;43.0;56.0;28.0;32.0;23.0;9.0;;;;;2321.0
Oostdongeradeel-G0084;12;;474;2659;467;49;30;18.0;3.0;21;121.0;5.0;40.0;56.0;;4.0;4.0;4.0;;;;;435.0
Oosterbroek-G0033;22;;1800;363;593;97;97;3.0;114.0;28;15.0;3.0;72.0;12.0;8.0;12.0;8.0;;;;;;543.0
Oosterhesselen-G0123;13;;1205;798;718;89;33;17.0;44.0;18;83.0;3.0;82.0;15.0;;3.0;6.0;1.0;;;;;258.0
Oosterhout-G0826;117;;7624;7678;6185;1312;483;12.0;172.0;462;39.0;155.0;19.0;70.0;156.0;124.0;135.0;59.0;16.0;;;;6457.0
Oostflakkee-G0580;12;;2092;1616;948;178;45;643.0;20.0;38;178.0;25.0;16.0;14.0;12.0;10.0;5.0;16.0;;;;;890.0
Ooststellingwerf-G0085;62;;6523;3505;2809;524;349;54.0;248.0;211;224.0;19.0;252.0;143.0;51.0;42.0;44.0;8.0;;;;;2120.0
Oostzaan-G0431;17;;1593;504;1194;203;141;31.0;376.0;87;59.0;41.0;2.0;16.0;15.0;16.0;9.0;1.0;;;;;714.0
Ootmarsum-G0176;4;;365;1669;604;103;28;5.0;6.0;21;9.0;5.0;2.0;6.0;4.0;6.0;9.0;10.0;;;;;56.0
Oploo, Sint Anthonis en Ledeacker-G0827;11;;473;2803;605;146;174;;15.0;106;1.0;14.0;1.0;8.0;15.0;6.0;15.0;4.0;0.0;;;;584.0
Opmeer-G0432;26;;1144;2372;1563;306;125;2.0;54.0;81;23.0;28.0;4.0;18.0;14.0;15.0;11.0;35.0;;;;;890.0
Opsterland-G0086;67;;7207;3514;2808;490;351;38.0;377.0;221;347.0;24.0;664.0;149.0;32.0;45.0;31.0;11.0;;;;;2130.0
Oss-G0828;112;;7127;8464;5414;1295;607;7.0;165.0;416;32.0;178.0;17.0;42.0;1733.0;64.0;105.0;43.0;13.0;;;;7707.0
Ossendrecht-G0829;17;;742;986;708;106;31;;13.0;23;5.0;12.0;2.0;1.0;8.0;5.0;11.0;13.0;0.0;;;;832.0
Ottoland-G0582;2;;61;255;102;6;7;82.0;2.0;3;41.0;1.0;5.0;11.0;2.0;;;;;;;;32.0
Oud- en Nieuw-Gastel-G0831;34;;1110;1746;1075;129;63;;32.0;39;5.0;19.0;1.0;6.0;10.0;9.0;16.0;5.0;0.0;;;;1382.0
Oud-Alblas-G0583;4;;200;367;246;41;12;241.0;;10;58.0;1.0;4.0;6.0;3.0;;2.0;1.0;;;;;145.0
Oud-Beijerland-G0584;31;;2756;1982;2611;421;147;1103.0;45.0;117;289.0;80.0;33.0;179.0;29.0;30.0;18.0;3.0;;;;;1731.0
Oude Pekela-G0038;28;;2938;594;435;75;45;13.0;984.0;30;51.0;6.0;6.0;46.0;11.0;11.0;13.0;5.0;;;;;795.0
Oudenbosch-G0830;35;;1837;2382;1522;284;118;6.0;51.0;75;6.0;53.0;2.0;14.0;17.0;17.0;20.0;32.0;7.0;;;;1834.0
Ouder-Amstel-G0437;41;;1599;2054;2430;351;166;68.0;121.0;121;41.0;61.0;12.0;57.0;13.0;35.0;20.0;13.0;;;;2.0;1353.0
Ouderkerk aan den IJssel-G0587;27;;766;620;831;119;28;659.0;19.0;12;161.0;17.0;13.0;10.0;3.0;7.0;7.0;;;;;;526.0
Oudewater-G0589;16;;748;1775;1044;181;40;141.0;12.0;59;101.0;28.0;7.0;46.0;5.0;9.0;6.0;4.0;;;;;595.0
Pannerden-G0272;8;;296;609;217;58;22;1.0;3.0;36;5.0;;;5.0;6.0;1.0;4.0;3.0;0.0;;;;307.0
Papendrecht-G0590;43;;4704;2919;3801;702;233;702.0;149.0;151;553.0;124.0;81.0;137.0;54.0;70.0;34.0;6.0;;;;;3267.0
Peize-G0124;12;;1367;287;879;185;39;6.0;41.0;64;13.0;7.0;1.0;15.0;2.0;13.0;26.0;1.0;;;;;500.0
Piershil-G0591;2;;292;120;225;29;13;119.0;7.0;10;12.0;4.0;1.0;7.0;;2.0;6.0;;;;;;144.0
Pijnacker-G0594;64;;1530;3745;2920;544;150;275.0;54.0;121;89.0;62.0;76.0;119.0;21.0;42.0;18.0;2.0;;;;;1315.0
Polsbroek-G0338;5;;57;302;185;7;6;106.0;;4;21.0;2.0;;2.0;;2.0;2.0;;;;;;69.0
Poortugal-G0592;62;;6554;1946;2469;583;278;272.0;302.0;187;150.0;344.0;68.0;88.0;79.0;78.0;49.0;13.0;;;;;3345.0
Posterholt-G0956;17;;623;1008;392;127;33;2.0;13.0;41;1.0;3.0;;3.0;4.0;3.0;10.0;6.0;8.0;;;;660.0
Prinsenbeek-G0832;38;;1072;2371;1795;315;52;4.0;21.0;55;16.0;40.0;4.0;5.0;8.0;23.0;24.0;8.0;3.0;;;;1098.0
Purmerend-G0439;93;;8079;3362;6436;1167;743;24.0;1071.0;433;104.0;300.0;20.0;188.0;82.0;157.0;47.0;20.0;;;;;5508.0
Putte-G0833;26;;409;537;538;83;21;;14.0;10;7.0;14.0;;5.0;14.0;18.0;4.0;1.0;3.0;;;;631.0
Putten-G0273;41;;1743;4619;2502;279;50;1390.0;69.0;80;834.0;31.0;86.0;126.0;8.0;16.0;50.0;1.0;4.0;;;;1365.0
Puttershoek-G0593;16;;1295;711;808;168;38;249.0;29.0;16;60.0;17.0;8.0;27.0;9.0;22.0;1.0;2.0;;;;;556.0
Raalte-G0177;56;;2251;9250;2409;577;204;4.0;34.0;173;51.0;29.0;18.0;46.0;26.0;32.0;60.0;22.0;;;;;1960.0
Raamsdonk-G0834;34;;2126;2397;1528;300;81;59.0;45.0;101;27.0;25.0;8.0;19.0;35.0;43.0;40.0;19.0;5.0;;;;1744.0
Rauwerderhem-G0087;7;;687;417;443;117;36;4.0;13.0;43;17.0;;2.0;6.0;4.0;7.0;6.0;1.0;;;;;198.0
Ravenstein-G0835;19;;1171;2313;669;168;86;1.0;18.0;44;7.0;8.0;3.0;3.0;68.0;8.0;14.0;9.0;0.0;;;;727.0
Reeuwijk-G0595;58;;991;1551;1834;290;82;213.0;37.0;64;120.0;44.0;27.0;53.0;11.0;15.0;9.0;15.0;;;;;852.0
Reimerswaal-G0703;37;;2399;2653;2288;413;80;2688.0;47.0;67;320.0;35.0;46.0;60.0;21.0;27.0;6.0;1.0;;;;;2136.0
Renkum-G0274;70;;5759;6592;6546;922;314;229.0;175.0;469;297.0;65.0;92.0;259.0;151.0;69.0;40.0;24.0;6.0;;;;3745.0
Renswoude-G0339;0;;249;800;457;75;10;159.0;2.0;29;83.0;2.0;11.0;9.0;1.0;7.0;7.0;;;;;;60.0
Reusel-G0836;14;;554;2305;677;185;57;1.0;10.0;59;1.0;3.0;;7.0;15.0;5.0;9.0;10.0;1.0;;;;1091.0
Rheden-G0275;106;;11313;8278;7703;1385;543;86.0;204.0;545;334.0;114.0;152.0;302.0;118.0;94.0;62.0;28.0;7.0;;;;5079.0
Rhenen-G0340;28;;3067;2367;2520;361;109;1269.0;42.0;60;310.0;42.0;38.0;82.0;29.0;14.0;21.0;5.0;;;;;1765.0
Rhoon-G0596;14;;941;1453;1615;191;56;71.0;17.0;39;52.0;53.0;13.0;46.0;15.0;22.0;10.0;9.0;;;;;664.0
Ridderkerk-G0597;95;;10026;5610;5528;1114;348;2567.0;274.0;234;776.0;349.0;283.0;198.0;112.0;87.0;53.0;17.0;;;;;5686.0
